year,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2012,Second Stage of Tertiary Education,688,12.64768,11.99938,13.29598,6.00000,10.00000,20.00000,1.00000,41.00000,10.00000,10.00000,12.00000
2013,Pre-primary Level,,,,,,,,,,,,
2013,Primary Level,,,,,,,,,,,,
2013,Lower Secondary Level,,,,,,,,,,,,
2013,Upper Secondary Level,,,,,,,,,,,,
2013,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2013,First Stage of Tertiary Education,,,,,,,,,,,,
2013,Second Stage of Tertiary Education,,,,,,,,,,,,
2014,Pre-primary Level,59,7.81272,6.62311,9.00233,4.00000,6.65904,10.00000,2.00000,19.00000,7.00000,5.00000,9.00000
2014,Primary Level,247,15.44848,14.29941,16.59755,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,12.00000,15.02500
2014,Lower Secondary Level,1139,15.09130,14.60015,15.58245,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,14.95000,15.00000
2014,Upper Secondary Level,3720,15.22094,14.95507,15.48681,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,15.00000,15.00000
2014,Post-secondary Non-tertiary Level,535,12.97894,12.36380,13.59408,8.00000,12.00000,20.00000,1.00000,38.00000,12.00000,10.00000,15.00000
2014,First Stage of Tertiary Education,312,13.87131,13.11783,14.62478,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,12.00000,15.00000
2014,Second Stage of Tertiary Education,892,11.96291,11.42645,12.49938,5.00000,10.00000,18.00000,1.00000,37.50000,10.00000,10.00000,12.00000
2015,Pre-primary Level,,,,,,,,,,,,
2015,Primary Level,,,,,,,,,,,,
2015,Lower Secondary Level,,,,,,,,,,,,
2015,Upper Secondary Level,,,,,,,,,,,,
2015,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2015,First Stage of Tertiary Education,,,,,,,,,,,,
2015,Second Stage of Tertiary Education,,,,,,,,,,,,
2016,Pre-primary Level,41,7.19338,6.07355,8.31322,4.00000,6.49014,10.00000,1.00000,19.00000,6.00000,4.00000,10.00000
2016,Primary Level,183,16.01394,14.77519,17.25269,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,12.97500,15.00000
2016,Lower Secondary Level,930,14.90970,14.33550,15.48390,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,12.00000,15.00000
2016,Upper Secondary Level,3136,14.93841,14.65230,15.22452,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,15.00000,15.00000
2016,Post-secondary Non-tertiary Level,538,13.24974,12.66931,13.83016,10.00000,13.15342,20.00000,1.00000,35.00000,14.00000,10.00000,15.00000
2016,First Stage of Tertiary Education,267,13.58994,12.61598,14.56389,7.00000,13.59188,20.00000,1.00000,39.50000,13.00000,10.00000,15.00000
2016,Second Stage of Tertiary Education,786,11.69370,11.13843,12.24897,5.00000,10.00000,16.00000,1.00000,32.50000,10.00000,10.00000,12.00000
2017,Pre-primary Level,,,,,,,,,,,,
2017,Primary Level,,,,,,,,,,,,
2017,Lower Secondary Level,,,,,,,,,,,,
2017,Upper Secondary Level,,,,,,,,,,,,
2017,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2017,First Stage of Tertiary Education,,,,,,,,,,,,
2017,Second Stage of Tertiary Education,,,,,,,,,,,,
2018,Pre-primary Level,,,,,,,,,,,,
2018,Primary Level,229,14.76108,13.70502,15.81714,9.60843,15.00000,20.00000,1.00000,35.58736,15.00000,12.00000,16.00000
2018,Lower Secondary Level,992,14.37385,13.87741,14.87029,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,12.00000,15.00000
2018,Upper Secondary Level,3211,14.47234,14.19877,14.74591,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,15.00000,15.00000
2018,Post-secondary Non-tertiary Level,538,12.93963,12.33329,13.54598,10.00000,11.00000,20.00000,1.00000,35.00000,11.00000,10.00000,13.00000
2018,First Stage of Tertiary Education,258,13.85026,12.93068,14.76984,10.00000,15.00000,20.00000,1.00000,35.00000,15.00000,10.00000,15.00000
2018,Second Stage of Tertiary Education,823,10.81466,10.22215,11.40718,5.00000,10.00000,15.00000,1.00000,30.00000,10.00000,10.00000,10.00000
2019,Pre-primary Level,,,,,,,,,,,,
2019,Primary Level,,,,,,,,,,,,
2019,Lower Secondary Level,,,,,,,,,,,,
2019,Upper Secondary Level,,,,,,,,,,,,
2019,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2019,First Stage of Tertiary Education,,,,,,,,,,,,
2019,Second Stage of Tertiary Education,,,,,,,,,,,,
2020,Pre-primary Level,32,6.70943,5.26348,8.15539,4.85625,5.34300,8.00000,1.00000,12.71562,6.00000,5.00000,8.00000
2020,Primary Level,507,17.45024,16.53589,18.36459,10.00000,16.33154,20.00000,0.00000,35.00000,17.00000,15.00000,20.00000
2020,Lower Secondary Level,1042,14.63052,14.15697,15.10408,10.00000,15.00000,20.00000,0.00000,35.00000,15.00000,12.00000,15.00000
2020,Upper Secondary Level,3025,14.05527,13.77084,14.33971,10.00000,13.00000,20.00000,0.00000,35.00000,13.00000,12.00000,15.00000
2020,Post-secondary Non-tertiary Level,535,12.61260,12.02734,13.19786,8.00000,12.00000,20.00000,0.00000,38.00000,12.00000,10.00000,14.02500
2020,First Stage of Tertiary Education,244,13.66207,12.58603,14.73812,8.00000,11.35080,20.00000,1.00000,38.00000,10.00000,10.00000,15.00000
2020,Second Stage of Tertiary Education,1038,10.51757,10.07039,10.96476,5.00000,10.00000,15.00000,0.00000,30.00000,10.00000,9.00000,10.00000
2021,Pre-primary Level,,,,,,,,,,,,
2021,Primary Level,,,,,,,,,,,,
2021,Lower Secondary Level,,,,,,,,,,,,
2021,Upper Secondary Level,,,,,,,,,,,,
2021,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2021,First Stage of Tertiary Education,,,,,,,,,,,,
2021,Second Stage of Tertiary Education,,,,,,,,,,,,
2022,Pre-primary Level,,,,,,,,,,,,
2022,Primary Level,,,,,,,,,,,,
2022,Lower Secondary Level,,,,,,,,,,,,
2022,Upper Secondary Level,,,,,,,,,,,,
2022,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2022,First Stage of Tertiary Education,,,,,,,,,,,,
2022,Second Stage of Tertiary Education,,,,,,,,,,,,
