,Unnamed: 0,year,bula_h,ple0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Schleswig-Holstein,No,1.0,359,12021,0.96355,1.04068
1,1,1984,Hamburg,No,1.0,277,12021,0.94153,1.07076
2,2,1984,Lower Saxony,Yes,0.11246,120,12021,0.10654,0.11783
3,3,1984,Lower Saxony,No,0.88754,1109,12021,0.86364,0.91047
4,4,1984,Bremen,No,1.0,113,12021,0.90657,1.09117
5,5,1984,North Rhine-Westphalia,Yes,0.15081,368,12021,0.14575,0.15687
6,6,1984,North Rhine-Westphalia,No,0.84919,2867,12021,0.83431,0.86895
7,7,1984,Hesse,Yes,0.12472,116,12021,0.11557,0.13403
8,8,1984,Hesse,No,0.87528,1126,12021,0.84203,0.90751
9,9,1984,"Rhineland-Palatinate, Saarland",Yes,0.11007,85,12021,0.10144,0.11806
10,10,1984,"Rhineland-Palatinate, Saarland",No,0.88993,765,12021,0.86615,0.91513
11,11,1984,Baden-Wuerttemberg,Yes,0.08726,152,12021,0.08091,0.09364
12,12,1984,Baden-Wuerttemberg,No,0.91274,2087,12021,0.88502,0.93719
13,13,1984,Bavaria,Yes,0.11434,191,12021,0.10947,0.11917
14,14,1984,Bavaria,No,0.88566,1881,12021,0.86468,0.90364
15,15,1984,Berlin,Yes,0.17622,55,12021,0.16025,0.19378
16,16,1984,Berlin,No,0.82378,350,12021,0.78036,0.86827
17,17,1985,Schleswig-Holstein,Yes,0.11214,34,10899,0.10085,0.12164
18,18,1985,Schleswig-Holstein,No,0.88786,315,10899,0.84298,0.93432
19,19,1985,Hamburg,No,1.0,257,10899,0.93466,1.05988
20,20,1985,Lower Saxony,Yes,0.11106,109,10899,0.10364,0.11761
21,21,1985,Lower Saxony,No,0.88894,993,10899,0.86606,0.91206
22,22,1985,Bremen,No,1.0,97,10899,0.89959,1.10315
23,23,1985,North Rhine-Westphalia,Yes,0.14225,314,10899,0.13687,0.14809
24,24,1985,North Rhine-Westphalia,No,0.85775,2607,10899,0.83977,0.87829
25,25,1985,Hesse,Yes,0.12776,106,10899,0.1185,0.13869
26,26,1985,Hesse,No,0.87224,1021,10899,0.83798,0.91405
27,27,1985,"Rhineland-Palatinate, Saarland",Yes,0.11021,75,10899,0.10057,0.11842
28,28,1985,"Rhineland-Palatinate, Saarland",No,0.88979,692,10899,0.86249,0.91524
29,29,1985,Baden-Wuerttemberg,Yes,0.0864,133,10899,0.07901,0.09469
30,30,1985,Baden-Wuerttemberg,No,0.9136,1897,10899,0.88843,0.9449
31,31,1985,Bavaria,Yes,0.11769,172,10899,0.11195,0.12308
32,32,1985,Bavaria,No,0.88231,1714,10899,0.86315,0.90456
33,33,1985,Berlin,Yes,0.16758,48,10899,0.14207,0.19201
34,34,1985,Berlin,No,0.83242,315,10899,0.76821,0.88311
35,35,1987,Schleswig-Holstein,Yes,0.11494,32,10355,0.0982,0.13199
36,36,1987,Schleswig-Holstein,No,0.88506,293,10355,0.84124,0.94802
37,37,1987,Hamburg,No,1.0,203,10355,0.9197,1.08217
38,38,1987,Lower Saxony,Yes,0.12362,119,10355,0.11507,0.13257
39,39,1987,Lower Saxony,No,0.87638,982,10355,0.84993,0.90242
40,40,1987,Bremen,No,1.0,92,10355,0.88799,1.11011
41,41,1987,North Rhine-Westphalia,Yes,0.13909,301,10355,0.13213,0.14537
42,42,1987,North Rhine-Westphalia,No,0.86091,2512,10355,0.83874,0.88141
43,43,1987,Hesse,Yes,0.12125,92,10355,0.11038,0.13128
44,44,1987,Hesse,No,0.87875,950,10355,0.84081,0.91881
45,45,1987,"Rhineland-Palatinate, Saarland",Yes,0.11052,75,10355,0.09869,0.12187
46,46,1987,"Rhineland-Palatinate, Saarland",No,0.88948,685,10355,0.85245,0.91972
47,47,1987,Baden-Wuerttemberg,Yes,0.09183,140,10355,0.0836,0.10143
48,48,1987,Baden-Wuerttemberg,No,0.90817,1803,10355,0.87157,0.93812
49,49,1987,Bavaria,Yes,0.10849,138,10355,0.10202,0.11547
50,50,1987,Bavaria,No,0.89151,1576,10355,0.86865,0.91627
51,51,1987,Berlin,Yes,0.17458,51,10355,0.14573,0.20063
52,52,1987,Berlin,No,0.82542,311,10355,0.76082,0.88619
53,53,1988,Schleswig-Holstein,Yes,0.14879,43,9892,0.13233,0.16441
54,54,1988,Schleswig-Holstein,No,0.85121,277,9892,0.8072,0.89766
55,55,1988,Hamburg,No,1.0,185,9892,0.90572,1.08997
56,56,1988,Lower Saxony,Yes,0.11226,107,9892,0.09998,0.12313
57,57,1988,Lower Saxony,No,0.88774,938,9892,0.85691,0.9212
58,58,1988,Bremen,No,1.0,84,9892,0.86544,1.11579
59,59,1988,North Rhine-Westphalia,Yes,0.1573,322,9892,0.14818,0.16542
60,60,1988,North Rhine-Westphalia,No,0.8427,2361,9892,0.82094,0.86644
61,61,1988,Hesse,Yes,0.14007,100,9892,0.12586,0.15182
62,62,1988,Hesse,No,0.85993,897,9892,0.81948,0.90064
63,63,1988,"Rhineland-Palatinate, Saarland",Yes,0.1528,92,9892,0.1398,0.16844
64,64,1988,"Rhineland-Palatinate, Saarland",No,0.8472,640,9892,0.81133,0.88119
65,65,1988,Baden-Wuerttemberg,Yes,0.09851,155,9892,0.08775,0.10662
66,66,1988,Baden-Wuerttemberg,No,0.90149,1729,9892,0.86814,0.93169
67,67,1988,Bavaria,Yes,0.118,144,9892,0.11107,0.12606
68,68,1988,Bavaria,No,0.882,1487,9892,0.85637,0.9049
69,69,1988,Berlin,Yes,0.17664,46,9892,0.15397,0.20465
70,70,1988,Berlin,No,0.82336,285,9892,0.76255,0.8888
71,71,1989,Schleswig-Holstein,Yes,0.16248,40,9578,0.14566,0.18143
72,72,1989,Schleswig-Holstein,No,0.83752,258,9578,0.787,0.88396
73,73,1989,Hamburg,No,1.0,177,9578,0.90325,1.08392
74,74,1989,Lower Saxony,Yes,0.13123,109,9578,0.12009,0.14122
75,75,1989,Lower Saxony,No,0.86877,881,9578,0.83543,0.89958
76,76,1989,Bremen,No,1.0,87,9578,0.90611,1.10934
77,77,1989,North Rhine-Westphalia,Yes,0.15673,307,9578,0.14853,0.16593
78,78,1989,North Rhine-Westphalia,No,0.84327,2295,9578,0.81782,0.86258
79,79,1989,Hesse,Yes,0.13246,97,9578,0.11978,0.14345
80,80,1989,Hesse,No,0.86754,894,9578,0.82432,0.91653
81,81,1989,"Rhineland-Palatinate, Saarland",Yes,0.13803,85,9578,0.12641,0.14953
82,82,1989,"Rhineland-Palatinate, Saarland",No,0.86197,606,9578,0.82722,0.90083
83,83,1989,Baden-Wuerttemberg,Yes,0.10333,153,9578,0.08969,0.11293
84,84,1989,Baden-Wuerttemberg,No,0.89667,1654,9578,0.85798,0.93121
85,85,1989,Bavaria,Yes,0.12405,142,9578,0.11758,0.13249
86,86,1989,Bavaria,No,0.87595,1464,9578,0.85151,0.90256
87,87,1989,Berlin,Yes,0.18592,50,9578,0.153,0.21553
88,88,1989,Berlin,No,0.81408,279,9578,0.7557,0.88615
89,89,1991,Schleswig-Holstein,Yes,0.13911,38,9321,0.11864,0.15597
90,90,1991,Schleswig-Holstein,No,0.86089,255,9321,0.8031,0.91283
91,91,1991,Hamburg,No,1.0,142,9321,0.8793,1.09305
92,92,1991,Lower Saxony,Yes,0.13507,106,9321,0.12254,0.14686
93,93,1991,Lower Saxony,No,0.86493,860,9321,0.83283,0.89879
94,94,1991,Bremen,No,1.0,80,9321,0.8893,1.1247
95,95,1991,North Rhine-Westphalia,Yes,0.16052,315,9321,0.15045,0.16942
96,96,1991,North Rhine-Westphalia,No,0.83948,2208,9321,0.81537,0.86317
97,97,1991,Hesse,Yes,0.15351,111,9321,0.14006,0.16681
98,98,1991,Hesse,No,0.84649,842,9321,0.81013,0.89387
99,99,1991,"Rhineland-Palatinate, Saarland",Yes,0.15489,84,9321,0.13902,0.16812
100,100,1991,"Rhineland-Palatinate, Saarland",No,0.84511,581,9321,0.80375,0.88483
101,101,1991,Baden-Wuerttemberg,Yes,0.10965,157,9321,0.09827,0.12072
102,102,1991,Baden-Wuerttemberg,No,0.89035,1625,9321,0.85897,0.92057
103,103,1991,Bavaria,Yes,0.12406,144,9321,0.11439,0.13342
104,104,1991,Bavaria,No,0.87594,1444,9321,0.84719,0.90216
105,105,1991,Berlin,Yes,0.16929,48,9321,0.13808,0.19905
106,106,1991,Berlin,No,0.83071,281,9321,0.76663,0.90828
107,107,1992,Schleswig-Holstein,Yes,0.14681,36,13074,0.13019,0.16781
108,108,1992,Schleswig-Holstein,No,0.85319,232,13074,0.80096,0.91238
109,109,1992,Hamburg,No,1.0,134,13074,0.89164,1.11179
110,110,1992,Lower Saxony,Yes,0.14042,115,13074,0.12879,0.15193
111,111,1992,Lower Saxony,No,0.85958,842,13074,0.82318,0.88916
112,112,1992,Bremen,No,1.0,75,13074,0.88421,1.10679
113,113,1992,North Rhine-Westphalia,Yes,0.15789,309,13074,0.14846,0.16606
114,114,1992,North Rhine-Westphalia,No,0.84211,2181,13074,0.82139,0.87081
115,115,1992,Hesse,Yes,0.15663,111,13074,0.14262,0.17228
116,116,1992,Hesse,No,0.84337,826,13074,0.80548,0.88817
117,117,1992,"Rhineland-Palatinate, Saarland",Yes,0.15646,85,13074,0.14172,0.17113
118,118,1992,"Rhineland-Palatinate, Saarland",No,0.84354,570,13074,0.8007,0.88365
119,119,1992,Baden-Wuerttemberg,Yes,0.11958,170,13074,0.10782,0.13235
120,120,1992,Baden-Wuerttemberg,No,0.88042,1570,13074,0.85032,0.91176
121,121,1992,Bavaria,Yes,0.12298,152,13074,0.11337,0.13254
122,122,1992,Bavaria,No,0.87702,1468,13074,0.84862,0.89816
123,123,1992,Berlin,Yes,0.15887,70,13074,0.13961,0.18582
124,124,1992,Berlin,No,0.84113,519,13074,0.79345,0.88975
125,125,1992,Brandenburg,Yes,0.10973,59,13074,0.09504,0.12326
126,126,1992,Brandenburg,No,0.89027,599,13074,0.8529,0.92342
