year,bula_h,pgisced97,ple0040,proportion,n,lower_confidence,upper_confidence
1984,Nordrhein-Westfalen,middle vocational,Nein,0.1122958449691123,16099,0.10741862221632766,0.11717306772189694
1984,Bayern,middle vocational,Nein,0.07836168232207837,16099,0.07421033798336651,0.08251302666079022
1984,Baden-Württemberg,middle vocational,Nein,0.07184564610307184,16099,0.06785661932555144,0.07583467288059224
1984,Nordrhein-Westfalen,general elemantary,Nein,0.06186003215706186,16099,0.05813872505969398,0.06558133925442974
1984,Baden-Württemberg,general elemantary,Nein,0.05305915206905306,16099,0.049596584960234634,0.056521719177871486
1984,Hessen,middle vocational,Nein,0.044596767369044596,16099,0.041408155457000065,0.04778537928108913
1984,Niedersachsen,middle vocational,Nein,0.04442751967504443,16099,0.041244682132342225,0.04761035721774663
1984,Bayern,general elemantary,Nein,0.04281966658204282,16099,0.03969232625399639,0.04594700691008925
1984,"Rheinland-Pfalz,Saarland",middle vocational,Nein,0.02927985106202928,16099,0.026675568668209283,0.03188413345584928
1984,Niedersachsen,general elemantary,Nein,0.02614876872302615,16099,0.0236837027211406,0.028613834724911698
1984,Hessen,general elemantary,Nein,0.026064144876026065,16099,0.023602963959970778,0.028525325792081353
1984,Nordrhein-Westfalen,inadequately,Nein,0.023440805619023442,16099,0.021103625547329107,0.025777985690717778
1984,Baden-Württemberg,inadequately,Nein,0.02217144791402217,16099,0.019896952810625854,0.024445943017418488
1984,"Rheinland-Pfalz,Saarland",general elemantary,Nein,0.021494457138021495,16099,0.019254181238888255,0.023734733037154735
1984,Nordrhein-Westfalen,higher education,Nein,0.017263264788017263,16099,0.015251224454513945,0.01927530512152058
1984,Schleswig-Holstein,middle vocational,Nein,0.01717864094101718,16099,0.015171451722901444,0.019185830159132913
1984,Nordrhein-Westfalen,middle vocational,Ja,0.01607853093001608,16099,0.014135588098095826,0.018021473761936333
1984,Berlin,middle vocational,Nein,0.013624439367013625,16099,0.011833680571039817,0.015415198162987432
1984,Bayern,higher education,Nein,0.012185833968012186,16099,0.010491020625123876,0.013880647310900496
1984,Hamburg,middle vocational,Nein,0.011508843192011509,16099,0.009861216375734973,0.013156470008288044
1984,Nordrhein-Westfalen,higher vocational,Nein,0.010577980875010579,16099,0.00899764719640717,0.012158314553613988
1984,Baden-Württemberg,higher education,Nein,0.009900990099009901,16099,0.008371540227325504,0.011430439970694298
1984,Bayern,higher vocational,Nein,0.009308623170009309,16099,0.007825188115695894,0.010792058224322724
1984,Baden-Württemberg,higher vocational,Nein,0.009054751629009055,16099,0.007591497622183106,0.010518005635835003
1984,Nordrhein-Westfalen,general elemantary,Ja,0.008208513159008208,16099,0.006814717657129021,0.009602308660887396
1984,Bayern,middle vocational,Ja,0.008123889312008125,16099,0.006737237782174787,0.009510540841841462
1984,Bayern,inadequately,Nein,0.00803926546500804,16099,0.00665979614252917,0.009418734787486909
1984,Hessen,inadequately,Nein,0.007700770077007701,16099,0.006350424187632691,0.00905111596638271
1984,Nordrhein-Westfalen,vocational + Abi,Nein,0.007193026995007193,16099,0.005887623185793199,0.008498430804221186
1984,Hessen,higher education,Nein,0.007023779301007024,16099,0.0057337146546079425,0.008313843947406105
1984,Baden-Württemberg,middle vocational,Ja,0.006854531607006854,16099,0.005579996080616964,0.008129067133396745
1984,Berlin,general elemantary,Nein,0.00676990776000677,16099,0.00550321020746647,0.00803660531254707
1984,Schleswig-Holstein,general elemantary,Nein,0.006600660066006601,16099,0.005349789888971055,0.007851530243042146
1984,Niedersachsen,higher vocational,Nein,0.006262164678006262,16099,0.005043582629781359,0.007480746726231165
1984,Niedersachsen,higher education,Nein,0.005839045443005839,16099,0.004662101170112889,0.007015989715898788
