,Unnamed: 0,year,quintil_oecd,ple0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,1st Quintile,Yes,0.13814,241,12071,0.13008,0.1458
1,1,1984,1st Quintile,No,0.86186,2226,12071,0.83596,0.88754
2,2,1984,2nd Quintile,Yes,0.13456,242,12071,0.12755,0.14239
3,3,1984,2nd Quintile,No,0.86544,2126,12071,0.8433,0.88841
4,4,1984,3rd Quintile,Yes,0.11713,227,12071,0.11227,0.12292
5,5,1984,3rd Quintile,No,0.88287,2125,12071,0.86482,0.9004
6,6,1984,4th Quintile,Yes,0.10893,218,12071,0.10401,0.11413
7,7,1984,4th Quintile,No,0.89107,2270,12071,0.873,0.90703
8,8,1984,5th Quintile,Yes,0.11198,227,12071,0.108,0.11548
9,9,1984,5th Quintile,No,0.88802,2169,12071,0.87307,0.90334
10,10,1985,1st Quintile,Yes,0.1324,208,10929,0.12334,0.14085
11,11,1985,1st Quintile,No,0.8676,2020,10929,0.84063,0.89264
12,12,1985,2nd Quintile,Yes,0.13434,218,10929,0.12763,0.14193
13,13,1985,2nd Quintile,No,0.86566,1916,10929,0.84186,0.8885
14,14,1985,3rd Quintile,Yes,0.12768,214,10929,0.12255,0.13314
15,15,1985,3rd Quintile,No,0.87232,1975,10929,0.85208,0.8941
16,16,1985,4th Quintile,Yes,0.09102,173,10929,0.0866,0.09636
17,17,1985,4th Quintile,No,0.90898,2042,10929,0.89116,0.93219
18,18,1985,5th Quintile,Yes,0.11886,216,10929,0.11442,0.12401
19,19,1985,5th Quintile,No,0.88114,1947,10929,0.86516,0.89841
20,20,1987,1st Quintile,Yes,0.14732,217,10383,0.1372,0.15628
21,21,1987,1st Quintile,No,0.85268,1789,10383,0.82548,0.87714
22,22,1987,2nd Quintile,Yes,0.12478,176,10383,0.11574,0.13384
23,23,1987,2nd Quintile,No,0.87522,1859,10383,0.84787,0.90293
24,24,1987,3rd Quintile,Yes,0.12126,204,10383,0.11397,0.12883
25,25,1987,3rd Quintile,No,0.87874,1883,10383,0.8545,0.90639
26,26,1987,4th Quintile,Yes,0.10573,191,10383,0.09972,0.11186
27,27,1987,4th Quintile,No,0.89427,1990,10383,0.87254,0.91647
28,28,1987,5th Quintile,Yes,0.10307,191,10383,0.09662,0.10837
29,29,1987,5th Quintile,No,0.89693,1883,10383,0.88017,0.91601
30,30,1988,1st Quintile,Yes,0.1779,244,9919,0.16709,0.18926
31,31,1988,1st Quintile,No,0.8221,1715,9919,0.78799,0.85425
32,32,1988,2nd Quintile,Yes,0.14357,198,9919,0.13413,0.15372
33,33,1988,2nd Quintile,No,0.85643,1776,9919,0.82754,0.88912
34,34,1988,3rd Quintile,Yes,0.13176,211,9919,0.12294,0.14078
35,35,1988,3rd Quintile,No,0.86824,1783,9919,0.8411,0.89457
36,36,1988,4th Quintile,Yes,0.1129,204,9919,0.10595,0.11988
37,37,1988,4th Quintile,No,0.8871,1859,9919,0.86293,0.90875
38,38,1988,5th Quintile,Yes,0.10309,181,9919,0.09721,0.10915
39,39,1988,5th Quintile,No,0.89691,1748,9919,0.87479,0.91479
40,40,1989,1st Quintile,Yes,0.17862,231,9613,0.16798,0.19111
41,41,1989,1st Quintile,No,0.82138,1673,9613,0.79144,0.85271
42,42,1989,2nd Quintile,Yes,0.14509,199,9613,0.13385,0.15577
43,43,1989,2nd Quintile,No,0.85491,1754,9613,0.82375,0.88396
44,44,1989,3rd Quintile,Yes,0.1271,193,9613,0.12009,0.13579
45,45,1989,3rd Quintile,No,0.8729,1690,9613,0.84862,0.89866
46,46,1989,4th Quintile,Yes,0.12779,215,9613,0.11904,0.13727
47,47,1989,4th Quintile,No,0.87221,1817,9613,0.85093,0.89663
48,48,1989,5th Quintile,Yes,0.10939,181,9613,0.10279,0.11655
49,49,1989,5th Quintile,No,0.89061,1660,9613,0.87083,0.91441
50,50,1991,1st Quintile,Yes,0.20231,264,9354,0.18817,0.21487
51,51,1991,1st Quintile,No,0.79769,1563,9354,0.76783,0.82941
52,52,1991,2nd Quintile,Yes,0.14676,200,9354,0.1353,0.15781
53,53,1991,2nd Quintile,No,0.85324,1676,9354,0.81959,0.88634
54,54,1991,3rd Quintile,Yes,0.13326,197,9354,0.12409,0.14156
55,55,1991,3rd Quintile,No,0.86674,1691,9354,0.83827,0.89531
56,56,1991,4th Quintile,Yes,0.12496,198,9354,0.11701,0.13436
57,57,1991,4th Quintile,No,0.87504,1738,9354,0.84546,0.89634
58,58,1991,5th Quintile,Yes,0.10351,177,9354,0.09792,0.11066
59,59,1991,5th Quintile,No,0.89649,1650,9354,0.87662,0.91655
60,60,1992,1st Quintile,Yes,0.17294,347,13132,0.15931,0.18394
61,61,1992,1st Quintile,No,0.82706,2392,13132,0.80301,0.85223
62,62,1992,2nd Quintile,Yes,0.12918,262,13132,0.11934,0.13787
63,63,1992,2nd Quintile,No,0.87082,2544,13132,0.84439,0.89424
64,64,1992,3rd Quintile,Yes,0.13443,247,13132,0.12495,0.1437
65,65,1992,3rd Quintile,No,0.86557,2389,13132,0.8413,0.88994
66,66,1992,4th Quintile,Yes,0.13086,279,13132,0.12245,0.13984
67,67,1992,4th Quintile,No,0.86914,2323,13132,0.84644,0.89622
68,68,1992,5th Quintile,Yes,0.10695,227,13132,0.10007,0.11348
69,69,1992,5th Quintile,No,0.89305,2122,13132,0.87113,0.91784
70,70,1994,1st Quintile,Yes,0.16864,302,12720,0.15755,0.18219
71,71,1994,1st Quintile,No,0.83136,2168,12720,0.8011,0.86031
72,72,1994,2nd Quintile,Yes,0.12176,245,12720,0.1141,0.12974
73,73,1994,2nd Quintile,No,0.87824,2437,12720,0.85134,0.90276
74,74,1994,3rd Quintile,Yes,0.12742,254,12720,0.1181,0.13823
75,75,1994,3rd Quintile,No,0.87258,2415,12720,0.84563,0.89626
76,76,1994,4th Quintile,Yes,0.11994,251,12720,0.11141,0.12764
77,77,1994,4th Quintile,No,0.88006,2259,12720,0.85313,0.90713
78,78,1994,5th Quintile,Yes,0.11054,227,12720,0.10366,0.11893
79,79,1994,5th Quintile,No,0.88946,2162,12720,0.86494,0.91399
80,80,1995,1st Quintile,Yes,0.14655,269,13127,0.13411,0.15828
81,81,1995,1st Quintile,No,0.85345,2236,13127,0.8298,0.87956
82,82,1995,2nd Quintile,Yes,0.14524,302,13127,0.13577,0.15517
83,83,1995,2nd Quintile,No,0.85476,2529,13127,0.83167,0.88184
84,84,1995,3rd Quintile,Yes,0.13516,268,13127,0.1255,0.14654
85,85,1995,3rd Quintile,No,0.86484,2418,13127,0.83475,0.89168
86,86,1995,4th Quintile,Yes,0.13819,266,13127,0.12752,0.15077
87,87,1995,4th Quintile,No,0.86181,2391,13127,0.83497,0.88449
88,88,1995,5th Quintile,Yes,0.12033,250,13127,0.11084,0.13235
89,89,1995,5th Quintile,No,0.87967,2198,13127,0.85214,0.90777
90,90,1996,1st Quintile,Yes,0.16285,301,13001,0.14866,0.1733
91,91,1996,1st Quintile,No,0.83715,2230,13001,0.81004,0.8691
92,92,1996,2nd Quintile,Yes,0.13901,271,13001,0.12698,0.15098
93,93,1996,2nd Quintile,No,0.86099,2452,13001,0.82975,0.88708
94,94,1996,3rd Quintile,Yes,0.1541,297,13001,0.14189,0.16746
95,95,1996,3rd Quintile,No,0.8459,2347,13001,0.82289,0.8733
96,96,1996,4th Quintile,Yes,0.12552,268,13001,0.11669,0.13509
97,97,1996,4th Quintile,No,0.87448,2436,13001,0.84462,0.89923
98,98,1996,5th Quintile,Yes,0.11188,228,13001,0.10323,0.1219
99,99,1996,5th Quintile,No,0.88812,2171,13001,0.86023,0.91986
100,100,1997,1st Quintile,Yes,0.15748,271,12746,0.14267,0.17261
101,101,1997,1st Quintile,No,0.84252,2084,12746,0.81458,0.8775
102,102,1997,2nd Quintile,Yes,0.14795,302,12746,0.13737,0.15915
103,103,1997,2nd Quintile,No,0.85205,2451,12746,0.82305,0.8824
104,104,1997,3rd Quintile,Yes,0.15995,295,12746,0.14743,0.17047
105,105,1997,3rd Quintile,No,0.84005,2256,12746,0.81586,0.86716
106,106,1997,4th Quintile,Yes,0.1133,243,12746,0.10529,0.12234
107,107,1997,4th Quintile,No,0.8867,2411,12746,0.85871,0.91813
108,108,1997,5th Quintile,Yes,0.11312,234,12746,0.10425,0.12364
109,109,1997,5th Quintile,No,0.88688,2199,12746,0.85833,0.91607
110,110,1998,1st Quintile,Yes,0.1555,277,12217,0.14208,0.16781
111,111,1998,1st Quintile,No,0.8445,2040,12217,0.816,0.87656
112,112,1998,2nd Quintile,Yes,0.14959,294,12217,0.13972,0.16174
113,113,1998,2nd Quintile,No,0.85041,2246,12217,0.82425,0.87334
114,114,1998,3rd Quintile,Yes,0.14647,272,12217,0.1348,0.15865
115,115,1998,3rd Quintile,No,0.85353,2243,12217,0.82426,0.8858
116,116,1998,4th Quintile,Yes,0.13265,268,12217,0.12293,0.14447
117,117,1998,4th Quintile,No,0.86735,2304,12217,0.84361,0.89342
118,118,1998,5th Quintile,Yes,0.11124,214,12217,0.10134,0.12142
119,119,1998,5th Quintile,No,0.88876,2059,12217,0.85797,0.91663
120,120,1999,1st Quintile,Yes,0.15036,301,13638,0.13797,0.16159
121,121,1999,1st Quintile,No,0.84964,2276,13638,0.82192,0.88089
122,122,1999,2nd Quintile,Yes,0.14385,317,13638,0.13347,0.15357
123,123,1999,2nd Quintile,No,0.85615,2548,13638,0.83556,0.88046
124,124,1999,3rd Quintile,Yes,0.14578,327,13638,0.13478,0.15676
125,125,1999,3rd Quintile,No,0.85422,2487,13638,0.82563,0.87662
126,126,1999,4th Quintile,Yes,0.13101,291,13638,0.12161,0.14197
127,127,1999,4th Quintile,No,0.86899,2489,13638,0.84243,0.89539
128,128,1999,5th Quintile,Yes,0.11949,262,13638,0.11106,0.12981
