,Unnamed: 0,year,regtyp,sex,ple0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
71,71,1996,Rural regions,female,No,0.89405,2132,13007,0.86204,0.92521
72,72,1997,Urban regions,male,Yes,0.15849,494,12746,0.14894,0.17017
73,73,1997,Urban regions,male,No,0.84151,3535,12746,0.81488,0.86346
74,74,1997,Urban regions,female,Yes,0.12331,417,12746,0.11372,0.131
75,75,1997,Urban regions,female,No,0.87669,3876,12746,0.85636,0.89911
76,76,1997,Rural regions,male,Yes,0.15709,249,12746,0.14434,0.17101
77,77,1997,Rural regions,male,No,0.84291,1897,12746,0.81022,0.87115
78,78,1997,Rural regions,female,Yes,0.10506,185,12746,0.09461,0.11701
79,79,1997,Rural regions,female,No,0.89494,2093,12746,0.8661,0.92924
80,80,1998,Urban regions,male,Yes,0.15356,561,14115,0.14555,0.16195
81,81,1998,Urban regions,male,No,0.84644,3868,14115,0.82808,0.86426
82,82,1998,Urban regions,female,Yes,0.1272,487,14115,0.12072,0.13389
83,83,1998,Urban regions,female,No,0.8728,4275,14115,0.85587,0.89378
84,84,1998,Rural regions,male,Yes,0.14806,288,14115,0.13687,0.15964
85,85,1998,Rural regions,male,No,0.85194,2117,14115,0.82263,0.87611
86,86,1998,Rural regions,female,Yes,0.10505,207,14115,0.09693,0.11635
87,87,1998,Rural regions,female,No,0.89495,2312,14115,0.86751,0.92258
88,88,1999,Urban regions,male,Yes,0.15223,537,13638,0.1446,0.1596
89,89,1999,Urban regions,male,No,0.84777,3730,13638,0.82651,0.86788
90,90,1999,Urban regions,female,Yes,0.13355,479,13638,0.12697,0.1418
91,91,1999,Urban regions,female,No,0.86645,4102,13638,0.84793,0.88406
92,92,1999,Rural regions,male,Yes,0.14909,273,13638,0.13764,0.15992
93,93,1999,Rural regions,male,No,0.85091,2052,13638,0.81901,0.87789
94,94,1999,Rural regions,female,Yes,0.10433,209,13638,0.09288,0.11666
95,95,1999,Rural regions,female,No,0.89567,2256,13638,0.87022,0.92306
96,96,2000,Urban regions,male,Yes,0.1431,975,24020,0.13857,0.14777
97,97,2000,Urban regions,male,No,0.8569,6511,24020,0.84583,0.87023
98,98,2000,Urban regions,female,Yes,0.11311,800,24020,0.10852,0.11767
99,99,2000,Urban regions,female,No,0.88689,7359,24020,0.87514,0.89765
100,100,2000,Rural regions,male,Yes,0.13444,481,24020,0.12847,0.14081
101,101,2000,Rural regions,male,No,0.86556,3578,24020,0.84757,0.87946
