"ple0040","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1985","(noch) kein Abschluss","Staedtischer Raum","54","0.0727071819803028","0.0560549766561307","0.0893593873044749"
"Ja","1985","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Ja","1985","Hauptschule","Staedtischer Raum","551","0.147714262631842","0.137704742268448","0.157723782995237"
"Ja","1985","Hauptschule","Laendlicher Raum","153","","",""
"Ja","1985","Realschule","Staedtischer Raum","104","","",""
"Ja","1985","Realschule","Laendlicher Raum","27","","",""
"Ja","1985","(Fach-)Abitur","Staedtischer Raum","46","0.0860974382271917","0.0648890083991416","0.107305868055242"
"Ja","1985","(Fach-)Abitur","Laendlicher Raum","7","0.0635711692475749","0.0181818060795408","0.108960532415609"
"Ja","1985","AkademikerIn","Staedtischer Raum","54","0.102028861522928","0.0783742686434619","0.125683454402393"
"Ja","1985","AkademikerIn","Laendlicher Raum","13","","",""
"Nein","1985","(noch) kein Abschluss","Staedtischer Raum","880","0.927292818019697","0.910640612695525","0.943945023343869"
"Nein","1985","(noch) kein Abschluss","Laendlicher Raum","134","","",""
"Nein","1985","Hauptschule","Staedtischer Raum","4276","0.852285737368158","0.842276217004763","0.862295257731552"
"Nein","1985","Hauptschule","Laendlicher Raum","1399","","",""
"Nein","1985","Realschule","Staedtischer Raum","1294","","",""
"Nein","1985","Realschule","Laendlicher Raum","380","0.915987204508411","0.889036612602456","0.942937796414366"
"Nein","1985","(Fach-)Abitur","Staedtischer Raum","626","0.913902561772808","0.892694131944758","0.935110991600858"
"Nein","1985","(Fach-)Abitur","Laendlicher Raum","104","","",""
"Nein","1985","AkademikerIn","Staedtischer Raum","575","0.897971138477072","0.874316545597607","0.921625731356538"
"Nein","1985","AkademikerIn","Laendlicher Raum","109","","",""
"Ja","1986","(noch) kein Abschluss","Staedtischer Raum","2","","",""
"Ja","1986","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Ja","1986","Hauptschule","Staedtischer Raum","2","","",""
"Ja","1986","Hauptschule","Laendlicher Raum","1","","",""
"Ja","1986","Realschule","Staedtischer Raum","1","","",""
"Ja","1986","Realschule","Laendlicher Raum","1","","",""
"Ja","1986","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1986","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1986","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1986","(noch) kein Abschluss","Staedtischer Raum","110","","",""
"Nein","1986","(noch) kein Abschluss","Laendlicher Raum","12","","",""
"Nein","1986","Hauptschule","Staedtischer Raum","163","","",""
"Nein","1986","Hauptschule","Laendlicher Raum","54","0.989746740238228","0.963123570172688","1.01636991030377"
"Nein","1986","Realschule","Staedtischer Raum","77","0.988236644337116","0.964309168818637","1.0121641198556"
"Nein","1986","Realschule","Laendlicher Raum","12","","",""
"Nein","1986","(Fach-)Abitur","Staedtischer Raum","20","","",""
"Nein","1986","(Fach-)Abitur","Laendlicher Raum","3","","",""
"Nein","1986","AkademikerIn","Staedtischer Raum","14","","",""
"Nein","1986","AkademikerIn","Laendlicher Raum","2","","",""
"Ja","1987","(noch) kein Abschluss","Staedtischer Raum","65","0.0898780901179593","0.0708732085716144","0.108882971664304"
"Ja","1987","(noch) kein Abschluss","Laendlicher Raum","7","0.0936340756618884","0.0423590369466045","0.144909114377172"
"Ja","1987","Hauptschule","Staedtischer Raum","504","0.144246046257148","0.134010353708464","0.154481738805831"
"Ja","1987","Hauptschule","Laendlicher Raum","151","","",""
"Ja","1987","Realschule","Staedtischer Raum","106","","",""
"Ja","1987","Realschule","Laendlicher Raum","24","","",""
"Ja","1987","(Fach-)Abitur","Staedtischer Raum","47","0.0876259448156844","0.066216100464842","0.109035789166527"
"Ja","1987","(Fach-)Abitur","Laendlicher Raum","6","0.0538827820306139","0.0114958171055037","0.096269746955724"
"Ja","1987","AkademikerIn","Staedtischer Raum","49","0.0887116126651117","0.0662948956899826","0.111128329640241"
"Ja","1987","AkademikerIn","Laendlicher Raum","11","","",""
"Nein","1987","(noch) kein Abschluss","Staedtischer Raum","805","0.910121909882041","0.891117028335696","0.929126791428386"
"Nein","1987","(noch) kein Abschluss","Laendlicher Raum","117","","",""
"Nein","1987","Hauptschule","Staedtischer Raum","4022","0.855753953742852","0.845518261194169","0.865989646291536"
"Nein","1987","Hauptschule","Laendlicher Raum","1289","","",""
"Nein","1987","Realschule","Staedtischer Raum","1250","","",""
"Nein","1987","Realschule","Laendlicher Raum","374","0.920654559048579","0.894101418267294","0.947207699829863"
"Nein","1987","(Fach-)Abitur","Staedtischer Raum","623","0.912374055184316","0.890964210833473","0.933783899535158"
"Nein","1987","(Fach-)Abitur","Laendlicher Raum","103","","",""
"Nein","1987","AkademikerIn","Staedtischer Raum","569","0.911288387334888","0.888871670359759","0.933705104310017"
"Nein","1987","AkademikerIn","Laendlicher Raum","112","","",""
"Ja","1988","(noch) kein Abschluss","Staedtischer Raum","65","0.0823804095601804","0.0630977965256675","0.101663022594693"
"Ja","1988","(noch) kein Abschluss","Laendlicher Raum","6","0.103716383293749","0.0498346018090663","0.157598164778433"
"Ja","1988","Hauptschule","Staedtischer Raum","563","0.166016435135262","0.154980458225065","0.177052412045459"
"Ja","1988","Hauptschule","Laendlicher Raum","153","","",""
"Ja","1988","Realschule","Staedtischer Raum","106","","",""
"Ja","1988","Realschule","Laendlicher Raum","21","","",""
"Ja","1988","(Fach-)Abitur","Staedtischer Raum","49","0.0991214396023459","0.0759520502297769","0.122290828974915"
"Ja","1988","(Fach-)Abitur","Laendlicher Raum","8","0.0830812360458906","0.0281550898393973","0.138007382252384"
"Ja","1988","AkademikerIn","Staedtischer Raum","47","0.0935205515416485","0.0698860566848375","0.11715504639846"
"Ja","1988","AkademikerIn","Laendlicher Raum","8","0.0924019150617198","0.0392421642040492","0.14556166591939"
"Nein","1988","(noch) kein Abschluss","Staedtischer Raum","716","0.91761959043982","0.898336977405307","0.936902203474333"
"Nein","1988","(noch) kein Abschluss","Laendlicher Raum","117","","",""
"Nein","1988","Hauptschule","Staedtischer Raum","3804","0.833983564864738","0.822947587954541","0.845019541774936"
"Nein","1988","Hauptschule","Laendlicher Raum","1191","","",""
"Nein","1988","Realschule","Staedtischer Raum","1214","","",""
"Nein","1988","Realschule","Laendlicher Raum","355","0.930544071240805","0.904847374258871","0.956240768222738"
"Nein","1988","(Fach-)Abitur","Staedtischer Raum","590","0.900878560397654","0.877709171025085","0.924047949770223"
"Nein","1988","(Fach-)Abitur","Laendlicher Raum","89","0.916918763954109","0.861992617747616","0.971844910160603"
"Nein","1988","AkademikerIn","Staedtischer Raum","536","0.906479448458352","0.882844953601541","0.930113943315163"
"Nein","1988","AkademikerIn","Laendlicher Raum","106","","",""
"Ja","1989","(noch) kein Abschluss","Staedtischer Raum","70","0.0980301715766006","0.0770409279499108","0.11901941520329"
"Ja","1989","(noch) kein Abschluss","Laendlicher Raum","6","0.0902251762541208","0.037400153105105","0.143050199403137"
"Ja","1989","Hauptschule","Staedtischer Raum","530","0.165263009287159","0.154027583592855","0.176498434981464"
"Ja","1989","Hauptschule","Laendlicher Raum","170","","",""
"Ja","1989","Realschule","Staedtischer Raum","102","","",""
"Ja","1989","Realschule","Laendlicher Raum","17","","",""
"Ja","1989","(Fach-)Abitur","Staedtischer Raum","43","0.0840917975303601","0.0628383085975439","0.105345286463176"
"Ja","1989","(Fach-)Abitur","Laendlicher Raum","7","0.0819905087538104","0.0273936570369532","0.136587360470668"
"Ja","1989","AkademikerIn","Staedtischer Raum","52","0.102238967876163","0.0776041912656737","0.126873744486651"
"Ja","1989","AkademikerIn","Laendlicher Raum","9","0.101599996579689","0.0461403133768594","0.157059679782518"
"Nein","1989","(noch) kein Abschluss","Staedtischer Raum","701","0.901969828423399","0.88098058479671","0.922959072050089"
"Nein","1989","(noch) kein Abschluss","Laendlicher Raum","107","","",""
"Nein","1989","Hauptschule","Staedtischer Raum","3668","0.83473699071284","0.823501565018536","0.845972416407145"
"Nein","1989","Hauptschule","Laendlicher Raum","1094","","",""
"Nein","1989","Realschule","Staedtischer Raum","1186","","",""
"Nein","1989","Realschule","Laendlicher Raum","339","0.935740363067883","0.910267960641438","0.961212765494328"
"Nein","1989","(Fach-)Abitur","Staedtischer Raum","612","0.91590820246964","0.894654713536824","0.937161691402456"
"Nein","1989","(Fach-)Abitur","Laendlicher Raum","90","0.91800949124619","0.863412639529332","0.972606342963047"
"Nein","1989","AkademikerIn","Staedtischer Raum","529","0.897761032123837","0.873126255513349","0.922395808734326"
"Nein","1989","AkademikerIn","Laendlicher Raum","105","","",""
"Ja","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1990","Hauptschule","Staedtischer Raum","","","",""
"Ja","1990","Hauptschule","Laendlicher Raum","","","",""
"Ja","1990","Realschule","Staedtischer Raum","","","",""
"Ja","1990","Realschule","Laendlicher Raum","","","",""
"Ja","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1990","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1990","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","1990","Hauptschule","Staedtischer Raum","","","",""
"Nein","1990","Hauptschule","Laendlicher Raum","","","",""
"Nein","1990","Realschule","Staedtischer Raum","","","",""
"Nein","1990","Realschule","Laendlicher Raum","","","",""
"Nein","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","1990","AkademikerIn","Staedtischer Raum","","","",""
"Nein","1990","AkademikerIn","Laendlicher Raum","","","",""
"Ja","1991","(noch) kein Abschluss","Staedtischer Raum","76","0.120045914968057","0.0960032151645825","0.144088614771531"
"Ja","1991","(noch) kein Abschluss","Laendlicher Raum","7","0.090445013198327","0.0389124905015967","0.141977535895057"
"Ja","1991","Hauptschule","Staedtischer Raum","530","0.175430361682973","0.163605387295032","0.187255336070914"
"Ja","1991","Hauptschule","Laendlicher Raum","171","","",""
"Ja","1991","Realschule","Staedtischer Raum","102","","",""
"Ja","1991","Realschule","Laendlicher Raum","19","","",""
"Ja","1991","(Fach-)Abitur","Staedtischer Raum","53","0.0994014823818486","0.0764530224804537","0.122349942283244"
"Ja","1991","(Fach-)Abitur","Laendlicher Raum","8","0.0807223395669019","0.0300458147586932","0.131398864375111"
"Ja","1991","AkademikerIn","Staedtischer Raum","52","0.0974042166125524","0.0735796429782467","0.121228790246858"
"Ja","1991","AkademikerIn","Laendlicher Raum","8","0.080271509469284","0.0318580696582153","0.128684949280353"
"Nein","1991","(noch) kein Abschluss","Staedtischer Raum","626","0.879954085031943","0.855911385228469","0.903996784835417"
"Nein","1991","(noch) kein Abschluss","Laendlicher Raum","112","","",""
"Nein","1991","Hauptschule","Staedtischer Raum","3444","0.824569638317027","0.812744663929087","0.836394612704968"
"Nein","1991","Hauptschule","Laendlicher Raum","1072","","",""
"Nein","1991","Realschule","Staedtischer Raum","1157","","",""
"Nein","1991","Realschule","Laendlicher Raum","351","0.9278715440393","0.901511600560997","0.954231487517603"
"Nein","1991","(Fach-)Abitur","Staedtischer Raum","600","0.900598517618151","0.877650057716757","0.923546977519546"
"Nein","1991","(Fach-)Abitur","Laendlicher Raum","103","","",""
"Nein","1991","AkademikerIn","Staedtischer Raum","543","0.902595783387448","0.878771209753142","0.926420357021753"
"Nein","1991","AkademikerIn","Laendlicher Raum","113","","",""
"Ja","1992","(noch) kein Abschluss","Staedtischer Raum","78","0.129235132149538","0.104295133040892","0.154175131258185"
"Ja","1992","(noch) kein Abschluss","Laendlicher Raum","10","","",""
"Ja","1992","Hauptschule","Staedtischer Raum","592","0.179873903862545","0.168334810766964","0.191412996958126"
"Ja","1992","Hauptschule","Laendlicher Raum","292","","",""
"Ja","1992","Realschule","Staedtischer Raum","132","","",""
"Ja","1992","Realschule","Laendlicher Raum","55","0.0633012822363653","0.0501452065634286","0.0764573579093019"
"Ja","1992","(Fach-)Abitur","Staedtischer Raum","47","0.0873276605052006","0.0663989312285624","0.108256389781839"
"Ja","1992","(Fach-)Abitur","Laendlicher Raum","10","","",""
"Ja","1992","AkademikerIn","Staedtischer Raum","77","0.0941258396021488","0.0758345168664595","0.112417162337838"
"Ja","1992","AkademikerIn","Laendlicher Raum","47","0.0809461529965426","0.0596815079746065","0.102210798018479"
"Nein","1992","(noch) kein Abschluss","Staedtischer Raum","617","0.870764867850461","0.845824868741815","0.895704866959108"
"Nein","1992","(noch) kein Abschluss","Laendlicher Raum","158","","",""
"Nein","1992","Hauptschule","Staedtischer Raum","3664","0.820126096137455","0.808587003041874","0.831665189233036"
"Nein","1992","Hauptschule","Laendlicher Raum","1845","","",""
"Nein","1992","Realschule","Staedtischer Raum","1578","","",""
"Nein","1992","Realschule","Laendlicher Raum","1261","","",""
"Nein","1992","(Fach-)Abitur","Staedtischer Raum","652","0.912672339494799","0.891743610218161","0.933601068771438"
"Nein","1992","(Fach-)Abitur","Laendlicher Raum","173","","",""
"Nein","1992","AkademikerIn","Staedtischer Raum","902","0.905874160397851","0.887582837662162","0.924165483133541"
"Nein","1992","AkademikerIn","Laendlicher Raum","585","0.919053847003457","0.897789201981521","0.940318492025394"
"Ja","1993","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1993","Hauptschule","Staedtischer Raum","","","",""
"Ja","1993","Hauptschule","Laendlicher Raum","","","",""
"Ja","1993","Realschule","Staedtischer Raum","","","",""
"Ja","1993","Realschule","Laendlicher Raum","","","",""
"Ja","1993","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1993","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1993","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1993","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","1993","Hauptschule","Staedtischer Raum","","","",""
"Nein","1993","Hauptschule","Laendlicher Raum","","","",""
"Nein","1993","Realschule","Staedtischer Raum","","","",""
"Nein","1993","Realschule","Laendlicher Raum","","","",""
"Nein","1993","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","1993","AkademikerIn","Staedtischer Raum","","","",""
"Nein","1993","AkademikerIn","Laendlicher Raum","","","",""
"Ja","1994","(noch) kein Abschluss","Staedtischer Raum","62","0.0951758018881976","0.0729052720400191","0.117446331736376"
