year,age_gr,sex,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Yes,0.02023,33,1722,0.01358,0.02688
1984,17-29 y.,male,No,0.97977,1689,1722,0.97312,0.98642
1984,17-29 y.,female,No,0.98129,1670,1670,0.97479,0.98779
1984,30-45 y.,male,Yes,0.05420,95,1927,0.04409,0.06431
1984,30-45 y.,male,No,0.94580,1832,1927,0.93569,0.95591
1984,30-45 y.,female,Yes,0.04214,71,1959,0.03324,0.05104
1984,30-45 y.,female,No,0.95786,1888,1959,0.94896,0.96676
1984,46-65 y.,male,Yes,0.27745,410,1768,0.25657,0.29833
1984,46-65 y.,male,No,0.72255,1358,1768,0.70167,0.74343
1984,46-65 y.,female,Yes,0.16114,248,1764,0.14397,0.17830
1984,46-65 y.,female,No,0.83886,1516,1764,0.82170,0.85603
1984,66 and older,male,Yes,0.31108,157,501,0.27050,0.35166
1984,66 and older,male,No,0.68892,344,501,0.64834,0.72950
1984,66 and older,female,Yes,0.15809,120,757,0.13208,0.18409
1984,66 and older,female,No,0.84191,637,757,0.81591,0.86792
1985,17-29 y.,male,Yes,0.02332,36,1604,0.01593,0.03071
1985,17-29 y.,male,No,0.97668,1568,1604,0.96929,0.98407
1985,17-29 y.,female,No,0.98056,1497,1497,0.97356,0.98756
1985,30-45 y.,male,Yes,0.05296,82,1702,0.04232,0.06360
1985,30-45 y.,male,No,0.94704,1620,1702,0.93640,0.95768
1985,30-45 y.,female,Yes,0.04148,56,1746,0.03212,0.05083
1985,30-45 y.,female,No,0.95852,1690,1746,0.94917,0.96788
1985,46-65 y.,male,Yes,0.26453,363,1646,0.24322,0.28585
1985,46-65 y.,male,No,0.73547,1283,1646,0.71415,0.75678
1985,46-65 y.,female,Yes,0.17070,234,1630,0.15243,0.18897
1985,46-65 y.,female,No,0.82930,1396,1630,0.81103,0.84757
1985,66 and older,male,Yes,0.31901,143,436,0.27521,0.36281
1985,66 and older,male,No,0.68099,293,436,0.63719,0.72479
1985,66 and older,female,Yes,0.13467,90,651,0.10843,0.16092
1985,66 and older,female,No,0.86533,561,651,0.83908,0.89157
1987,17-29 y.,male,Yes,0.02218,38,1556,0.01486,0.02950
1987,17-29 y.,male,No,0.97782,1518,1556,0.97050,0.98514
1987,17-29 y.,female,No,0.98251,1408,1408,0.97566,0.98936
1987,30-45 y.,male,Yes,0.04501,63,1542,0.03466,0.05536
1987,30-45 y.,male,No,0.95499,1479,1542,0.94464,0.96534
1987,30-45 y.,female,Yes,0.04937,63,1612,0.03879,0.05995
1987,30-45 y.,female,No,0.95063,1549,1612,0.94005,0.96121
1987,46-65 y.,male,Yes,0.24697,343,1624,0.22599,0.26795
1987,46-65 y.,male,No,0.75303,1281,1624,0.73205,0.77401
1987,46-65 y.,female,Yes,0.14358,194,1557,0.12616,0.16101
1987,46-65 y.,female,No,0.85642,1363,1557,0.83899,0.87384
1987,66 and older,male,Yes,0.32500,140,420,0.28015,0.36984
1987,66 and older,male,No,0.67500,280,420,0.63016,0.71985
1987,66 and older,female,Yes,0.17206,111,640,0.14279,0.20132
1987,66 and older,female,No,0.82794,529,640,0.79868,0.85721
1988,17-29 y.,male,Yes,0.02554,42,1489,0.01752,0.03356
1988,17-29 y.,male,No,0.97446,1447,1489,0.96644,0.98248
