year,sampreg,sex,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Yes,0.14897,695,5918,0.13990,0.15804
1984,West,male,No,0.85103,5223,5918,0.84196,0.86010
1984,West,female,Yes,0.09771,464,6175,0.09030,0.10511
1984,West,female,No,0.90229,5711,6175,0.89489,0.90970
1985,West,male,Yes,0.14729,624,5388,0.13783,0.15675
1985,West,male,No,0.85271,4764,5388,0.84325,0.86217
1985,West,female,Yes,0.09586,405,5549,0.08811,0.10360
1985,West,female,No,0.90414,5144,5549,0.89640,0.91189
1987,West,male,Yes,0.14303,584,5142,0.13346,0.15260
1987,West,male,No,0.85697,4558,5142,0.84740,0.86654
1987,West,female,Yes,0.09843,395,5244,0.09037,0.10649
1987,West,female,No,0.90157,4849,5244,0.89351,0.90963
1988,West,male,Yes,0.15580,620,4916,0.14566,0.16594
1988,West,male,No,0.84420,4296,4916,0.83406,0.85434
1988,West,female,Yes,0.11093,418,5005,0.10223,0.11964
1988,West,female,No,0.88907,4587,5005,0.88036,0.89777
1989,West,male,Yes,0.16017,600,4748,0.14974,0.17061
1989,West,male,No,0.83983,4148,4748,0.82939,0.85026
1989,West,female,Yes,0.11455,419,4866,0.10560,0.12350
1989,West,female,No,0.88545,4447,4866,0.87650,0.89440
1991,West,male,Yes,0.16767,622,4608,0.15689,0.17846
1991,West,male,No,0.83233,3986,4608,0.82154,0.84311
1991,West,female,Yes,0.11576,414,4746,0.10665,0.12486
1991,West,female,No,0.88424,4332,4746,0.87514,0.89335
1992,West,male,Yes,0.16966,628,4525,0.15872,0.18060
1992,West,male,No,0.83034,3897,4525,0.81940,0.84128
1992,West,female,Yes,0.12179,435,4694,0.11243,0.13114
1992,West,female,No,0.87821,4259,4694,0.86886,0.88757
1992,East,male,Yes,0.10605,167,1863,0.09207,0.12004
1992,East,male,No,0.89395,1696,1863,0.87996,0.90793
1992,East,female,Yes,0.07721,132,2053,0.06566,0.08876
1992,East,female,No,0.92279,1921,2053,0.91124,0.93434
1994,West,male,Yes,0.15903,584,4376,0.14820,0.16987
1994,West,male,No,0.84097,3792,4376,0.83013,0.85180
1994,West,female,Yes,0.12044,428,4613,0.11105,0.12984
1994,West,female,No,0.87956,4185,4613,0.87016,0.88895
1994,East,male,Yes,0.09154,138,1780,0.07814,0.10494
1994,East,male,No,0.90846,1642,1780,0.89506,0.92186
1994,East,female,Yes,0.08267,129,1958,0.07046,0.09487
1994,East,female,No,0.91733,1829,1958,0.90513,0.92954
1995,West,male,Yes,0.16209,601,4614,0.15145,0.17272
1995,West,male,No,0.83791,4013,4614,0.82728,0.84855
1995,West,female,Yes,0.13303,475,4867,0.12349,0.14257
1995,West,female,No,0.86697,4392,4867,0.85743,0.87651
1995,East,male,Yes,0.10304,146,1730,0.08871,0.11737
1995,East,male,No,0.89696,1584,1730,0.88263,0.91129
1995,East,female,Yes,0.08498,134,1919,0.07250,0.09746
1995,East,female,No,0.91502,1785,1919,0.90254,0.92750
1996,West,male,Yes,0.16722,599,4534,0.15635,0.17808
1996,West,male,No,0.83278,3935,4534,0.82192,0.84365
1996,West,female,Yes,0.12706,467,4825,0.11766,0.13646
1996,West,female,No,0.87294,4358,4825,0.86354,0.88234
1996,East,male,Yes,0.11238,154,1741,0.09754,0.12722
1996,East,male,No,0.88762,1587,1741,0.87278,0.90246
1996,East,female,Yes,0.08796,145,1907,0.07525,0.10068
1996,East,female,No,0.91204,1762,1907,0.89932,0.92475
1997,West,male,Yes,0.17013,592,4439,0.15908,0.18119
1997,West,male,No,0.82987,3847,4439,0.81881,0.84092
1997,West,female,Yes,0.12380,451,4695,0.11438,0.13322
1997,West,female,No,0.87620,4244,4695,0.86678,0.88562
1997,East,male,Yes,0.10720,151,1736,0.09264,0.12176
1997,East,male,No,0.89280,1585,1736,0.87824,0.90736
1997,East,female,Yes,0.09147,151,1877,0.07843,0.10452
1997,East,female,No,0.90853,1726,1877,0.89548,0.92157
1998,West,male,Yes,0.16453,686,4977,0.15423,0.17483
1998,West,male,No,0.83547,4291,4977,0.82517,0.84577
1998,West,female,Yes,0.12621,528,5304,0.11728,0.13515
1998,West,female,No,0.87379,4776,5304,0.86485,0.88272
1998,East,male,Yes,0.09882,163,1857,0.08524,0.11239
1998,East,male,No,0.90118,1694,1857,0.88761,0.91476
1998,East,female,Yes,0.09524,166,1977,0.08229,0.10818
1998,East,female,No,0.90476,1811,1977,0.89182,0.91771
1999,West,male,Yes,0.16286,650,4776,0.15239,0.17333
1999,West,male,No,0.83714,4126,4776,0.82667,0.84761
1999,West,female,Yes,0.13155,519,5083,0.12226,0.14084
1999,West,female,No,0.86845,4564,5083,0.85916,0.87774
1999,East,male,Yes,0.10178,160,1816,0.08787,0.11569
1999,East,male,No,0.89822,1656,1816,0.88431,0.91213
1999,East,female,Yes,0.09429,169,1963,0.08136,0.10722
1999,East,female,No,0.90571,1794,1963,0.89278,0.91864
2000,West,male,Yes,0.14819,1188,8754,0.14075,0.15564
2000,West,male,No,0.85181,7566,8754,0.84436,0.85925
2000,West,female,Yes,0.11024,895,9436,0.10392,0.11656
2000,West,female,No,0.88976,8541,9436,0.88344,0.89608
2000,East,male,Yes,0.10662,268,2791,0.09517,0.11807
2000,East,male,No,0.89338,2523,2791,0.88193,0.90483
2000,East,female,Yes,0.09690,267,3039,0.08638,0.10742
2000,East,female,No,0.90310,2772,3039,0.89258,0.91362
2001,West,male,Yes,0.14870,1064,7870,0.14084,0.15657
2001,West,male,No,0.85130,6806,7870,0.84343,0.85916
2001,West,female,Yes,0.11271,821,8544,0.10600,0.11941
2001,West,female,No,0.88729,7723,8544,0.88059,0.89400
2001,East,male,Yes,0.10366,242,2610,0.09196,0.11535
2001,East,male,No,0.89634,2368,2610,0.88465,0.90804
2001,East,female,Yes,0.09861,253,2804,0.08757,0.10965
2001,East,female,No,0.90139,2551,2804,0.89035,0.91243
2002,West,male,Yes,0.15436,1118,8448,0.14665,0.16206
2002,West,male,No,0.84564,7330,8448,0.83794,0.85335
