year,bula_h,regtyp,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,No,0.92467,359,359,0.89733,0.95201
1984,Hamburg,No answer / don't know,No,0.89206,277,277,0.85545,0.92867
1984,Lower Saxony,No answer / don't know,Yes,0.11246,120,1229,0.09479,0.13013
1984,Lower Saxony,No answer / don't know,No,0.88754,1109,1229,0.86987,0.90521
1984,Bremen,No answer / don't know,No,0.81546,113,113,0.74362,0.88731
1984,North Rhine-Westphalia,No answer / don't know,Yes,0.15081,368,3235,0.13847,0.16314
1984,North Rhine-Westphalia,No answer / don't know,No,0.84919,2867,3235,0.83686,0.86153
1984,Hesse,No answer / don't know,Yes,0.12472,116,1242,0.10634,0.14311
1984,Hesse,No answer / don't know,No,0.87528,1126,1242,0.85689,0.89366
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Yes,0.11007,85,850,0.08902,0.13112
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,No,0.88993,765,850,0.86888,0.91098
1984,Baden-Wuerttemberg,No answer / don't know,Yes,0.08726,152,2239,0.07557,0.09895
1984,Baden-Wuerttemberg,No answer / don't know,No,0.91274,2087,2239,0.90105,0.92443
1984,Bavaria,No answer / don't know,Yes,0.11435,191,2072,0.10064,0.12805
1984,Bavaria,No answer / don't know,No,0.88565,1881,2072,0.87195,0.89936
1984,Berlin,No answer / don't know,Yes,0.17622,55,405,0.13907,0.21338
1984,Berlin,No answer / don't know,No,0.82378,350,405,0.78662,0.86093
1985,Schleswig-Holstein,Urban regions,No,0.86864,148,148,0.81404,0.92325
1985,Schleswig-Holstein,Rural regions,No,0.90374,167,167,0.85887,0.94861
1985,Hamburg,Urban regions,No,0.92422,252,252,0.89148,0.95696
1985,Lower Saxony,Urban regions,Yes,0.11564,52,508,0.08780,0.14348
1985,Lower Saxony,Urban regions,No,0.88436,456,508,0.85652,0.91220
1985,Lower Saxony,Rural regions,Yes,0.10765,57,594,0.08271,0.13260
1985,Lower Saxony,Rural regions,No,0.89235,537,594,0.86740,0.91729
1985,Bremen,Urban regions,No,0.82258,97,97,0.74616,0.89900
1985,North Rhine-Westphalia,Urban regions,Yes,0.14401,308,2848,0.13111,0.15691
1985,North Rhine-Westphalia,Urban regions,No,0.85599,2540,2848,0.84309,0.86889
1985,North Rhine-Westphalia,Rural regions,No,0.91316,67,67,0.84523,0.98110
1985,Hesse,Urban regions,Yes,0.11948,84,975,0.09911,0.13985
1985,Hesse,Urban regions,No,0.88052,891,975,0.86015,0.90089
1985,Hesse,Rural regions,No,0.83029,130,130,0.76551,0.89507
1985,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.11381,62,630,0.08899,0.13863
1985,"Rhineland-Palatinate, Saarland",Urban regions,No,0.88619,568,630,0.86137,0.91101
1985,"Rhineland-Palatinate, Saarland",Rural regions,No,0.90425,124,124,0.85225,0.95625
1985,Baden-Wuerttemberg,Urban regions,Yes,0.08680,115,1735,0.07355,0.10005
1985,Baden-Wuerttemberg,Urban regions,No,0.91320,1620,1735,0.89995,0.92645
1985,Baden-Wuerttemberg,Rural regions,No,0.91597,277,277,0.88324,0.94870
1985,Bavaria,Urban regions,Yes,0.12784,96,1000,0.10713,0.14854
1985,Bavaria,Urban regions,No,0.87216,904,1000,0.85146,0.89287
1985,Bavaria,Rural regions,Yes,0.10743,76,886,0.08702,0.12783
1985,Bavaria,Rural regions,No,0.89257,810,886,0.87217,0.91298
1985,Berlin,Urban regions,Yes,0.16757,48,363,0.12910,0.20604
1985,Berlin,Urban regions,No,0.83243,315,363,0.79396,0.87090
1987,Schleswig-Holstein,Urban regions,No,0.87243,132,132,0.81530,0.92956
1987,Schleswig-Holstein,Rural regions,No,0.89488,161,161,0.84736,0.94241
1987,Hamburg,Urban regions,No,0.89230,200,200,0.84923,0.93537
1987,Lower Saxony,Urban regions,Yes,0.13450,63,530,0.10543,0.16358
1987,Lower Saxony,Urban regions,No,0.86550,467,530,0.83642,0.89457
1987,Lower Saxony,Rural regions,Yes,0.11432,56,571,0.08820,0.14044
1987,Lower Saxony,Rural regions,No,0.88568,515,571,0.85956,0.91180
1987,Bremen,Urban regions,No,0.89387,92,92,0.83059,0.95716
1987,North Rhine-Westphalia,Urban regions,Yes,0.13956,291,2743,0.12659,0.15253
1987,North Rhine-Westphalia,Urban regions,No,0.86044,2452,2743,0.84747,0.87341
1987,North Rhine-Westphalia,Rural regions,No,0.87645,60,60,0.79248,0.96042
1987,Hesse,Urban regions,Yes,0.11339,73,899,0.09265,0.13413
1987,Hesse,Urban regions,No,0.88661,826,899,0.86587,0.90735
1987,Hesse,Rural regions,No,0.83800,124,124,0.77289,0.90312
1987,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.11197,62,617,0.08707,0.13687
1987,"Rhineland-Palatinate, Saarland",Urban regions,No,0.88803,555,617,0.86313,0.91293
1987,"Rhineland-Palatinate, Saarland",Rural regions,No,0.89497,130,130,0.84207,0.94788
1987,Baden-Wuerttemberg,Urban regions,Yes,0.09412,123,1656,0.08005,0.10819
1987,Baden-Wuerttemberg,Urban regions,No,0.90588,1533,1656,0.89181,0.91995
1987,Baden-Wuerttemberg,Rural regions,No,0.92116,270,270,0.88896,0.95337
1987,Bavaria,Urban regions,Yes,0.11702,74,912,0.09615,0.13789
1987,Bavaria,Urban regions,No,0.88298,838,912,0.86211,0.90385
1987,Bavaria,Rural regions,Yes,0.09934,64,802,0.07863,0.12006
1987,Bavaria,Rural regions,No,0.90066,738,802,0.87994,0.92137
1987,Berlin,Urban regions,Yes,0.17456,51,362,0.13540,0.21372
1987,Berlin,Urban regions,No,0.82544,311,362,0.78628,0.86460
1988,Schleswig-Holstein,Urban regions,No,0.83002,123,123,0.76337,0.89667
1988,Schleswig-Holstein,Rural regions,No,0.86642,154,154,0.81251,0.92033
1988,Hamburg,Urban regions,No,0.91831,182,182,0.87841,0.95821
1988,Lower Saxony,Urban regions,Yes,0.12565,58,516,0.09703,0.15428
1988,Lower Saxony,Urban regions,No,0.87435,458,516,0.84572,0.90297
1988,Lower Saxony,Rural regions,Yes,0.10050,49,529,0.07486,0.12615
1988,Lower Saxony,Rural regions,No,0.89950,480,529,0.87385,0.92514
1988,Bremen,Urban regions,No,0.84723,84,84,0.76984,0.92463
1988,North Rhine-Westphalia,Urban regions,Yes,0.15875,313,2612,0.14473,0.17277
1988,North Rhine-Westphalia,Urban regions,No,0.84125,2299,2612,0.82723,0.85527
1988,North Rhine-Westphalia,Rural regions,No,0.88896,62,62,0.81012,0.96781
1988,Hesse,Urban regions,Yes,0.12986,80,855,0.10731,0.15240
1988,Hesse,Urban regions,No,0.87014,775,855,0.84760,0.89269
1988,Hesse,Rural regions,No,0.81045,122,122,0.74061,0.88029
1988,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.15675,76,601,0.12766,0.18584
1988,"Rhineland-Palatinate, Saarland",Urban regions,No,0.84325,525,601,0.81416,0.87234
1988,"Rhineland-Palatinate, Saarland",Rural regions,No,0.86375,115,115,0.80077,0.92672
1988,Baden-Wuerttemberg,Urban regions,Yes,0.10030,137,1633,0.08573,0.11487
1988,Baden-Wuerttemberg,Urban regions,No,0.89970,1496,1633,0.88513,0.91427
1988,Baden-Wuerttemberg,Rural regions,No,0.91220,233,233,0.87578,0.94862
1988,Bavaria,Urban regions,Yes,0.12748,82,879,0.10542,0.14954
1988,Bavaria,Urban regions,No,0.87252,797,879,0.85046,0.89458
1988,Bavaria,Rural regions,Yes,0.10754,62,752,0.08539,0.12970
1988,Bavaria,Rural regions,No,0.89246,690,752,0.87030,0.91461
1988,Berlin,Urban regions,Yes,0.17660,46,331,0.13546,0.21774
1988,Berlin,Urban regions,No,0.82340,285,331,0.78226,0.86454
1989,Schleswig-Holstein,Urban regions,No,0.80249,123,123,0.73185,0.87314
1989,Schleswig-Holstein,Rural regions,No,0.86605,135,135,0.80838,0.92372
1989,Hamburg,Urban regions,No,0.89152,177,177,0.84557,0.93747
1989,Lower Saxony,Urban regions,Yes,0.12384,50,493,0.09473,0.15295
1989,Lower Saxony,Urban regions,No,0.87616,443,493,0.84705,0.90527
1989,Lower Saxony,Rural regions,Yes,0.13803,59,497,0.10767,0.16839
1989,Lower Saxony,Rural regions,No,0.86197,438,497,0.83161,0.89233
1989,Bremen,Urban regions,No,0.81958,87,87,0.73830,0.90085
1989,North Rhine-Westphalia,Urban regions,Yes,0.15851,299,2534,0.14429,0.17274
1989,North Rhine-Westphalia,Urban regions,No,0.84149,2235,2534,0.82726,0.85571
1989,North Rhine-Westphalia,Rural regions,No,0.90008,60,60,0.82356,0.97661
1989,Hesse,Urban regions,Yes,0.12332,78,859,0.10132,0.14532
1989,Hesse,Urban regions,No,0.87668,781,859,0.85468,0.89868
1989,Hesse,Rural regions,No,0.81960,113,113,0.74839,0.89082
1989,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.12987,66,578,0.10244,0.15730
1989,"Rhineland-Palatinate, Saarland",Urban regions,No,0.87013,512,578,0.84270,0.89756
