year,bula_h,sex,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,No,0.70922,171,171,0.64095,0.77748
1984,Schleswig-Holstein,female,No,0.79202,188,188,0.73385,0.85020
1984,Hamburg,male,No,0.77416,136,136,0.70363,0.84470
1984,Hamburg,female,No,0.78807,141,141,0.72038,0.85577
1984,Lower Saxony,male,Yes,0.11481,71,598,0.08923,0.14038
1984,Lower Saxony,male,No,0.69948,527,598,0.66270,0.73626
1984,Lower Saxony,female,Yes,0.07306,49,631,0.05274,0.09338
1984,Lower Saxony,female,No,0.75870,582,631,0.72529,0.79211
1984,Bremen,male,No,0.72178,54,54,0.60113,0.84242
1984,Bremen,female,No,0.75879,59,59,0.64868,0.86889
1984,North Rhine-Westphalia,male,Yes,0.14165,217,1595,0.12453,0.15876
1984,North Rhine-Westphalia,male,No,0.66269,1378,1595,0.63948,0.68590
1984,North Rhine-Westphalia,female,Yes,0.10537,151,1640,0.09051,0.12024
1984,North Rhine-Westphalia,female,No,0.71650,1489,1640,0.69468,0.73832
1984,Hesse,male,Yes,0.13101,70,622,0.10447,0.15755
1984,Hesse,male,No,0.69563,552,622,0.65944,0.73182
1984,Hesse,female,Yes,0.07925,46,620,0.05797,0.10053
1984,Hesse,female,No,0.78693,574,620,0.75467,0.81919
1984,"Rhineland-Palatinate, Saarland",male,Yes,0.11679,53,416,0.08589,0.14769
1984,"Rhineland-Palatinate, Saarland",male,No,0.72522,363,416,0.68227,0.76817
1984,"Rhineland-Palatinate, Saarland",female,Yes,0.07161,32,434,0.04732,0.09590
1984,"Rhineland-Palatinate, Saarland",female,No,0.78016,402,434,0.74115,0.81917
1984,Baden-Wuerttemberg,male,Yes,0.08850,97,1111,0.07179,0.10521
1984,Baden-Wuerttemberg,male,No,0.69464,1014,1111,0.66754,0.72173
1984,Baden-Wuerttemberg,female,Yes,0.05265,55,1128,0.03961,0.06569
1984,Baden-Wuerttemberg,female,No,0.75970,1073,1128,0.73476,0.78465
1984,Bavaria,male,Yes,0.11876,118,981,0.09851,0.13902
1984,Bavaria,male,No,0.68195,863,981,0.65279,0.71111
1984,Bavaria,female,Yes,0.07119,73,1091,0.05593,0.08646
1984,Bavaria,female,No,0.76477,1018,1091,0.73959,0.78995
1984,Berlin,male,Yes,0.15936,31,196,0.10799,0.21073
1984,Berlin,male,No,0.65182,165,196,0.58496,0.71869
1984,Berlin,female,No,0.70869,185,185,0.64304,0.77434
1985,Schleswig-Holstein,male,No,0.70450,154,154,0.63221,0.77680
1985,Schleswig-Holstein,female,No,0.74317,161,161,0.67547,0.81086
1985,Hamburg,male,No,0.82674,128,128,0.76091,0.89256
1985,Hamburg,female,No,0.81897,129,129,0.75227,0.88568
1985,Lower Saxony,male,Yes,0.12490,70,539,0.09697,0.15284
1985,Lower Saxony,male,No,0.71986,469,539,0.68191,0.75781
1985,Lower Saxony,female,Yes,0.06631,39,563,0.04574,0.08689
1985,Lower Saxony,female,No,0.77272,524,563,0.73807,0.80737
1985,Bremen,male,No,0.72852,45,45,0.59712,0.85993
1985,Bremen,female,No,0.77051,52,52,0.65510,0.88592
1985,North Rhine-Westphalia,male,Yes,0.13067,180,1454,0.11334,0.14800
1985,North Rhine-Westphalia,male,No,0.67867,1274,1454,0.65466,0.70268
1985,North Rhine-Westphalia,female,Yes,0.10277,134,1467,0.08722,0.11831
1985,North Rhine-Westphalia,female,No,0.72027,1333,1467,0.69729,0.74325
1985,Hesse,male,Yes,0.13816,67,566,0.10971,0.16661
1985,Hesse,male,No,0.69919,499,566,0.66137,0.73701
1985,Hesse,female,Yes,0.07908,39,561,0.05672,0.10143
1985,Hesse,female,No,0.79560,522,561,0.76220,0.82900
1985,"Rhineland-Palatinate, Saarland",male,Yes,0.13391,51,380,0.09962,0.16819
1985,"Rhineland-Palatinate, Saarland",male,No,0.71926,329,380,0.67402,0.76450
1985,"Rhineland-Palatinate, Saarland",female,No,0.79064,363,363,0.74872,0.83255
1985,Baden-Wuerttemberg,male,Yes,0.09169,90,1012,0.07390,0.10948
1985,Baden-Wuerttemberg,male,No,0.71108,922,1012,0.68314,0.73902
1985,Baden-Wuerttemberg,female,Yes,0.05078,43,1018,0.03728,0.06427
1985,Baden-Wuerttemberg,female,No,0.76733,975,1018,0.74136,0.79330
1985,Bavaria,male,Yes,0.12182,104,899,0.10043,0.14322
1985,Bavaria,male,No,0.69606,795,899,0.66598,0.72614
1985,Bavaria,female,Yes,0.07686,68,987,0.06023,0.09348
1985,Bavaria,female,No,0.76798,919,987,0.74163,0.79433
1985,Berlin,male,No,0.67977,149,149,0.60460,0.75494
1985,Berlin,female,No,0.73184,166,166,0.66424,0.79943
1987,Schleswig-Holstein,male,No,0.70077,141,141,0.62492,0.77663
1987,Schleswig-Holstein,female,No,0.73758,152,152,0.66741,0.80775
1987,Hamburg,male,No,0.82799,104,104,0.75511,0.90087
1987,Hamburg,female,No,0.76182,99,99,0.67748,0.84616
1987,Lower Saxony,male,Yes,0.13173,71,537,0.10310,0.16036
1987,Lower Saxony,male,No,0.71457,466,537,0.67634,0.75280
1987,Lower Saxony,female,Yes,0.07994,48,564,0.05754,0.10235
1987,Lower Saxony,female,No,0.75938,516,564,0.72407,0.79469
1987,Bremen,male,No,0.80428,44,44,0.68570,0.92287
1987,Bremen,female,No,0.84506,48,48,0.74161,0.94851
1987,North Rhine-Westphalia,male,Yes,0.12048,170,1411,0.10349,0.13747
1987,North Rhine-Westphalia,male,No,0.69104,1241,1411,0.66692,0.71516
