year,bula_h,quintil_oecd,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,2nd Quintile,At least once per week,0.38024,32,32,0.20935,0.55113
1985,Hamburg,1st Quintile,At least once per week,0.65581,32,32,0.48856,0.82306
1985,Hamburg,4th Quintile,At least once per week,0.58273,32,32,0.40914,0.75632
1985,Hamburg,5th Quintile,At least once per week,0.53493,42,42,0.38225,0.68760
1985,Lower Saxony,1st Quintile,At least once per week,0.36816,94,218,0.30398,0.43233
1985,Lower Saxony,1st Quintile,At least once per month,0.28986,73,218,0.22950,0.35023
1985,Lower Saxony,1st Quintile,Seldom,0.25678,51,218,0.19865,0.31490
1985,Lower Saxony,2nd Quintile,At least once per week,0.45971,90,186,0.38789,0.53152
1985,Lower Saxony,2nd Quintile,At least once per month,0.33002,62,186,0.26226,0.39778
1985,Lower Saxony,2nd Quintile,Seldom,0.19267,34,186,0.13584,0.24951
1985,Lower Saxony,3rd Quintile,At least once per week,0.40780,100,223,0.34316,0.47245
1985,Lower Saxony,3rd Quintile,At least once per month,0.30659,71,223,0.24593,0.36724
1985,Lower Saxony,3rd Quintile,Seldom,0.22474,52,223,0.16983,0.27965
1985,Lower Saxony,4th Quintile,At least once per week,0.35707,69,184,0.28765,0.42649
1985,Lower Saxony,4th Quintile,At least once per month,0.41517,78,184,0.34377,0.48656
1985,Lower Saxony,4th Quintile,Seldom,0.19515,37,184,0.13773,0.25257
1985,Lower Saxony,5th Quintile,At least once per week,0.40119,103,238,0.33878,0.46359
1985,Lower Saxony,5th Quintile,At least once per month,0.39005,93,238,0.32795,0.45215
1985,Lower Saxony,5th Quintile,Seldom,0.18842,42,238,0.13864,0.23821
1985,North Rhine-Westphalia,1st Quintile,At least once per week,0.49836,344,648,0.45983,0.53689
1985,North Rhine-Westphalia,1st Quintile,At least once per month,0.24706,180,648,0.21382,0.28029
1985,North Rhine-Westphalia,1st Quintile,Seldom,0.21116,124,648,0.17971,0.24261
1985,North Rhine-Westphalia,2nd Quintile,At least once per week,0.45034,288,609,0.41079,0.48989
1985,North Rhine-Westphalia,2nd Quintile,At least once per month,0.34484,203,609,0.30705,0.38262
1985,North Rhine-Westphalia,2nd Quintile,Seldom,0.18805,118,609,0.15699,0.21911
1985,North Rhine-Westphalia,3rd Quintile,At least once per week,0.47421,259,505,0.43062,0.51781
1985,North Rhine-Westphalia,3rd Quintile,At least once per month,0.35858,177,505,0.31671,0.40045
1985,North Rhine-Westphalia,3rd Quintile,Seldom,0.13553,69,505,0.10565,0.16542
1985,North Rhine-Westphalia,4th Quintile,At least once per week,0.53259,314,585,0.49212,0.57305
1985,North Rhine-Westphalia,4th Quintile,At least once per month,0.30622,188,585,0.26884,0.34360
1985,North Rhine-Westphalia,4th Quintile,Seldom,0.14649,83,585,0.11781,0.17517
1985,North Rhine-Westphalia,5th Quintile,At least once per week,0.50465,271,532,0.46213,0.54718
1985,North Rhine-Westphalia,5th Quintile,At least once per month,0.33326,183,532,0.29317,0.37335
1985,North Rhine-Westphalia,5th Quintile,Seldom,0.15190,78,532,0.12137,0.18243
1985,Hesse,1st Quintile,At least once per week,0.44813,140,246,0.38586,0.51041
1985,Hesse,1st Quintile,At least once per month,0.29916,64,246,0.24182,0.35650
1985,Hesse,1st Quintile,Seldom,0.21342,42,246,0.16211,0.26472
1985,Hesse,2nd Quintile,At least once per week,0.49276,99,184,0.42032,0.56519
1985,Hesse,2nd Quintile,At least once per month,0.24133,45,184,0.17934,0.30333
1985,Hesse,2nd Quintile,Seldom,0.20463,40,184,0.14617,0.26308
1985,Hesse,3rd Quintile,At least once per week,0.49076,102,193,0.42005,0.56148
1985,Hesse,3rd Quintile,At least once per month,0.24501,48,193,0.18418,0.30585
1985,Hesse,3rd Quintile,Seldom,0.22915,43,193,0.16970,0.28860
1985,Hesse,4th Quintile,At least once per week,0.40318,105,218,0.33791,0.46844
1985,Hesse,4th Quintile,At least once per month,0.38061,79,218,0.31601,0.44521
1985,Hesse,4th Quintile,Seldom,0.15791,34,218,0.10939,0.20643
1985,Hesse,5th Quintile,At least once per week,0.39008,100,217,0.32503,0.45513
1985,Hesse,5th Quintile,At least once per month,0.34344,76,217,0.28011,0.40677
1985,Hesse,5th Quintile,Seldom,0.20750,41,217,0.15342,0.26158
1985,"Rhineland-Palatinate, Saarland",1st Quintile,At least once per week,0.33281,61,154,0.25814,0.40748
1985,"Rhineland-Palatinate, Saarland",1st Quintile,At least once per month,0.35353,56,154,0.27778,0.42929
1985,"Rhineland-Palatinate, Saarland",1st Quintile,Seldom,0.21494,37,154,0.14985,0.28003
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,At least once per week,0.35551,49,85,0.25314,0.45787
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,At least once per month,0.25442,36,85,0.16128,0.34756
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,At least once per week,0.42356,88,175,0.35014,0.49698
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,At least once per month,0.32090,53,175,0.25153,0.39026
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,Seldom,0.20380,34,175,0.14394,0.26365
1985,"Rhineland-Palatinate, Saarland",4th Quintile,At least once per week,0.49597,77,130,0.40969,0.58225
1985,"Rhineland-Palatinate, Saarland",4th Quintile,At least once per month,0.32784,53,130,0.24683,0.40885
1985,"Rhineland-Palatinate, Saarland",5th Quintile,At least once per week,0.40129,51,106,0.30754,0.49505
1985,"Rhineland-Palatinate, Saarland",5th Quintile,At least once per month,0.44883,55,106,0.35369,0.54396
1985,Baden-Wuerttemberg,1st Quintile,At least once per week,0.41297,203,366,0.36246,0.46348
1985,Baden-Wuerttemberg,1st Quintile,At least once per month,0.21217,82,366,0.17023,0.25412
1985,Baden-Wuerttemberg,1st Quintile,Seldom,0.28936,81,366,0.24284,0.33588
1985,Baden-Wuerttemberg,2nd Quintile,At least once per week,0.47618,224,389,0.42649,0.52588
1985,Baden-Wuerttemberg,2nd Quintile,At least once per month,0.22935,90,389,0.18752,0.27119
1985,Baden-Wuerttemberg,2nd Quintile,Seldom,0.23048,75,389,0.18857,0.27238
1985,Baden-Wuerttemberg,3rd Quintile,At least once per week,0.44091,228,450,0.39498,0.48683
1985,Baden-Wuerttemberg,3rd Quintile,At least once per month,0.28030,131,450,0.23876,0.32185
1985,Baden-Wuerttemberg,3rd Quintile,Seldom,0.23602,91,450,0.19674,0.27530
1985,Baden-Wuerttemberg,4th Quintile,At least once per week,0.41318,200,407,0.36528,0.46107
1985,Baden-Wuerttemberg,4th Quintile,At least once per month,0.34022,129,407,0.29413,0.38630
1985,Baden-Wuerttemberg,4th Quintile,Seldom,0.22575,78,407,0.18508,0.26641
1985,Baden-Wuerttemberg,5th Quintile,At least once per week,0.43549,173,341,0.38279,0.48819
1985,Baden-Wuerttemberg,5th Quintile,At least once per month,0.35544,117,341,0.30457,0.40632
1985,Baden-Wuerttemberg,5th Quintile,Seldom,0.17006,51,341,0.13013,0.21000
1985,Bavaria,1st Quintile,At least once per week,0.40167,134,273,0.34340,0.45993
1985,Bavaria,1st Quintile,At least once per month,0.25540,69,273,0.20358,0.30723
1985,Bavaria,1st Quintile,Seldom,0.28711,70,273,0.23334,0.34087
1985,Bavaria,2nd Quintile,At least once per week,0.42109,181,386,0.37177,0.47041
1985,Bavaria,2nd Quintile,At least once per month,0.26849,105,386,0.22422,0.31275
1985,Bavaria,2nd Quintile,Seldom,0.27246,100,386,0.22798,0.31693
1985,Bavaria,3rd Quintile,At least once per week,0.43728,167,346,0.38493,0.48962
1985,Bavaria,3rd Quintile,At least once per month,0.26141,103,346,0.21505,0.30778
1985,Bavaria,3rd Quintile,Seldom,0.22893,76,346,0.18460,0.27327
1985,Bavaria,4th Quintile,At least once per week,0.51094,200,366,0.45966,0.56222
1985,Bavaria,4th Quintile,At least once per month,0.25447,99,366,0.20978,0.29915
1985,Bavaria,4th Quintile,Seldom,0.18921,67,366,0.14903,0.22940
1985,Bavaria,5th Quintile,At least once per week,0.51566,237,435,0.46864,0.56268
1985,Bavaria,5th Quintile,At least once per month,0.30844,132,435,0.26499,0.35190
1985,Bavaria,5th Quintile,Seldom,0.15940,66,435,0.12496,0.19384
1985,Berlin,4th Quintile,At least once per week,0.49266,37,37,0.32935,0.65598
1985,Berlin,5th Quintile,At least once per week,0.38960,41,77,0.27996,0.49924
1985,Berlin,5th Quintile,At least once per month,0.38681,36,77,0.27732,0.49631
1986,Hamburg,1st Quintile,At least once per week,0.76472,37,37,0.62616,0.90329
1986,Hamburg,4th Quintile,At least once per week,0.58848,32,32,0.41524,0.76171
1986,Hamburg,5th Quintile,At least once per week,0.59642,36,36,0.43388,0.75896
1986,Lower Saxony,1st Quintile,At least once per week,0.32626,81,209,0.26254,0.38997
1986,Lower Saxony,1st Quintile,At least once per month,0.35701,82,209,0.29190,0.42213
1986,Lower Saxony,1st Quintile,Seldom,0.20564,46,209,0.15072,0.26057
1986,Lower Saxony,2nd Quintile,At least once per week,0.36874,91,204,0.30237,0.43511
1986,Lower Saxony,2nd Quintile,At least once per month,0.36913,76,204,0.30275,0.43552
1986,Lower Saxony,2nd Quintile,Seldom,0.19974,37,204,0.14474,0.25473
1986,Lower Saxony,3rd Quintile,At least once per week,0.37679,89,221,0.31275,0.44082
1986,Lower Saxony,3rd Quintile,At least once per month,0.39026,85,221,0.32579,0.45472
1986,Lower Saxony,3rd Quintile,Seldom,0.20631,47,221,0.15284,0.25978
1986,Lower Saxony,4th Quintile,At least once per week,0.40333,91,202,0.33551,0.47115
1986,Lower Saxony,4th Quintile,At least once per month,0.36221,69,202,0.29576,0.42866
1986,Lower Saxony,4th Quintile,Seldom,0.19880,42,202,0.14363,0.25398
1986,Lower Saxony,5th Quintile,At least once per week,0.45255,93,215,0.38586,0.51924
1986,Lower Saxony,5th Quintile,At least once per month,0.38677,89,215,0.32152,0.45202
1986,Lower Saxony,5th Quintile,Seldom,0.15603,33,215,0.10741,0.20465
1986,North Rhine-Westphalia,1st Quintile,At least once per week,0.43526,275,625,0.39636,0.47416
1986,North Rhine-Westphalia,1st Quintile,At least once per month,0.28878,205,625,0.25322,0.32434
