year,quintil_oecd,sampreg,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,West,At least once per week,0.43454,1073,2231,0.41397,0.45512
1985,1st Quintile,West,At least once per month,0.26466,589,2231,0.24635,0.28297
1985,1st Quintile,West,Seldom,0.24308,457,2231,0.22528,0.26089
1985,1st Quintile,West,Never,0.05771,112,2231,0.04803,0.06739
1985,2nd Quintile,West,At least once per week,0.43755,1004,2134,0.41650,0.45861
1985,2nd Quintile,West,At least once per month,0.29865,611,2134,0.27923,0.31807
1985,2nd Quintile,West,Seldom,0.21833,439,2134,0.20080,0.23587
1985,2nd Quintile,West,Never,0.04546,80,2134,0.03662,0.05430
1985,3rd Quintile,West,At least once per week,0.43774,1026,2196,0.41698,0.45849
1985,3rd Quintile,West,At least once per month,0.31098,666,2196,0.29162,0.33035
1985,3rd Quintile,West,Seldom,0.20162,406,2196,0.18483,0.21840
1985,3rd Quintile,West,Never,0.04966,98,2196,0.04057,0.05875
1985,4th Quintile,West,At least once per week,0.46956,1067,2197,0.44869,0.49044
1985,4th Quintile,West,At least once per month,0.32561,703,2197,0.30601,0.34521
1985,4th Quintile,West,Seldom,0.17458,362,2197,0.15870,0.19046
1985,4th Quintile,West,Never,0.03025,65,2197,0.02308,0.03741
1985,5th Quintile,West,At least once per week,0.45853,1048,2171,0.43757,0.47950
1985,5th Quintile,West,At least once per month,0.34518,735,2171,0.32518,0.36519
1985,5th Quintile,West,Seldom,0.17016,335,2171,0.15435,0.18597
1985,5th Quintile,West,Never,0.02612,53,2171,0.01941,0.03283
1986,1st Quintile,West,At least once per week,0.40027,925,2071,0.37916,0.42137
1986,1st Quintile,West,At least once per month,0.30877,633,2071,0.28886,0.32867
1986,1st Quintile,West,Seldom,0.22065,396,2071,0.20278,0.23851
1986,1st Quintile,West,Never,0.07032,117,2071,0.05930,0.08133
1986,2nd Quintile,West,At least once per week,0.35553,868,2084,0.33497,0.37609
1986,2nd Quintile,West,At least once per month,0.35421,707,2084,0.33367,0.37475
1986,2nd Quintile,West,Seldom,0.23205,417,2084,0.21392,0.25018
1986,2nd Quintile,West,Never,0.05821,92,2084,0.04815,0.06826
1986,3rd Quintile,West,At least once per week,0.41622,958,2089,0.39508,0.43736
1986,3rd Quintile,West,At least once per month,0.33790,680,2089,0.31761,0.35819
1986,3rd Quintile,West,Seldom,0.20842,379,2089,0.19100,0.22584
1986,3rd Quintile,West,Never,0.03746,72,2089,0.02932,0.04561
1986,4th Quintile,West,At least once per week,0.43590,1052,2210,0.41522,0.45658
1986,4th Quintile,West,At least once per month,0.32942,685,2210,0.30982,0.34902
1986,4th Quintile,West,Seldom,0.19547,393,2210,0.17893,0.21201
1986,4th Quintile,West,Never,0.03921,80,2210,0.03112,0.04731
1986,5th Quintile,West,At least once per week,0.43266,929,2087,0.41140,0.45393
1986,5th Quintile,West,At least once per month,0.35866,747,2087,0.33808,0.37924
1986,5th Quintile,West,Seldom,0.19212,375,2087,0.17522,0.20903
1986,5th Quintile,West,Never,0.01655,36,2087,0.01108,0.02203
1988,1st Quintile,West,At least once per week,0.40689,944,1961,0.38514,0.42864
1988,1st Quintile,West,At least once per month,0.27294,520,1961,0.25322,0.29266
1988,1st Quintile,West,Seldom,0.23371,367,1961,0.21498,0.25245
1988,1st Quintile,West,Never,0.08646,130,1961,0.07402,0.09890
1988,2nd Quintile,West,At least once per week,0.41065,926,1975,0.38895,0.43235
1988,2nd Quintile,West,At least once per month,0.35409,671,1975,0.33300,0.37519
1988,2nd Quintile,West,Seldom,0.18616,312,1975,0.16899,0.20334
1988,2nd Quintile,West,Never,0.04909,66,1975,0.03956,0.05862
1988,3rd Quintile,West,At least once per week,0.43486,962,1993,0.41309,0.45663
1988,3rd Quintile,West,At least once per month,0.33517,640,1993,0.31444,0.35590
1988,3rd Quintile,West,Seldom,0.19516,331,1993,0.17776,0.21256
1988,3rd Quintile,West,Never,0.03481,60,1993,0.02676,0.04286
1988,4th Quintile,West,At least once per week,0.45408,1024,2055,0.43255,0.47561
1988,4th Quintile,West,At least once per month,0.33271,639,2055,0.31234,0.35309
1988,4th Quintile,West,Seldom,0.18567,337,2055,0.16885,0.20248
1988,4th Quintile,West,Never,0.02754,55,2055,0.02046,0.03462
1988,5th Quintile,West,At least once per week,0.44151,907,1930,0.41935,0.46367
1988,5th Quintile,West,At least once per month,0.36033,655,1930,0.33890,0.38175
1988,5th Quintile,West,Seldom,0.17797,333,1930,0.16090,0.19504
1988,5th Quintile,West,Never,0.02019,35,1930,0.01392,0.02647
1992,1st Quintile,West,At least once per week,0.42911,571,1157,0.40057,0.45764
1992,1st Quintile,West,At least once per month,0.26714,311,1157,0.24163,0.29265
1992,1st Quintile,West,Seldom,0.19655,181,1157,0.17364,0.21945
1992,1st Quintile,West,Never,0.10721,94,1157,0.08937,0.12504
1992,1st Quintile,East,At least once per week,0.25181,364,1591,0.23048,0.27315
1992,1st Quintile,East,At least once per month,0.37612,615,1591,0.35231,0.39993
1992,1st Quintile,East,Seldom,0.31136,530,1591,0.28860,0.33412
1992,1st Quintile,East,Never,0.06070,82,1591,0.04897,0.07244
1992,2nd Quintile,West,At least once per week,0.42272,808,1632,0.39875,0.44670
1992,2nd Quintile,West,At least once per month,0.35312,517,1632,0.32993,0.37632
1992,2nd Quintile,West,Seldom,0.17991,258,1632,0.16127,0.19855
1992,2nd Quintile,West,Never,0.04424,49,1632,0.03426,0.05422
1992,2nd Quintile,East,At least once per week,0.22182,260,1212,0.19842,0.24522
1992,2nd Quintile,East,At least once per month,0.42978,531,1212,0.40190,0.45767
1992,2nd Quintile,East,Seldom,0.31971,388,1212,0.29344,0.34598
1992,2nd Quintile,East,Never,0.02868,33,1212,0.01928,0.03808
1992,3rd Quintile,West,At least once per week,0.42032,933,1938,0.39834,0.44231
1992,3rd Quintile,West,At least once per month,0.36166,638,1938,0.34026,0.38306
1992,3rd Quintile,West,Seldom,0.17900,308,1938,0.16192,0.19607
1992,3rd Quintile,West,Never,0.03902,59,1938,0.03040,0.04764
1992,3rd Quintile,East,At least once per week,0.23610,176,693,0.20445,0.26774
1992,3rd Quintile,East,At least once per month,0.41457,286,693,0.37787,0.45128
1992,3rd Quintile,East,Seldom,0.32702,231,693,0.29207,0.36197
1992,4th Quintile,West,At least once per week,0.44655,1096,2279,0.42613,0.46696
1992,4th Quintile,West,At least once per month,0.34903,771,2279,0.32946,0.36861
1992,4th Quintile,West,Seldom,0.17812,352,2279,0.16241,0.19384
1992,4th Quintile,West,Never,0.02629,60,2279,0.01972,0.03287
1992,4th Quintile,East,At least once per week,0.26934,76,310,0.21988,0.31881
1992,4th Quintile,East,At least once per month,0.39435,129,310,0.33986,0.44884
1992,4th Quintile,East,Seldom,0.32991,105,310,0.27749,0.38234
1992,5th Quintile,West,At least once per week,0.41399,989,2251,0.39364,0.43434
1992,5th Quintile,West,At least once per month,0.38267,828,2251,0.36259,0.40276
1992,5th Quintile,West,Seldom,0.18113,382,2251,0.16521,0.19704
1992,5th Quintile,West,Never,0.02221,52,2251,0.01612,0.02830
1992,5th Quintile,East,At least once per month,0.46161,63,103,0.36486,0.55835
1992,5th Quintile,East,Seldom,0.28638,40,103,0.19865,0.37412
1994,1st Quintile,West,At least once per week,0.41606,746,1541,0.39144,0.44068
1994,1st Quintile,West,At least once per month,0.30180,442,1541,0.27888,0.32473
1994,1st Quintile,West,Seldom,0.22508,283,1541,0.20422,0.24593
1994,1st Quintile,West,Never,0.05706,70,1541,0.04547,0.06864
1994,1st Quintile,East,At least once per week,0.25724,217,962,0.22960,0.28487
1994,1st Quintile,East,At least once per month,0.31715,319,962,0.28772,0.34657
1994,1st Quintile,East,Seldom,0.33557,352,962,0.30572,0.36543
1994,1st Quintile,East,Never,0.09004,74,962,0.07194,0.10814
1994,2nd Quintile,West,At least once per week,0.41140,737,1579,0.38712,0.43568
1994,2nd Quintile,West,At least once per month,0.33149,487,1579,0.30826,0.35472
1994,2nd Quintile,West,Seldom,0.21794,304,1579,0.19757,0.23831
1994,2nd Quintile,West,Never,0.03917,51,1579,0.02960,0.04874
1994,2nd Quintile,East,At least once per week,0.23666,251,1050,0.21094,0.26239
1994,2nd Quintile,East,At least once per month,0.39713,440,1050,0.36752,0.42674
1994,2nd Quintile,East,Seldom,0.33296,359,1050,0.30444,0.36148
1994,3rd Quintile,West,At least once per week,0.41988,825,1805,0.39710,0.44265
1994,3rd Quintile,West,At least once per month,0.34788,619,1805,0.32590,0.36986
1994,3rd Quintile,West,Seldom,0.20706,324,1805,0.18836,0.22575
1994,3rd Quintile,West,Never,0.02519,37,1805,0.01796,0.03242
1994,3rd Quintile,East,At least once per week,0.20133,178,890,0.17497,0.22769
1994,3rd Quintile,East,At least once per month,0.40731,370,890,0.37501,0.43961
1994,3rd Quintile,East,Seldom,0.34707,310,890,0.31578,0.37837
1994,3rd Quintile,East,Never,0.04429,32,890,0.03076,0.05781
1994,4th Quintile,West,At least once per week,0.40128,878,1985,0.37971,0.42285
1994,4th Quintile,West,At least once per month,0.33912,674,1985,0.31829,0.35995
1994,4th Quintile,West,Seldom,0.22718,379,1985,0.20874,0.24562
1994,4th Quintile,West,Never,0.03242,54,1985,0.02463,0.04022
1994,4th Quintile,East,At least once per week,0.21584,126,534,0.18091,0.25076
1994,4th Quintile,East,At least once per month,0.46091,241,534,0.41859,0.50323
1994,4th Quintile,East,Seldom,0.29295,167,534,0.25432,0.33159
1994,5th Quintile,West,At least once per week,0.40069,903,2131,0.37988,0.42150
1994,5th Quintile,West,At least once per month,0.38243,795,2131,0.36179,0.40307
1994,5th Quintile,West,Seldom,0.19840,394,2131,0.18146,0.21534
1994,5th Quintile,West,Never,0.01848,39,2131,0.01276,0.02420
1994,5th Quintile,East,At least once per week,0.18350,54,274,0.13758,0.22941
1994,5th Quintile,East,At least once per month,0.44504,122,274,0.38609,0.50400
1994,5th Quintile,East,Seldom,0.35803,98,274,0.30116,0.41490
1996,1st Quintile,West,At least once per week,0.48589,946,1788,0.46271,0.50906
1996,1st Quintile,West,At least once per month,0.29128,510,1788,0.27022,0.31235
1996,1st Quintile,West,Seldom,0.17833,262,1788,0.16058,0.19608
1996,1st Quintile,West,Never,0.04450,70,1788,0.03494,0.05406
1996,1st Quintile,East,At least once per week,0.37049,265,775,0.33646,0.40451
1996,1st Quintile,East,At least once per month,0.31808,258,775,0.28527,0.35089
1996,1st Quintile,East,Seldom,0.26838,214,775,0.23716,0.29960
1996,1st Quintile,East,Never,0.04305,38,775,0.02875,0.05735
1996,2nd Quintile,West,At least once per week,0.42513,816,1688,0.40154,0.44872
1996,2nd Quintile,West,At least once per month,0.34265,559,1688,0.32000,0.36530
1996,2nd Quintile,West,Seldom,0.20129,274,1688,0.18216,0.22043
1996,2nd Quintile,West,Never,0.03093,39,1688,0.02266,0.03919
1996,2nd Quintile,East,At least once per week,0.28039,257,909,0.25117,0.30961
1996,2nd Quintile,East,At least once per month,0.42843,402,909,0.39624,0.46062
1996,2nd Quintile,East,Seldom,0.26490,250,909,0.23619,0.29360
1996,3rd Quintile,West,At least once per week,0.45832,891,1772,0.43511,0.48152
1996,3rd Quintile,West,At least once per month,0.31671,556,1772,0.29504,0.33837
1996,3rd Quintile,West,Seldom,0.19808,288,1772,0.17952,0.21664
1996,3rd Quintile,West,Never,0.02689,37,1772,0.01936,0.03443
1996,3rd Quintile,East,At least once per week,0.26769,250,897,0.23870,0.29669
1996,3rd Quintile,East,At least once per month,0.40840,371,897,0.37622,0.44059
1996,3rd Quintile,East,Seldom,0.30743,276,897,0.27721,0.33764
1996,4th Quintile,West,At least once per week,0.44636,983,2017,0.42466,0.46806
1996,4th Quintile,West,At least once per month,0.37724,706,2017,0.35608,0.39839
1996,4th Quintile,West,Seldom,0.15578,294,2017,0.13995,0.17161
1996,4th Quintile,West,Never,0.02062,34,2017,0.01442,0.02683
1996,4th Quintile,East,At least once per week,0.25258,193,684,0.22000,0.28517
1996,4th Quintile,East,At least once per month,0.50125,322,684,0.46375,0.53874
1996,4th Quintile,East,Seldom,0.24054,169,684,0.20849,0.27260
1996,5th Quintile,West,At least once per week,0.42999,939,2043,0.40851,0.45146
1996,5th Quintile,West,At least once per month,0.37935,760,2043,0.35830,0.40039
1996,5th Quintile,West,Seldom,0.18084,344,2043,0.16415,0.19753
1996,5th Quintile,East,At least once per week,0.27994,98,373,0.23432,0.32557
