year,bula_h,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,At least once per week,0.31435,134,339,0.26486,0.36385
1985,Schleswig-Holstein,At least once per month,0.27600,122,339,0.22834,0.32365
1985,Schleswig-Holstein,Seldom,0.20135,83,339,0.15859,0.24410
1985,Hamburg,At least once per week,0.46412,147,259,0.40326,0.52497
1985,Hamburg,At least once per month,0.25518,78,259,0.20198,0.30837
1985,Hamburg,Seldom,0.13062,34,259,0.08950,0.17174
1985,Lower Saxony,At least once per week,0.33393,457,1096,0.30599,0.36186
1985,Lower Saxony,At least once per month,0.28873,377,1096,0.26189,0.31558
1985,Lower Saxony,Seldom,0.17702,216,1096,0.15442,0.19963
1985,Lower Saxony,Never,0.03676,46,1096,0.02561,0.04790
1985,Bremen,At least once per week,0.36452,40,82,0.25970,0.46933
1985,Bremen,At least once per month,0.31119,42,82,0.21037,0.41202
1985,North Rhine-Westphalia,At least once per week,0.40549,1476,2944,0.38775,0.42323
1985,North Rhine-Westphalia,At least once per month,0.26086,931,2944,0.24499,0.27672
1985,North Rhine-Westphalia,Seldom,0.13749,472,2944,0.12505,0.14993
1985,North Rhine-Westphalia,Never,0.01892,65,2944,0.01400,0.02385
1985,Hesse,At least once per week,0.37337,546,1115,0.34497,0.40178
1985,Hesse,At least once per month,0.26158,312,1115,0.23577,0.28739
1985,Hesse,Seldom,0.17100,201,1115,0.14889,0.19311
1985,Hesse,Never,0.04375,56,1115,0.03174,0.05576
1985,"Rhineland-Palatinate, Saarland",At least once per week,0.34008,326,760,0.30637,0.37378
1985,"Rhineland-Palatinate, Saarland",At least once per month,0.28760,253,760,0.25540,0.31980
1985,"Rhineland-Palatinate, Saarland",Seldom,0.15708,138,760,0.13119,0.18297
1985,"Rhineland-Palatinate, Saarland",Never,0.05867,43,760,0.04195,0.07539
1985,Baden-Wuerttemberg,At least once per week,0.35408,1029,2034,0.33330,0.37487
1985,Baden-Wuerttemberg,At least once per month,0.23455,551,2034,0.21613,0.25297
1985,Baden-Wuerttemberg,Seldom,0.18596,376,2034,0.16904,0.20287
1985,Baden-Wuerttemberg,Never,0.03922,78,2034,0.03078,0.04766
1985,Bavaria,At least once per week,0.38453,920,1882,0.36254,0.40651
1985,Bavaria,At least once per month,0.22587,508,1882,0.20697,0.24477
1985,Bavaria,Seldom,0.18366,379,1882,0.16616,0.20116
1985,Bavaria,Never,0.03599,75,1882,0.02757,0.04441
1985,Berlin,At least once per week,0.33800,146,350,0.28837,0.38763
1985,Berlin,At least once per month,0.32096,133,350,0.27198,0.36994
1985,Berlin,Seldom,0.15545,71,350,0.11743,0.19346
1986,Schleswig-Holstein,At least once per week,0.29649,122,310,0.24557,0.34742
1986,Schleswig-Holstein,At least once per month,0.23129,91,310,0.18428,0.27831
1986,Schleswig-Holstein,Seldom,0.26478,97,310,0.21559,0.31398
1986,Hamburg,At least once per week,0.47680,148,243,0.41387,0.53973
1986,Hamburg,At least once per month,0.23161,61,243,0.17846,0.28476
1986,Hamburg,Seldom,0.14998,34,243,0.10499,0.19497
1986,Lower Saxony,At least once per week,0.32284,445,1102,0.29522,0.35046
1986,Lower Saxony,At least once per month,0.31367,401,1102,0.28626,0.34107
1986,Lower Saxony,Seldom,0.16277,205,1102,0.14096,0.18457
1986,Lower Saxony,Never,0.04137,51,1102,0.02961,0.05314
1986,Bremen,At least once per week,0.28199,32,76,0.18016,0.38383
1986,Bremen,At least once per month,0.33564,44,76,0.22876,0.44251
1986,North Rhine-Westphalia,At least once per week,0.36287,1313,2851,0.34522,0.38052
1986,North Rhine-Westphalia,At least once per month,0.27588,958,2851,0.25947,0.29229
1986,North Rhine-Westphalia,Seldom,0.15558,491,2851,0.14227,0.16889
1986,North Rhine-Westphalia,Never,0.02932,89,2851,0.02313,0.03552
1986,Hesse,At least once per week,0.35205,518,1048,0.32312,0.38098
1986,Hesse,At least once per month,0.28568,312,1048,0.25832,0.31305
1986,Hesse,Seldom,0.16346,164,1048,0.14106,0.18585
1986,Hesse,Never,0.04995,54,1048,0.03676,0.06315
1986,"Rhineland-Palatinate, Saarland",At least once per week,0.30971,309,741,0.27639,0.34302
1986,"Rhineland-Palatinate, Saarland",At least once per month,0.34427,293,741,0.31004,0.37851
1986,"Rhineland-Palatinate, Saarland",Seldom,0.15989,139,741,0.13348,0.18630
1986,Baden-Wuerttemberg,At least once per week,0.31728,926,1978,0.29677,0.33780
1986,Baden-Wuerttemberg,At least once per month,0.27966,624,1978,0.25988,0.29945
1986,Baden-Wuerttemberg,Seldom,0.18298,351,1978,0.16594,0.20003
1986,Baden-Wuerttemberg,Never,0.03890,77,1978,0.03038,0.04742
1986,Bavaria,At least once per week,0.34226,781,1768,0.32014,0.36438
1986,Bavaria,At least once per month,0.26053,544,1768,0.24007,0.28100
1986,Bavaria,Seldom,0.19217,380,1768,0.17379,0.21054
1986,Bavaria,Never,0.03490,63,1768,0.02634,0.04345
1986,Berlin,At least once per week,0.35642,140,336,0.30514,0.40771
1986,Berlin,At least once per month,0.29445,125,336,0.24564,0.34326
1986,Berlin,Seldom,0.16926,71,336,0.12910,0.20941
1988,Schleswig-Holstein,At least once per week,0.30118,129,311,0.25011,0.35225
1988,Schleswig-Holstein,At least once per month,0.25724,104,311,0.20858,0.30590
1988,Schleswig-Holstein,Seldom,0.21269,78,311,0.16714,0.25825
1988,Hamburg,At least once per week,0.40196,101,169,0.32782,0.47610
1988,Hamburg,At least once per month,0.32288,68,169,0.25218,0.39359
1988,Lower Saxony,At least once per week,0.29513,405,1011,0.26700,0.32326
1988,Lower Saxony,At least once per month,0.32708,388,1011,0.29815,0.35601
1988,Lower Saxony,Seldom,0.18675,218,1011,0.16272,0.21079
1988,Bremen,At least once per month,0.37997,46,46,0.23815,0.52179
1988,North Rhine-Westphalia,At least once per week,0.36538,1257,2681,0.34715,0.38362
1988,North Rhine-Westphalia,At least once per month,0.27412,879,2681,0.25723,0.29101
1988,North Rhine-Westphalia,Seldom,0.15335,458,2681,0.13971,0.16699
1988,North Rhine-Westphalia,Never,0.03264,87,2681,0.02592,0.03937
1988,Hesse,At least once per week,0.37408,536,998,0.34404,0.40412
1988,Hesse,At least once per month,0.25412,265,998,0.22709,0.28114
1988,Hesse,Seldom,0.14128,137,998,0.11966,0.16290
1988,Hesse,Never,0.06183,60,998,0.04688,0.07679
1988,"Rhineland-Palatinate, Saarland",At least once per week,0.33797,320,735,0.30375,0.37220
1988,"Rhineland-Palatinate, Saarland",At least once per month,0.27519,228,735,0.24288,0.30750
1988,"Rhineland-Palatinate, Saarland",Seldom,0.18966,146,735,0.16130,0.21802
1988,"Rhineland-Palatinate, Saarland",Never,0.05723,41,735,0.04042,0.07403
1988,Baden-Wuerttemberg,At least once per week,0.37976,1019,1878,0.35780,0.40172
1988,Baden-Wuerttemberg,At least once per month,0.26323,551,1878,0.24331,0.28315
1988,Baden-Wuerttemberg,Seldom,0.14474,257,1878,0.12883,0.16066
1988,Baden-Wuerttemberg,Never,0.02846,51,1878,0.02093,0.03598
1988,Bavaria,At least once per week,0.38285,828,1633,0.35926,0.40643
1988,Bavaria,At least once per month,0.24022,454,1633,0.21949,0.26095
1988,Bavaria,Seldom,0.16849,301,1633,0.15033,0.18665
1988,Bavaria,Never,0.03196,50,1633,0.02343,0.04050
1988,Berlin,At least once per week,0.32646,139,324,0.27533,0.37760
1988,Berlin,At least once per month,0.39251,143,324,0.33926,0.44576
1988,Berlin,Seldom,0.11838,42,324,0.08315,0.15361
1990,Berlin,At least once per week,0.11408,112,289,0.07736,0.15080
1990,Berlin,At least once per month,0.10344,114,289,0.06827,0.13861
1990,Berlin,Seldom,0.06094,63,289,0.03331,0.08856
1990,Brandenburg,At least once per week,0.18795,175,704,0.15907,0.21683
1990,Brandenburg,At least once per month,0.27128,273,704,0.23842,0.30415
1990,Brandenburg,Seldom,0.28650,256,704,0.25308,0.31992
1990,Mecklenburg-Western Pomerania,At least once per week,0.23965,152,482,0.20150,0.27780
1990,Mecklenburg-Western Pomerania,At least once per month,0.27705,182,482,0.23705,0.31704
1990,Mecklenburg-Western Pomerania,Seldom,0.22501,148,482,0.18769,0.26233
1990,Saxony,At least once per week,0.19596,341,1326,0.17459,0.21733
1990,Saxony,At least once per month,0.28785,511,1326,0.26347,0.31223
1990,Saxony,Seldom,0.24823,406,1326,0.22497,0.27149
1990,Saxony,Never,0.04800,68,1326,0.03649,0.05951
1990,Saxony-Anhalt,At least once per week,0.24505,251,802,0.21527,0.27484
1990,Saxony-Anhalt,At least once per month,0.27460,283,802,0.24369,0.30551
1990,Saxony-Anhalt,Seldom,0.22155,225,802,0.19279,0.25031
1990,Saxony-Anhalt,Never,0.04982,43,802,0.03476,0.06489
1990,Thuringa,At least once per week,0.24308,219,739,0.21213,0.27402
1990,Thuringa,At least once per month,0.25517,259,739,0.22372,0.28662
1990,Thuringa,Seldom,0.23027,228,739,0.19989,0.26064
1990,Thuringa,Never,0.03795,33,739,0.02416,0.05173
1992,Schleswig-Holstein,At least once per week,0.28391,101,249,0.22779,0.34003
1992,Schleswig-Holstein,At least once per month,0.25801,84,249,0.20355,0.31247
1992,Schleswig-Holstein,Seldom,0.17219,64,249,0.12520,0.21918
1992,Hamburg,At least once per week,0.40713,82,131,0.32267,0.49158
1992,Hamburg,At least once per month,0.27618,49,131,0.19932,0.35304
1992,Lower Saxony,At least once per week,0.32883,401,932,0.29865,0.35901
1992,Lower Saxony,At least once per month,0.31344,366,932,0.28364,0.34324
1992,Lower Saxony,Seldom,0.15277,165,932,0.12966,0.17588
1992,Bremen,At least once per week,0.31319,34,69,0.20296,0.42343
1992,Bremen,At least once per month,0.35489,35,69,0.24116,0.46862
1992,North Rhine-Westphalia,At least once per week,0.35502,1196,2505,0.33627,0.37376
1992,North Rhine-Westphalia,At least once per month,0.28837,836,2505,0.27062,0.30611
1992,North Rhine-Westphalia,Seldom,0.14840,412,2505,0.13448,0.16233
1992,North Rhine-Westphalia,Never,0.02087,61,2505,0.01527,0.02647
1992,Hesse,At least once per week,0.34847,469,945,0.31808,0.37887
1992,Hesse,At least once per month,0.29066,293,945,0.26170,0.31963
1992,Hesse,Seldom,0.14351,130,945,0.12114,0.16587
1992,Hesse,Never,0.05628,53,945,0.04158,0.07098
1992,"Rhineland-Palatinate, Saarland",At least once per week,0.33122,288,653,0.29510,0.36735
1992,"Rhineland-Palatinate, Saarland",At least once per month,0.30232,233,653,0.26707,0.33757
