year,migback,quintil_oecd,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,1st Quintile,At least once per week,0.41820,541,1296,0.39134,0.44507
1985,No migration background,1st Quintile,At least once per month,0.26471,356,1296,0.24068,0.28874
1985,No migration background,1st Quintile,Seldom,0.25727,330,1296,0.23346,0.28108
1985,No migration background,1st Quintile,Never,0.05982,69,1296,0.04690,0.07274
1985,No migration background,2nd Quintile,At least once per week,0.43196,620,1456,0.40650,0.45741
1985,No migration background,2nd Quintile,At least once per month,0.29711,439,1456,0.27363,0.32059
1985,No migration background,2nd Quintile,Seldom,0.22366,335,1456,0.20225,0.24507
1985,No migration background,2nd Quintile,Never,0.04728,62,1456,0.03637,0.05818
1985,No migration background,3rd Quintile,At least once per week,0.43321,711,1612,0.40901,0.45740
1985,No migration background,3rd Quintile,At least once per month,0.31131,497,1612,0.28870,0.33392
1985,No migration background,3rd Quintile,Seldom,0.20706,333,1612,0.18727,0.22685
1985,No migration background,3rd Quintile,Never,0.04842,71,1612,0.03794,0.05890
1985,No migration background,4th Quintile,At least once per week,0.46246,782,1692,0.43870,0.48623
1985,No migration background,4th Quintile,At least once per month,0.32946,568,1692,0.30706,0.35187
1985,No migration background,4th Quintile,Seldom,0.17594,294,1692,0.15779,0.19409
1985,No migration background,4th Quintile,Never,0.03214,48,1692,0.02373,0.04054
1985,No migration background,5th Quintile,At least once per week,0.45702,860,1855,0.43434,0.47969
1985,No migration background,5th Quintile,At least once per month,0.34740,652,1855,0.32573,0.36908
1985,No migration background,5th Quintile,Seldom,0.16842,298,1855,0.15139,0.18546
1985,No migration background,5th Quintile,Never,0.02716,45,1855,0.01976,0.03456
1985,Direct migration background,1st Quintile,At least once per week,0.53247,509,901,0.49987,0.56506
1985,Direct migration background,1st Quintile,At least once per month,0.26882,227,901,0.23985,0.29779
1985,Direct migration background,1st Quintile,Seldom,0.15309,122,901,0.12957,0.17662
1985,Direct migration background,1st Quintile,Never,0.04562,43,901,0.03199,0.05925
1985,Direct migration background,2nd Quintile,At least once per week,0.48205,357,625,0.44285,0.52126
1985,Direct migration background,2nd Quintile,At least once per month,0.30616,167,625,0.27000,0.34232
1985,Direct migration background,2nd Quintile,Seldom,0.17950,101,625,0.14939,0.20962
1985,Direct migration background,3rd Quintile,At least once per week,0.48421,297,529,0.44158,0.52684
1985,Direct migration background,3rd Quintile,At least once per month,0.31253,164,529,0.27300,0.35207
1985,Direct migration background,3rd Quintile,Seldom,0.13846,68,529,0.10900,0.16792
1985,Direct migration background,4th Quintile,At least once per week,0.51869,265,461,0.47303,0.56435
1985,Direct migration background,4th Quintile,At least once per month,0.30034,130,461,0.25844,0.34223
1985,Direct migration background,4th Quintile,Seldom,0.16805,66,461,0.13388,0.20222
1985,Direct migration background,5th Quintile,At least once per week,0.47149,181,298,0.41472,0.52826
1985,Direct migration background,5th Quintile,At least once per month,0.31812,80,298,0.26515,0.37109
1985,Direct migration background,5th Quintile,Seldom,0.19890,37,298,0.15350,0.24430
1986,No migration background,1st Quintile,At least once per week,0.38074,460,1220,0.35348,0.40800
1986,No migration background,1st Quintile,At least once per month,0.31349,395,1220,0.28745,0.33954
1986,No migration background,1st Quintile,Seldom,0.23499,289,1220,0.21119,0.25879
1986,No migration background,1st Quintile,Never,0.07077,76,1220,0.05638,0.08517
1986,No migration background,2nd Quintile,At least once per week,0.34258,479,1374,0.31747,0.36768
1986,No migration background,2nd Quintile,At least once per month,0.35352,501,1374,0.32824,0.37881
1986,No migration background,2nd Quintile,Seldom,0.24039,319,1374,0.21779,0.26299
1986,No migration background,2nd Quintile,Never,0.06351,75,1374,0.05061,0.07641
1986,No migration background,3rd Quintile,At least once per week,0.40975,627,1513,0.38496,0.43454
1986,No migration background,3rd Quintile,At least once per month,0.33943,520,1513,0.31556,0.36330
1986,No migration background,3rd Quintile,Seldom,0.21552,315,1513,0.19479,0.23624
1986,No migration background,3rd Quintile,Never,0.03530,51,1513,0.02600,0.04460
1986,No migration background,4th Quintile,At least once per week,0.43169,744,1681,0.40800,0.45537
1986,No migration background,4th Quintile,At least once per month,0.33288,556,1681,0.31035,0.35542
1986,No migration background,4th Quintile,Seldom,0.19476,318,1681,0.17582,0.21370
1986,No migration background,4th Quintile,Never,0.04067,63,1681,0.03122,0.05011
1986,No migration background,5th Quintile,At least once per week,0.43124,769,1758,0.40808,0.45439
1986,No migration background,5th Quintile,At least once per month,0.35272,640,1758,0.33037,0.37506
1986,No migration background,5th Quintile,Seldom,0.19872,349,1758,0.18007,0.21738
1986,Direct migration background,1st Quintile,At least once per week,0.52068,436,806,0.48617,0.55519
1986,Direct migration background,1st Quintile,At least once per month,0.27467,229,806,0.24384,0.30551
1986,Direct migration background,1st Quintile,Seldom,0.13380,101,806,0.11028,0.15732
1986,Direct migration background,1st Quintile,Never,0.07084,40,806,0.05312,0.08857
1986,Direct migration background,2nd Quintile,At least once per week,0.43662,366,664,0.39887,0.47437
1986,Direct migration background,2nd Quintile,At least once per month,0.36940,203,664,0.33266,0.40614
1986,Direct migration background,2nd Quintile,Seldom,0.17326,95,664,0.14445,0.20207
1986,Direct migration background,3rd Quintile,At least once per week,0.46387,310,523,0.42109,0.50665
1986,Direct migration background,3rd Quintile,At least once per month,0.32955,153,523,0.28922,0.36987
1986,Direct migration background,3rd Quintile,Seldom,0.14670,60,523,0.11635,0.17705
1986,Direct migration background,4th Quintile,At least once per week,0.48554,292,484,0.44096,0.53011
1986,Direct migration background,4th Quintile,At least once per month,0.30430,126,484,0.26327,0.34534
1986,Direct migration background,4th Quintile,Seldom,0.18567,66,484,0.15099,0.22034
1986,Direct migration background,5th Quintile,At least once per week,0.44747,150,252,0.38595,0.50898
1986,Direct migration background,5th Quintile,At least once per month,0.43583,102,252,0.37449,0.49718
1988,No migration background,1st Quintile,At least once per week,0.38608,433,1118,0.35753,0.41463
1988,No migration background,1st Quintile,At least once per month,0.27319,318,1118,0.24705,0.29932
1988,No migration background,1st Quintile,Seldom,0.25182,278,1118,0.22637,0.27728
1988,No migration background,1st Quintile,Never,0.08891,89,1118,0.07222,0.10560
1988,No migration background,2nd Quintile,At least once per week,0.39592,519,1301,0.36934,0.42250
1988,No migration background,2nd Quintile,At least once per month,0.36447,490,1301,0.33831,0.39063
1988,No migration background,2nd Quintile,Seldom,0.18618,235,1301,0.16502,0.20734
1988,No migration background,2nd Quintile,Never,0.05343,57,1301,0.04120,0.06565
1988,No migration background,3rd Quintile,At least once per week,0.43065,636,1435,0.40502,0.45628
1988,No migration background,3rd Quintile,At least once per month,0.33889,490,1435,0.31440,0.36339
1988,No migration background,3rd Quintile,Seldom,0.19440,265,1435,0.17392,0.21488
1988,No migration background,3rd Quintile,Never,0.03606,44,1435,0.02641,0.04571
1988,No migration background,4th Quintile,At least once per week,0.44448,693,1525,0.41953,0.46943
1988,No migration background,4th Quintile,At least once per month,0.34036,516,1525,0.31657,0.36415
1988,No migration background,4th Quintile,Seldom,0.18913,277,1525,0.16947,0.20879
1988,No migration background,4th Quintile,Never,0.02603,39,1525,0.01804,0.03403
1988,No migration background,5th Quintile,At least once per week,0.44531,755,1662,0.42141,0.46921
1988,No migration background,5th Quintile,At least once per month,0.35927,584,1662,0.33620,0.38234
1988,No migration background,5th Quintile,Seldom,0.17399,291,1662,0.15576,0.19222
1988,No migration background,5th Quintile,Never,0.02143,32,1662,0.01446,0.02839
1988,Direct migration background,1st Quintile,At least once per week,0.50994,467,778,0.47479,0.54509
1988,Direct migration background,1st Quintile,At least once per month,0.27993,192,778,0.24836,0.31150
