year,pgisced97,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,At least once per week,0.58666,62,62,0.46308,0.71023
1985,Pre-primary Level,At least once per week,0.77948,144,144,0.71152,0.84743
1985,Primary Level,At least once per week,0.46746,419,827,0.43344,0.50149
1985,Primary Level,At least once per month,0.21250,214,827,0.18460,0.24039
1985,Primary Level,Seldom,0.24806,144,827,0.21861,0.27751
1985,Primary Level,Never,0.07198,50,827,0.05436,0.08961
1985,Lower Secondary Level,At least once per week,0.42650,1416,3033,0.40890,0.44411
1985,Lower Secondary Level,At least once per month,0.29333,868,3033,0.27712,0.30954
1985,Lower Secondary Level,Seldom,0.21878,597,3033,0.20406,0.23349
1985,Lower Secondary Level,Never,0.06139,152,3033,0.05285,0.06993
1985,Upper Secondary Level,At least once per week,0.43780,2377,5146,0.42424,0.45136
1985,Upper Secondary Level,At least once per month,0.32638,1650,5146,0.31356,0.33919
1985,Upper Secondary Level,Seldom,0.20005,954,5146,0.18912,0.21099
1985,Upper Secondary Level,Never,0.03577,165,5146,0.03069,0.04084
1985,Post-secondary Non-tertiary Level,At least once per week,0.63297,169,263,0.57461,0.69134
1985,Post-secondary Non-tertiary Level,At least once per month,0.21858,61,263,0.16854,0.26862
1985,Post-secondary Non-tertiary Level,Seldom,0.12108,33,263,0.08158,0.16059
1985,First Stage of Tertiary Education,At least once per week,0.42174,264,599,0.38216,0.46132
1985,First Stage of Tertiary Education,At least once per month,0.34365,211,599,0.30559,0.38172
1985,First Stage of Tertiary Education,Seldom,0.20606,124,599,0.17365,0.23848
1985,Second Stage of Tertiary Education,At least once per week,0.47562,370,736,0.43952,0.51173
1985,Second Stage of Tertiary Education,At least once per month,0.35031,257,736,0.31582,0.38480
1985,Second Stage of Tertiary Education,Seldom,0.15566,109,736,0.12945,0.18187
1986,No answer / don't know,At least once per week,0.67174,71,71,0.56173,0.78174
1986,Pre-primary Level,At least once per week,0.72861,135,169,0.66136,0.79585
1986,Pre-primary Level,At least once per month,0.18630,34,169,0.12742,0.24518
1986,Primary Level,At least once per week,0.46336,411,774,0.42821,0.49851
1986,Primary Level,At least once per month,0.25034,206,774,0.21980,0.28088
1986,Primary Level,Seldom,0.18950,114,774,0.16187,0.21713
1986,Primary Level,Never,0.09680,43,774,0.07595,0.11764
1986,Lower Secondary Level,At least once per week,0.38635,1280,2896,0.36861,0.40408
1986,Lower Secondary Level,At least once per month,0.30621,876,2896,0.28942,0.32300
1986,Lower Secondary Level,Seldom,0.24566,598,2896,0.22998,0.26134
1986,Lower Secondary Level,Never,0.06179,142,2896,0.05302,0.07056
1986,Upper Secondary Level,At least once per week,0.40163,2135,4979,0.38801,0.41525
1986,Upper Secondary Level,At least once per month,0.35298,1727,4979,0.33971,0.36626
1986,Upper Secondary Level,Seldom,0.20517,945,4979,0.19395,0.21639
1986,Upper Secondary Level,Never,0.04022,172,4979,0.03476,0.04567
1986,Post-secondary Non-tertiary Level,At least once per week,0.56917,151,267,0.50966,0.62868
1986,Post-secondary Non-tertiary Level,At least once per month,0.29007,79,267,0.23553,0.34460
1986,Post-secondary Non-tertiary Level,Seldom,0.12615,37,267,0.08625,0.16605
1986,First Stage of Tertiary Education,At least once per week,0.35223,210,560,0.31263,0.39183
1986,First Stage of Tertiary Education,At least once per month,0.39980,234,560,0.35919,0.44041
1986,First Stage of Tertiary Education,Seldom,0.20889,116,560,0.17519,0.24259
1986,Second Stage of Tertiary Education,At least once per week,0.44264,341,736,0.40673,0.47855
1986,Second Stage of Tertiary Education,At least once per month,0.38240,279,736,0.34726,0.41753
1986,Second Stage of Tertiary Education,Seldom,0.16599,116,736,0.13909,0.19289
1988,No answer / don't know,At least once per week,0.60634,86,124,0.52000,0.69268
1988,No answer / don't know,At least once per month,0.27702,38,124,0.19793,0.35611
1988,Pre-primary Level,At least once per week,0.72483,121,121,0.64492,0.80474
1988,Primary Level,At least once per week,0.50265,404,689,0.46529,0.54001
1988,Primary Level,At least once per month,0.23721,162,689,0.20542,0.26899
1988,Primary Level,Seldom,0.18269,86,689,0.15382,0.21156
1988,Primary Level,Never,0.07745,37,689,0.05748,0.09743
1988,Lower Secondary Level,At least once per week,0.40035,1309,2704,0.38188,0.41882
1988,Lower Secondary Level,At least once per month,0.30775,775,2704,0.29035,0.32515
1988,Lower Secondary Level,Seldom,0.21966,475,2704,0.20406,0.23527
1988,Lower Secondary Level,Never,0.07223,145,2704,0.06247,0.08199
1988,Upper Secondary Level,At least once per week,0.42283,2128,4715,0.40873,0.43693
1988,Upper Secondary Level,At least once per month,0.34456,1604,4715,0.33100,0.35813
1988,Upper Secondary Level,Seldom,0.19650,847,4715,0.18515,0.20784
1988,Upper Secondary Level,Never,0.03611,136,4715,0.03079,0.04144
1988,Post-secondary Non-tertiary Level,At least once per week,0.60398,164,258,0.54418,0.66377
1988,Post-secondary Non-tertiary Level,At least once per month,0.23656,62,258,0.18460,0.28851
1988,Post-secondary Non-tertiary Level,Seldom,0.13244,32,258,0.09100,0.17389
1988,First Stage of Tertiary Education,At least once per week,0.35890,206,528,0.31795,0.39986
1988,First Stage of Tertiary Education,At least once per month,0.40206,214,528,0.36020,0.44393
1988,First Stage of Tertiary Education,Seldom,0.21895,108,528,0.18364,0.25426
1988,Second Stage of Tertiary Education,At least once per week,0.48917,346,692,0.45190,0.52644
1988,Second Stage of Tertiary Education,At least once per month,0.36141,246,692,0.32559,0.39724
1988,Second Stage of Tertiary Education,Seldom,0.13796,100,692,0.11224,0.16367
1990,Lower Secondary Level,At least once per week,0.33403,182,508,0.29297,0.37508
1990,Lower Secondary Level,At least once per month,0.20953,108,508,0.17411,0.24496
1990,Lower Secondary Level,Seldom,0.33817,164,508,0.29699,0.37935
1990,Lower Secondary Level,Never,0.11827,54,508,0.09016,0.14638
1990,Upper Secondary Level,At least once per week,0.28023,674,2512,0.26266,0.29779
1990,Upper Secondary Level,At least once per month,0.35895,939,2512,0.34019,0.37772
1990,Upper Secondary Level,Seldom,0.30996,780,2512,0.29187,0.32805
1990,Upper Secondary Level,Never,0.05086,119,2512,0.04227,0.05946
1990,Post-secondary Non-tertiary Level,At least once per week,0.39799,32,32,0.22567,0.57030
1990,First Stage of Tertiary Education,At least once per week,0.22509,58,244,0.17258,0.27761
1990,First Stage of Tertiary Education,At least once per month,0.41074,104,244,0.34888,0.47260
1990,First Stage of Tertiary Education,Seldom,0.32552,82,244,0.26660,0.38443
1990,Second Stage of Tertiary Education,At least once per week,0.27906,275,979,0.25095,0.30717
1990,Second Stage of Tertiary Education,At least once per month,0.42989,434,979,0.39886,0.46092
1990,Second Stage of Tertiary Education,Seldom,0.27853,270,979,0.25043,0.30662
1992,No answer / don't know,At least once per week,0.58729,109,165,0.51194,0.66264
1992,No answer / don't know,At least once per month,0.28717,56,165,0.21792,0.35642
1992,Pre-primary Level,At least once per week,0.76055,138,138,0.68909,0.83201
1992,Primary Level,At least once per week,0.52252,361,624,0.48329,0.56174
1992,Primary Level,At least once per month,0.23557,153,624,0.20225,0.26890
1992,Primary Level,Seldom,0.15675,72,624,0.12820,0.18530
1992,Primary Level,Never,0.08516,38,624,0.06324,0.10708
1992,Lower Secondary Level,At least once per week,0.41918,1315,2759,0.40076,0.43759
1992,Lower Secondary Level,At least once per month,0.29393,773,2759,0.27693,0.31094
1992,Lower Secondary Level,Seldom,0.21477,518,2759,0.19944,0.23009
1992,Lower Secondary Level,Never,0.07212,153,2759,0.06247,0.08178
1992,Upper Secondary Level,At least once per week,0.36279,2422,6663,0.35124,0.37433
1992,Upper Secondary Level,At least once per month,0.38629,2565,6663,0.37460,0.39798
1992,Upper Secondary Level,Seldom,0.21468,1475,6663,0.20482,0.22454
1992,Upper Secondary Level,Never,0.03625,201,6663,0.03176,0.04073
1992,Post-secondary Non-tertiary Level,At least once per week,0.52447,201,372,0.47365,0.57528
1992,Post-secondary Non-tertiary Level,At least once per month,0.33569,118,372,0.28763,0.38374
1992,Post-secondary Non-tertiary Level,Seldom,0.12345,53,372,0.08997,0.15692
1992,First Stage of Tertiary Education,At least once per week,0.33264,233,740,0.29867,0.36661
1992,First Stage of Tertiary Education,At least once per month,0.39922,312,740,0.36391,0.43453
1992,First Stage of Tertiary Education,Seldom,0.23381,195,740,0.20329,0.26433
1992,Second Stage of Tertiary Education,At least once per week,0.36992,525,1630,0.34648,0.39337
1992,Second Stage of Tertiary Education,At least once per month,0.40709,684,1630,0.38323,0.43095
1992,Second Stage of Tertiary Education,Seldom,0.21040,421,1630,0.19060,0.23019
1994,No answer / don't know,At least once per week,0.53508,125,215,0.46825,0.60190
1994,No answer / don't know,At least once per month,0.30245,58,215,0.24091,0.36399
1994,No answer / don't know,Seldom,0.13659,32,215,0.09057,0.18260
1994,Pre-primary Level,At least once per week,0.77674,175,220,0.72159,0.83190
1994,Pre-primary Level,At least once per month,0.15827,45,220,0.10993,0.20661
1994,Primary Level,At least once per week,0.48458,292,528,0.44191,0.52725
1994,Primary Level,At least once per month,0.26494,154,528,0.22727,0.30262
1994,Primary Level,Seldom,0.18140,82,528,0.14850,0.21430
1994,Lower Secondary Level,At least once per week,0.37618,1078,2467,0.35706,0.39530
1994,Lower Secondary Level,At least once per month,0.32554,753,2467,0.30705,0.34404
1994,Lower Secondary Level,Seldom,0.23384,510,2467,0.21713,0.25055
1994,Lower Secondary Level,Never,0.06444,126,2467,0.05475,0.07413
1994,Upper Secondary Level,At least once per week,0.36113,2345,6540,0.34949,0.37277
1994,Upper Secondary Level,At least once per month,0.36408,2429,6540,0.35242,0.37574
1994,Upper Secondary Level,Seldom,0.24388,1581,6540,0.23347,0.25429
1994,Upper Secondary Level,Never,0.03091,185,6540,0.02671,0.03510
1994,Post-secondary Non-tertiary Level,At least once per week,0.54395,203,384,0.49407,0.59383
1994,Post-secondary Non-tertiary Level,At least once per month,0.28771,118,384,0.24237,0.33305
1994,Post-secondary Non-tertiary Level,Seldom,0.15978,63,384,0.12308,0.19648
1994,First Stage of Tertiary Education,At least once per week,0.28510,219,721,0.25212,0.31807
