,Unnamed: 0,year,quintil_oecd,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
69,69,1992,3rd Quintile,At least once per month,0.36024,905,13215,0.34531,0.37381
70,70,1992,3rd Quintile,Seldom,0.206,537,13215,0.19544,0.21642
71,71,1992,3rd Quintile,Never,0.03802,79,13215,0.03137,0.04449
72,72,1992,4th Quintile,At least once per week,0.43063,1175,13215,0.41196,0.4462
73,73,1992,4th Quintile,At least once per month,0.35877,925,13215,0.34533,0.37151
74,74,1992,4th Quintile,Seldom,0.18472,454,13215,0.17078,0.19562
75,75,1992,4th Quintile,Never,0.02588,64,13215,0.02075,0.03047
76,76,1992,5th Quintile,At least once per week,0.40738,1010,13215,0.39269,0.42566
77,77,1992,5th Quintile,At least once per month,0.38478,884,13215,0.37167,0.399
78,78,1992,5th Quintile,Seldom,0.1858,419,13215,0.17764,0.19622
79,79,1992,5th Quintile,Never,0.02204,54,13215,0.01807,0.02622
80,80,1994,1st Quintile,At least once per week,0.37032,961,12796,0.35083,0.39281
81,81,1994,1st Quintile,At least once per month,0.30745,759,12796,0.28971,0.32249
82,82,1994,1st Quintile,Seldom,0.25619,633,12796,0.2414,0.2711
83,83,1994,1st Quintile,Never,0.06604,141,12796,0.05748,0.07314
84,84,1994,2nd Quintile,At least once per week,0.35588,989,12796,0.33664,0.37429
85,85,1994,2nd Quintile,At least once per month,0.35275,945,12796,0.33649,0.36816
86,86,1994,2nd Quintile,Seldom,0.2516,668,12796,0.23831,0.2673
87,87,1994,2nd Quintile,Never,0.03978,85,12796,0.03443,0.04539
88,88,1994,3rd Quintile,At least once per week,0.37117,1015,12796,0.35161,0.38967
89,89,1994,3rd Quintile,At least once per month,0.35841,979,12796,0.34382,0.3749
90,90,1994,3rd Quintile,Seldom,0.24159,632,12796,0.23047,0.25547
91,91,1994,3rd Quintile,Never,0.02884,63,12796,0.02473,0.03427
92,92,1994,4th Quintile,At least once per week,0.37997,1005,12796,0.36356,0.3998
93,93,1994,4th Quintile,At least once per month,0.35026,913,12796,0.33726,0.36521
94,94,1994,4th Quintile,Seldom,0.239,548,12796,0.22482,0.25118
95,95,1994,4th Quintile,Never,0.03077,68,12796,0.02597,0.03612
96,96,1994,5th Quintile,At least once per week,0.38512,945,12796,0.36985,0.40285
97,97,1994,5th Quintile,At least once per month,0.39156,913,12796,0.37607,0.40866
98,98,1994,5th Quintile,Seldom,0.20472,489,12796,0.19175,0.2152
99,99,1994,5th Quintile,Never,0.01859,45,12796,0.01444,0.02192
100,100,1996,1st Quintile,At least once per week,0.45229,1187,12976,0.43071,0.4734
101,101,1996,1st Quintile,At least once per month,0.29924,761,12976,0.28173,0.31808
102,102,1996,1st Quintile,Seldom,0.20424,475,12976,0.19168,0.219
103,103,1996,1st Quintile,Never,0.04423,109,12976,0.03767,0.05185
104,104,1996,2nd Quintile,At least once per week,0.38968,1137,12976,0.37111,0.41134
105,105,1996,2nd Quintile,At least once per month,0.35865,968,12976,0.34247,0.37812
106,106,1996,2nd Quintile,Seldom,0.22405,560,12976,0.20908,0.23858
107,107,1996,2nd Quintile,Never,0.02761,55,12976,0.02215,0.03291
108,108,1996,3rd Quintile,At least once per week,0.41392,1117,12976,0.39697,0.431
109,109,1996,3rd Quintile,At least once per month,0.3507,950,12976,0.33465,0.36971
110,110,1996,3rd Quintile,Seldom,0.20869,533,12976,0.19478,0.22418
111,111,1996,3rd Quintile,Never,0.02668,50,12976,0.02134,0.03245
112,112,1996,4th Quintile,At least once per week,0.41848,1177,12976,0.40141,0.43666
113,113,1996,4th Quintile,At least once per month,0.38694,1010,12976,0.37189,0.40776
114,114,1996,4th Quintile,Seldom,0.18126,482,12976,0.17133,0.19461
115,115,1996,4th Quintile,Never,0.01332,34,12976,0.00986,0.01769
116,116,1996,5th Quintile,At least once per week,0.42357,1020,12976,0.40383,0.44061
117,117,1996,5th Quintile,At least once per month,0.39067,921,12976,0.37373,0.40667
118,118,1996,5th Quintile,Seldom,0.18576,430,12976,0.17248,0.19922
119,119,1997,1st Quintile,At least once per week,0.45551,1143,12763,0.43408,0.47971
120,120,1997,1st Quintile,At least once per month,0.28043,696,12763,0.26452,0.29682
121,121,1997,1st Quintile,Seldom,0.22238,449,12763,0.20589,0.24192
122,122,1997,1st Quintile,Never,0.04168,80,12763,0.03359,0.04824
123,123,1997,2nd Quintile,At least once per week,0.41547,1205,12763,0.39331,0.43745
124,124,1997,2nd Quintile,At least once per month,0.34574,974,12763,0.32982,0.36258
125,125,1997,2nd Quintile,Seldom,0.20134,510,12763,0.18743,0.21428
126,126,1997,2nd Quintile,Never,0.03745,68,12763,0.03166,0.04465
127,127,1997,3rd Quintile,At least once per week,0.42213,1106,12763,0.40324,0.43887
128,128,1997,3rd Quintile,At least once per month,0.34314,914,12763,0.32591,0.35994
129,129,1997,3rd Quintile,Seldom,0.2042,472,12763,0.18679,0.21863
130,130,1997,3rd Quintile,Never,0.03053,62,12763,0.0247,0.03725
