year,regtyp,sampreg,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,At least once per week,0.45787,4200,8613,0.44735,0.46840
1985,Urban regions,West,At least once per month,0.31379,2602,8613,0.30399,0.32359
1985,Urban regions,West,Seldom,0.18811,1492,8613,0.17985,0.19636
1985,Urban regions,West,Never,0.04023,319,8613,0.03608,0.04438
1985,Rural regions,West,At least once per week,0.41851,1021,2323,0.39845,0.43858
1985,Rural regions,West,At least once per month,0.30111,705,2323,0.28246,0.31977
1985,Rural regions,West,Seldom,0.23626,508,2323,0.21898,0.25354
1985,Rural regions,West,Never,0.04411,89,2323,0.03576,0.05247
1986,Urban regions,West,At least once per week,0.42012,3852,8321,0.40951,0.43072
1986,Urban regions,West,At least once per month,0.34387,2730,8321,0.33366,0.35407
1986,Urban regions,West,Seldom,0.19383,1429,8321,0.18533,0.20232
1986,Urban regions,West,Never,0.04219,310,8321,0.03787,0.04651
1986,Rural regions,West,At least once per week,0.37533,882,2226,0.35521,0.39544
1986,Rural regions,West,At least once per month,0.31966,723,2226,0.30028,0.33904
1986,Rural regions,West,Seldom,0.25626,531,2226,0.23812,0.27440
1986,Rural regions,West,Never,0.04875,90,2226,0.03980,0.05770
1988,Urban regions,West,At least once per week,0.44342,3886,7867,0.43245,0.45440
1988,Urban regions,West,At least once per month,0.33109,2461,7867,0.32069,0.34149
1988,Urban regions,West,Seldom,0.18511,1259,7867,0.17653,0.19369
1988,Urban regions,West,Never,0.04037,261,7867,0.03602,0.04472
1988,Rural regions,West,At least once per week,0.38849,878,2049,0.36738,0.40960
1988,Rural regions,West,At least once per month,0.33598,665,2049,0.31552,0.35644
1988,Rural regions,West,Seldom,0.22658,421,2049,0.20845,0.24471
1988,Rural regions,West,Never,0.04895,85,2049,0.03961,0.05830
1990,No answer / don't know,East,At least once per month,0.35937,32,32,0.19046,0.52828
1990,Urban regions,East,At least once per week,0.32372,456,1450,0.29963,0.34781
1990,Urban regions,East,At least once per month,0.35627,544,1450,0.33161,0.38092
1990,Urban regions,East,Seldom,0.27736,397,1450,0.25431,0.30041
1990,Urban regions,East,Never,0.04265,53,1450,0.03225,0.05306
1990,Rural regions,East,At least once per week,0.26989,767,2852,0.25359,0.28618
1990,Rural regions,East,At least once per month,0.35335,1046,2852,0.33580,0.37090
1990,Rural regions,East,Seldom,0.32237,905,2852,0.30521,0.33953
1990,Rural regions,East,Never,0.05439,134,2852,0.04607,0.06272
1992,No answer / don't know,East,At least once per week,0.34441,34,75,0.23614,0.45267
1992,No answer / don't know,East,At least once per month,0.36208,41,75,0.25258,0.47158
1992,Urban regions,West,At least once per week,0.44069,3590,7291,0.42929,0.45208
1992,Urban regions,West,At least once per month,0.35142,2391,7291,0.34046,0.36238
1992,Urban regions,West,Seldom,0.16952,1076,7291,0.16091,0.17813
1992,Urban regions,West,Never,0.03837,234,7291,0.03396,0.04278
1992,Urban regions,East,At least once per week,0.28092,335,1312,0.25659,0.30525
1992,Urban regions,East,At least once per month,0.40995,560,1312,0.38332,0.43657
1992,Urban regions,East,Seldom,0.26899,372,1312,0.24498,0.29299
1992,Urban regions,East,Never,0.04014,45,1312,0.02952,0.05077
1992,Rural regions,West,At least once per week,0.38116,806,1956,0.35963,0.40269
1992,Rural regions,West,At least once per month,0.34832,666,1956,0.32720,0.36944
1992,Rural regions,West,Seldom,0.22165,403,1956,0.20324,0.24007
1992,Rural regions,West,Never,0.04887,81,1956,0.03932,0.05843
1992,Rural regions,East,At least once per week,0.21449,536,2541,0.19852,0.23045
1992,Rural regions,East,At least once per month,0.39802,1023,2541,0.37898,0.41706
1992,Rural regions,East,Seldom,0.34544,894,2541,0.32695,0.36393
1992,Rural regions,East,Never,0.04205,88,2541,0.03425,0.04986
1994,Urban regions,West,At least once per week,0.42032,3336,7136,0.40887,0.43178
1994,Urban regions,West,At least once per month,0.34088,2330,7136,0.32988,0.35188
1994,Urban regions,West,Seldom,0.20868,1280,7136,0.19925,0.21811
1994,Urban regions,West,Never,0.03011,190,7136,0.02615,0.03408
1994,Urban regions,East,At least once per week,0.24828,303,1301,0.22479,0.27176
1994,Urban regions,East,At least once per month,0.40349,534,1301,0.37682,0.43016
1994,Urban regions,East,Seldom,0.30685,422,1301,0.28178,0.33192
1994,Urban regions,East,Never,0.04138,42,1301,0.03056,0.05221
1994,Rural regions,West,At least once per week,0.36962,757,1911,0.34797,0.39127
1994,Rural regions,West,At least once per month,0.35757,689,1911,0.33608,0.37907
1994,Rural regions,West,Seldom,0.23197,404,1911,0.21304,0.25090
1994,Rural regions,West,Never,0.04084,61,1911,0.03196,0.04971
1994,Rural regions,East,At least once per week,0.21708,523,2455,0.20077,0.23339
1994,Rural regions,East,At least once per month,0.38030,959,2455,0.36110,0.39951
1994,Rural regions,East,Seldom,0.34746,864,2455,0.32862,0.36630
1994,Rural regions,East,Never,0.05516,109,2455,0.04613,0.06419
1996,Urban regions,West,At least once per week,0.45483,3642,7278,0.44339,0.46627
1996,Urban regions,West,At least once per month,0.35198,2411,7278,0.34101,0.36295
1996,Urban regions,West,Seldom,0.16971,1073,7278,0.16108,0.17833
1996,Urban regions,West,Never,0.02348,152,7278,0.02000,0.02696
1996,Urban regions,East,At least once per week,0.32624,386,1204,0.29975,0.35274
