year,sampreg,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,At least once per week,0.44829,5221,10936,0.43897,0.45761
1985,West,At least once per month,0.31071,3307,10936,0.30203,0.31938
1985,West,Seldom,0.19983,2000,10936,0.19233,0.20732
1985,West,Never,0.04117,408,10936,0.03745,0.04490
1986,West,At least once per week,0.40936,4734,10547,0.39997,0.41874
1986,West,At least once per month,0.33805,3453,10547,0.32902,0.34708
1986,West,Seldom,0.20882,1960,10547,0.20106,0.21658
1986,West,Never,0.04377,400,10547,0.03986,0.04767
1988,West,At least once per week,0.43058,4764,9916,0.42083,0.44032
1988,West,At least once per month,0.33223,3126,9916,0.32296,0.34150
1988,West,Seldom,0.19481,1680,9916,0.18701,0.20260
1988,West,Never,0.04238,346,9916,0.03841,0.04635
1990,East,At least once per week,0.28911,1250,4388,0.27570,0.30253
1990,East,At least once per month,0.35446,1622,4388,0.34030,0.36861
1990,East,Seldom,0.30622,1326,4388,0.29258,0.31986
1990,East,Never,0.05021,190,4388,0.04375,0.05667
1992,West,At least once per week,0.42655,4399,9260,0.41647,0.43662
1992,West,At least once per month,0.35102,3065,9260,0.34130,0.36074
1992,West,Seldom,0.18166,1481,9260,0.17381,0.18952
1992,West,Never,0.04077,315,9260,0.03675,0.04480
1992,East,At least once per week,0.24119,905,3958,0.22786,0.25452
1992,East,At least once per month,0.40139,1624,3958,0.38611,0.41666
1992,East,Seldom,0.31671,1294,3958,0.30221,0.33120
1992,East,Never,0.04071,135,3958,0.03456,0.04687
1994,West,At least once per week,0.40882,4093,9047,0.39869,0.41895
1994,West,At least once per month,0.34467,3019,9047,0.33487,0.35446
1994,West,Seldom,0.21397,1684,9047,0.20551,0.22242
1994,West,Never,0.03255,251,9047,0.02889,0.03620
1994,East,At least once per week,0.22829,826,3756,0.21486,0.24171
1994,East,At least once per month,0.38863,1493,3756,0.37304,0.40422
1994,East,Seldom,0.33287,1286,3756,0.31780,0.34794
1994,East,Never,0.05021,151,3756,0.04323,0.05720
1996,West,At least once per week,0.44775,4578,9333,0.43766,0.45784
1996,West,At least once per month,0.34508,3091,9333,0.33544,0.35473
1996,West,Seldom,0.18223,1465,9333,0.17440,0.19006
1996,West,Never,0.02494,199,9333,0.02177,0.02810
1996,East,At least once per week,0.29374,1063,3673,0.27900,0.30847
1996,East,At least once per month,0.40850,1519,3673,0.39260,0.42440
1996,East,Seldom,0.27461,1018,3673,0.26018,0.28905
1996,East,Never,0.02315,73,3673,0.01829,0.02802
1997,West,At least once per week,0.46199,4622,9148,0.45177,0.47221
1997,West,At least once per month,0.32787,2943,9148,0.31825,0.33749
1997,West,Seldom,0.18415,1374,9148,0.17621,0.19210
1997,West,Never,0.02599,209,9148,0.02273,0.02925
1997,East,At least once per week,0.33077,1128,3616,0.31543,0.34611
