year,quintil_oecd,regtyp,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,At least once per week,0.47324,875,1716,0.44961,0.49687
1985,1st Quintile,Urban regions,At least once per month,0.25199,434,1716,0.23144,0.27254
1985,1st Quintile,Urban regions,Seldom,0.21500,317,1716,0.19555,0.23444
1985,1st Quintile,Urban regions,Never,0.05977,90,1716,0.04855,0.07099
1985,1st Quintile,Rural regions,At least once per week,0.34009,198,493,0.29823,0.38195
1985,1st Quintile,Rural regions,At least once per month,0.29560,155,493,0.25527,0.33592
1985,1st Quintile,Rural regions,Seldom,0.31164,140,493,0.27071,0.35256
1985,2nd Quintile,Urban regions,At least once per week,0.43751,782,1640,0.41349,0.46153
1985,2nd Quintile,Urban regions,At least once per month,0.29924,471,1640,0.27707,0.32141
1985,2nd Quintile,Urban regions,Seldom,0.21637,328,1640,0.19643,0.23630
1985,2nd Quintile,Urban regions,Never,0.04689,59,1640,0.03665,0.05712
1985,2nd Quintile,Rural regions,At least once per week,0.43767,222,473,0.39292,0.48243
1985,2nd Quintile,Rural regions,At least once per month,0.29703,140,473,0.25581,0.33826
1985,2nd Quintile,Rural regions,Seldom,0.22375,111,473,0.18615,0.26135
1985,3rd Quintile,Urban regions,At least once per week,0.44154,815,1722,0.41808,0.46500
1985,3rd Quintile,Urban regions,At least once per month,0.31997,528,1722,0.29793,0.34200
1985,3rd Quintile,Urban regions,Seldom,0.19296,304,1722,0.17432,0.21161
1985,3rd Quintile,Urban regions,Never,0.04553,75,1722,0.03568,0.05538
1985,3rd Quintile,Rural regions,At least once per week,0.42681,211,451,0.38111,0.47251
1985,3rd Quintile,Rural regions,At least once per month,0.28514,138,451,0.24343,0.32686
1985,3rd Quintile,Rural regions,Seldom,0.22651,102,451,0.18783,0.26518
1985,4th Quintile,Urban regions,At least once per week,0.47271,880,1798,0.44962,0.49579
1985,4th Quintile,Urban regions,At least once per month,0.32693,576,1798,0.30524,0.34862
1985,4th Quintile,Urban regions,Seldom,0.17054,289,1798,0.15315,0.18793
1985,4th Quintile,Urban regions,Never,0.02981,53,1798,0.02195,0.03768
1985,4th Quintile,Rural regions,At least once per week,0.45711,187,387,0.40742,0.50681
1985,4th Quintile,Rural regions,At least once per month,0.32037,127,387,0.27382,0.36692
