year,pgisced97,quintil_oecd,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,3rd Quintile,At least once per week,0.83893,36,36,0.71714,0.96071
1985,Pre-primary Level,4th Quintile,At least once per week,0.90544,34,34,0.80560,1.00527
1985,Primary Level,1st Quintile,At least once per week,0.41542,150,288,0.35841,0.47243
1985,Primary Level,1st Quintile,At least once per month,0.24378,80,288,0.19411,0.29346
1985,Primary Level,1st Quintile,Seldom,0.25788,58,288,0.20727,0.30849
1985,Primary Level,2nd Quintile,At least once per week,0.40850,83,175,0.33546,0.48154
1985,Primary Level,2nd Quintile,At least once per month,0.21613,49,175,0.15497,0.27729
1985,Primary Level,2nd Quintile,Seldom,0.35349,43,175,0.28246,0.42452
1985,Primary Level,3rd Quintile,At least once per week,0.53750,78,119,0.44754,0.62747
1985,Primary Level,3rd Quintile,At least once per month,0.18403,41,119,0.11411,0.25395
1985,Primary Level,4th Quintile,At least once per week,0.52210,67,100,0.42370,0.62050
1985,Primary Level,4th Quintile,At least once per month,0.19689,33,100,0.11856,0.27523
1985,Primary Level,5th Quintile,At least once per week,0.68435,40,40,0.53848,0.83022
1985,Lower Secondary Level,1st Quintile,At least once per week,0.41385,395,839,0.38050,0.44719
1985,Lower Secondary Level,1st Quintile,At least once per month,0.27531,224,839,0.24507,0.30555
1985,Lower Secondary Level,1st Quintile,Seldom,0.24158,174,839,0.21260,0.27056
1985,Lower Secondary Level,1st Quintile,Never,0.06926,46,839,0.05207,0.08645
1985,Lower Secondary Level,2nd Quintile,At least once per week,0.42873,330,709,0.39227,0.46518
1985,Lower Secondary Level,2nd Quintile,At least once per month,0.28391,194,709,0.25070,0.31713
1985,Lower Secondary Level,2nd Quintile,Seldom,0.23117,153,709,0.20012,0.26222
1985,Lower Secondary Level,2nd Quintile,Never,0.05619,32,709,0.03923,0.07315
1985,Lower Secondary Level,3rd Quintile,At least once per week,0.41326,306,661,0.37569,0.45083
1985,Lower Secondary Level,3rd Quintile,At least once per month,0.29580,188,661,0.26098,0.33062
1985,Lower Secondary Level,3rd Quintile,Seldom,0.21203,124,661,0.18085,0.24322
