year,regtyp,sex,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,At least once per week,0.45716,2112,4235,0.44215,0.47216
1985,Urban regions,male,At least once per month,0.30991,1241,4235,0.29598,0.32384
1985,Urban regions,male,Seldom,0.19871,748,4235,0.18669,0.21073
1985,Urban regions,male,Never,0.03422,134,4235,0.02875,0.03970
1985,Urban regions,female,At least once per week,0.45851,2088,4378,0.44375,0.47327
1985,Urban regions,female,At least once per month,0.31724,1361,4378,0.30345,0.33103
1985,Urban regions,female,Seldom,0.17871,744,4378,0.16736,0.19006
1985,Urban regions,female,Never,0.04555,185,4378,0.03937,0.05172
1985,Rural regions,male,At least once per week,0.42823,513,1136,0.39945,0.45702
1985,Rural regions,male,At least once per month,0.29783,344,1136,0.27122,0.32443
1985,Rural regions,male,Seldom,0.24048,246,1136,0.21562,0.26535
1985,Rural regions,male,Never,0.03346,33,1136,0.02299,0.04392
1985,Rural regions,female,At least once per week,0.40983,508,1187,0.38184,0.43782
1985,Rural regions,female,At least once per month,0.30405,361,1187,0.27787,0.33023
1985,Rural regions,female,Seldom,0.23248,262,1187,0.20844,0.25652
1985,Rural regions,female,Never,0.05364,56,1187,0.04082,0.06646
1986,Urban regions,male,At least once per week,0.41962,1956,4121,0.40455,0.43469
1986,Urban regions,male,At least once per month,0.34301,1317,4121,0.32851,0.35751
1986,Urban regions,male,Seldom,0.19139,685,4121,0.17938,0.20340
1986,Urban regions,male,Never,0.04597,163,4121,0.03958,0.05237
1986,Urban regions,female,At least once per week,0.42056,1896,4200,0.40562,0.43549
1986,Urban regions,female,At least once per month,0.34463,1413,4200,0.33026,0.35901
1986,Urban regions,female,Seldom,0.19600,744,4200,0.18400,0.20801
1986,Urban regions,female,Never,0.03881,147,4200,0.03297,0.04465
1986,Rural regions,male,At least once per week,0.38936,449,1089,0.36039,0.41834
1986,Rural regions,male,At least once per month,0.32173,353,1089,0.29397,0.34949
1986,Rural regions,male,Seldom,0.24517,248,1089,0.21960,0.27073
1986,Rural regions,male,Never,0.04374,39,1089,0.03159,0.05590
1986,Rural regions,female,At least once per week,0.36275,433,1137,0.33479,0.39071
1986,Rural regions,female,At least once per month,0.31781,370,1137,0.29073,0.34488
1986,Rural regions,female,Seldom,0.26621,283,1137,0.24050,0.29191
1986,Rural regions,female,Never,0.05324,51,1137,0.04018,0.06630
1988,Urban regions,male,At least once per week,0.44710,1974,3896,0.43149,0.46272
