year,age_gr,pgisced97,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No answer / don't know,At least once per week,0.74894,39,39,0.61107,0.88681
1985,17-29 y.,Pre-primary Level,At least once per week,0.77948,144,144,0.71152,0.84743
1985,17-29 y.,Primary Level,At least once per week,0.48061,85,152,0.40091,0.56030
1985,17-29 y.,Primary Level,At least once per month,0.17821,35,152,0.11717,0.23925
1985,17-29 y.,Primary Level,Seldom,0.27010,32,152,0.19928,0.34092
1985,17-29 y.,Lower Secondary Level,At least once per week,0.70556,657,942,0.67644,0.73468
1985,17-29 y.,Lower Secondary Level,At least once per month,0.17785,181,942,0.15342,0.20228
1985,17-29 y.,Lower Secondary Level,Seldom,0.11092,104,942,0.09085,0.13098
1985,17-29 y.,Upper Secondary Level,At least once per week,0.66263,944,1403,0.63788,0.68738
1985,17-29 y.,Upper Secondary Level,At least once per month,0.23691,330,1403,0.21466,0.25917
1985,17-29 y.,Upper Secondary Level,Seldom,0.08803,129,1403,0.07320,0.10287
1985,17-29 y.,Post-secondary Non-tertiary Level,At least once per week,0.72877,75,75,0.62747,0.83007
1985,17-29 y.,First Stage of Tertiary Education,At least once per week,0.69688,74,74,0.59145,0.80232
1985,17-29 y.,Second Stage of Tertiary Education,At least once per week,0.75570,87,87,0.66489,0.84651
1985,30-45 y.,Primary Level,At least once per week,0.49554,168,298,0.43867,0.55240
1985,30-45 y.,Primary Level,At least once per month,0.22700,80,298,0.17936,0.27464
1985,30-45 y.,Primary Level,Seldom,0.21870,50,298,0.17169,0.26571
1985,30-45 y.,Lower Secondary Level,At least once per week,0.38888,309,648,0.35131,0.42644
1985,30-45 y.,Lower Secondary Level,At least once per month,0.34534,218,648,0.30870,0.38197
1985,30-45 y.,Lower Secondary Level,Seldom,0.22714,121,648,0.19485,0.25942
1985,30-45 y.,Upper Secondary Level,At least once per week,0.39037,730,1754,0.36753,0.41320
1985,30-45 y.,Upper Secondary Level,At least once per month,0.37598,637,1754,0.35331,0.39866
1985,30-45 y.,Upper Secondary Level,Seldom,0.20984,341,1754,0.19078,0.22890
1985,30-45 y.,Upper Secondary Level,Never,0.02381,46,1754,0.01667,0.03095
1985,30-45 y.,Post-secondary Non-tertiary Level,At least once per week,0.62466,54,54,0.49429,0.75502
1985,30-45 y.,First Stage of Tertiary Education,At least once per week,0.45326,104,231,0.38892,0.51759
1985,30-45 y.,First Stage of Tertiary Education,At least once per month,0.35065,83,231,0.28898,0.41232
1985,30-45 y.,First Stage of Tertiary Education,Seldom,0.19161,44,231,0.14075,0.24248
1985,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.47093,177,357,0.41908,0.52278
1985,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.42575,148,357,0.37439,0.47712
1985,30-45 y.,Second Stage of Tertiary Education,Seldom,0.09846,32,357,0.06751,0.12941
1985,46-65 y.,Primary Level,At least once per week,0.44859,162,315,0.39358,0.50361
1985,46-65 y.,Primary Level,At least once per month,0.26842,98,315,0.21940,0.31743
1985,46-65 y.,Primary Level,Seldom,0.20902,55,315,0.16405,0.25400
1985,46-65 y.,Lower Secondary Level,At least once per week,0.29407,310,987,0.26563,0.32251
1985,46-65 y.,Lower Secondary Level,At least once per month,0.36672,357,987,0.33664,0.39680
1985,46-65 y.,Lower Secondary Level,Seldom,0.27962,264,987,0.25160,0.30763
1985,46-65 y.,Lower Secondary Level,Never,0.05960,56,987,0.04482,0.07437
1985,46-65 y.,Upper Secondary Level,At least once per week,0.33424,518,1466,0.31008,0.35840
1985,46-65 y.,Upper Secondary Level,At least once per month,0.38405,547,1466,0.35914,0.40895
1985,46-65 y.,Upper Secondary Level,Seldom,0.23853,344,1466,0.21671,0.26036
1985,46-65 y.,Upper Secondary Level,Never,0.04318,57,1466,0.03277,0.05359
1985,46-65 y.,First Stage of Tertiary Education,At least once per week,0.30248,61,185,0.23611,0.36885
1985,46-65 y.,First Stage of Tertiary Education,At least once per month,0.42010,79,185,0.34878,0.49142
1985,46-65 y.,First Stage of Tertiary Education,Seldom,0.23197,45,185,0.17098,0.29295
1985,46-65 y.,Second Stage of Tertiary Education,At least once per week,0.37944,82,210,0.31365,0.44523
1985,46-65 y.,Second Stage of Tertiary Education,At least once per month,0.35531,75,210,0.29042,0.42020
1985,46-65 y.,Second Stage of Tertiary Education,Seldom,0.23558,53,210,0.17805,0.29312
1985,66 and older,Lower Secondary Level,At least once per week,0.35187,140,418,0.30603,0.39770
1985,66 and older,Lower Secondary Level,At least once per month,0.27620,112,418,0.23329,0.31912
1985,66 and older,Lower Secondary Level,Seldom,0.23716,108,418,0.19633,0.27798
1985,66 and older,Lower Secondary Level,Never,0.13478,58,418,0.10200,0.16755
1985,66 and older,Upper Secondary Level,At least once per week,0.38370,185,505,0.34124,0.42615
1985,66 and older,Upper Secondary Level,At least once per month,0.25889,136,505,0.22065,0.29713
1985,66 and older,Upper Secondary Level,Seldom,0.27816,140,505,0.23904,0.31728
1985,66 and older,Upper Secondary Level,Never,0.07925,44,505,0.05567,0.10284
1986,17-29 y.,No answer / don't know,At least once per week,0.74715,44,44,0.61724,0.87707
1986,17-29 y.,Pre-primary Level,At least once per week,0.72861,135,169,0.66136,0.79585
1986,17-29 y.,Pre-primary Level,At least once per month,0.18630,34,169,0.12742,0.24518
1986,17-29 y.,Primary Level,At least once per week,0.44626,87,119,0.35657,0.53596
1986,17-29 y.,Primary Level,At least once per month,0.22389,32,119,0.14867,0.29910
1986,17-29 y.,Lower Secondary Level,At least once per week,0.66276,637,922,0.63222,0.69329
1986,17-29 y.,Lower Secondary Level,At least once per month,0.20302,190,922,0.17704,0.22900
1986,17-29 y.,Lower Secondary Level,Seldom,0.10804,95,922,0.08800,0.12809
1986,17-29 y.,Upper Secondary Level,At least once per week,0.66818,932,1376,0.64329,0.69307
1986,17-29 y.,Upper Secondary Level,At least once per month,0.23490,326,1376,0.21249,0.25731
1986,17-29 y.,Upper Secondary Level,Seldom,0.08787,118,1376,0.07290,0.10283
1986,17-29 y.,Post-secondary Non-tertiary Level,At least once per week,0.77456,78,78,0.68122,0.86790
1986,17-29 y.,First Stage of Tertiary Education,At least once per week,0.63357,62,62,0.51265,0.75449
1986,17-29 y.,Second Stage of Tertiary Education,At least once per week,0.75930,67,67,0.65616,0.86244
1986,30-45 y.,Primary Level,At least once per week,0.45673,137,267,0.39687,0.51659
1986,30-45 y.,Primary Level,At least once per month,0.27095,84,267,0.21754,0.32436
1986,30-45 y.,Primary Level,Seldom,0.17641,46,267,0.13060,0.22222
1986,30-45 y.,Lower Secondary Level,At least once per week,0.36637,257,598,0.32772,0.40502
1986,30-45 y.,Lower Secondary Level,At least once per month,0.36981,228,598,0.33108,0.40853
1986,30-45 y.,Lower Secondary Level,Seldom,0.22552,113,598,0.19200,0.25905
1986,30-45 y.,Upper Secondary Level,At least once per week,0.36382,639,1655,0.34063,0.38700
1986,30-45 y.,Upper Secondary Level,At least once per month,0.40590,659,1655,0.38223,0.42956
1986,30-45 y.,Upper Secondary Level,Seldom,0.20719,318,1655,0.18766,0.22672
1986,30-45 y.,Upper Secondary Level,Never,0.02310,39,1655,0.01586,0.03034
1986,30-45 y.,Post-secondary Non-tertiary Level,At least once per week,0.44167,45,81,0.33286,0.55049
1986,30-45 y.,Post-secondary Non-tertiary Level,At least once per month,0.43949,36,81,0.33073,0.54825
1986,30-45 y.,First Stage of Tertiary Education,At least once per week,0.43552,94,213,0.36878,0.50227
1986,30-45 y.,First Stage of Tertiary Education,At least once per month,0.36154,79,213,0.29687,0.42622
1986,30-45 y.,First Stage of Tertiary Education,Seldom,0.19287,40,213,0.13976,0.24598
1986,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.46672,180,372,0.41595,0.51748
1986,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.40875,149,372,0.35873,0.45878
1986,30-45 y.,Second Stage of Tertiary Education,Seldom,0.12097,43,372,0.08779,0.15416
1986,46-65 y.,Primary Level,At least once per week,0.54272,181,303,0.48653,0.59890
1986,46-65 y.,Primary Level,At least once per month,0.26053,86,303,0.21103,0.31004
1986,46-65 y.,Primary Level,Seldom,0.13889,36,303,0.09988,0.17789
1986,46-65 y.,Lower Secondary Level,At least once per week,0.24415,269,941,0.21668,0.27161
1986,46-65 y.,Lower Secondary Level,At least once per month,0.38171,353,941,0.35065,0.41276
1986,46-65 y.,Lower Secondary Level,Seldom,0.32367,274,941,0.29376,0.35358
1986,46-65 y.,Lower Secondary Level,Never,0.05047,45,941,0.03648,0.06447
1986,46-65 y.,Upper Secondary Level,At least once per week,0.27559,427,1458,0.25265,0.29854
1986,46-65 y.,Upper Secondary Level,At least once per month,0.40387,580,1458,0.37867,0.42906
1986,46-65 y.,Upper Secondary Level,Seldom,0.27246,385,1458,0.24960,0.29532
1986,46-65 y.,Upper Secondary Level,Never,0.04808,66,1458,0.03709,0.05906
1986,46-65 y.,First Stage of Tertiary Education,At least once per week,0.21764,40,184,0.15786,0.27743
1986,46-65 y.,First Stage of Tertiary Education,At least once per month,0.45723,91,184,0.38505,0.52941
1986,46-65 y.,First Stage of Tertiary Education,Seldom,0.28674,53,184,0.22122,0.35227
1986,46-65 y.,Second Stage of Tertiary Education,At least once per week,0.32750,77,222,0.26562,0.38937
1986,46-65 y.,Second Stage of Tertiary Education,At least once per month,0.40335,88,222,0.33868,0.46803
1986,46-65 y.,Second Stage of Tertiary Education,Seldom,0.26254,57,222,0.20453,0.32055
1986,66 and older,Lower Secondary Level,At least once per week,0.31703,117,391,0.27085,0.36321
1986,66 and older,Lower Secondary Level,At least once per month,0.26992,105,391,0.22586,0.31398
1986,66 and older,Lower Secondary Level,Seldom,0.28619,116,391,0.24133,0.33104
1986,66 and older,Lower Secondary Level,Never,0.12686,53,391,0.09383,0.15989
1986,66 and older,Upper Secondary Level,At least once per week,0.30655,137,471,0.26487,0.34823
1986,66 and older,Upper Secondary Level,At least once per month,0.33895,162,471,0.29616,0.38175
1986,66 and older,Upper Secondary Level,Seldom,0.25035,124,471,0.21119,0.28952
1986,66 and older,Upper Secondary Level,Never,0.10414,48,471,0.07653,0.13176
1986,66 and older,First Stage of Tertiary Education,At least once per month,0.45223,35,35,0.28493,0.61953
1988,17-29 y.,No answer / don't know,At least once per week,0.71162,64,64,0.59976,0.82349
1988,17-29 y.,Pre-primary Level,At least once per week,0.72483,121,121,0.64492,0.80474
1988,17-29 y.,Primary Level,At least once per week,0.48828,75,75,0.37439,0.60218
1988,17-29 y.,Lower Secondary Level,At least once per week,0.69268,649,896,0.66245,0.72291
1988,17-29 y.,Lower Secondary Level,At least once per month,0.18719,163,896,0.16164,0.21275
1988,17-29 y.,Lower Secondary Level,Seldom,0.10423,84,896,0.08422,0.12425
1988,17-29 y.,Upper Secondary Level,At least once per week,0.68436,892,1293,0.65902,0.70971
1988,17-29 y.,Upper Secondary Level,At least once per month,0.21671,300,1293,0.19424,0.23917
1988,17-29 y.,Upper Secondary Level,Seldom,0.08521,101,1293,0.06998,0.10043
1988,17-29 y.,Post-secondary Non-tertiary Level,At least once per week,0.76725,80,80,0.67406,0.86044
1988,17-29 y.,First Stage of Tertiary Education,At least once per week,0.61612,48,48,0.47708,0.75516
1988,17-29 y.,Second Stage of Tertiary Education,At least once per week,0.74994,55,55,0.63444,0.86545
1988,30-45 y.,Primary Level,At least once per week,0.46281,128,197,0.39301,0.53262
1988,30-45 y.,Primary Level,At least once per month,0.33200,69,197,0.26607,0.39793
1988,30-45 y.,Lower Secondary Level,At least once per week,0.44511,264,516,0.40218,0.48803
1988,30-45 y.,Lower Secondary Level,At least once per month,0.31568,171,516,0.27554,0.35582
1988,30-45 y.,Lower Secondary Level,Seldom,0.21065,81,516,0.17543,0.24587
1988,30-45 y.,Upper Secondary Level,At least once per week,0.39183,616,1475,0.36691,0.41675
1988,30-45 y.,Upper Secondary Level,At least once per month,0.41188,596,1475,0.38675,0.43700
1988,30-45 y.,Upper Secondary Level,Seldom,0.18385,263,1475,0.16407,0.20362
1988,30-45 y.,Post-secondary Non-tertiary Level,At least once per week,0.57322,54,54,0.44006,0.70639
1988,30-45 y.,First Stage of Tertiary Education,At least once per week,0.47269,98,209,0.40484,0.54054
1988,30-45 y.,First Stage of Tertiary Education,At least once per month,0.37024,78,209,0.30462,0.43587
1988,30-45 y.,First Stage of Tertiary Education,Seldom,0.15203,33,209,0.10323,0.20082
1988,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.57085,193,340,0.51816,0.62354
1988,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.32957,110,340,0.27953,0.37961
1988,30-45 y.,Second Stage of Tertiary Education,Seldom,0.09537,37,340,0.06410,0.12664
1988,46-65 y.,Primary Level,At least once per week,0.61227,193,295,0.55658,0.66797
1988,46-65 y.,Primary Level,At least once per month,0.19350,68,295,0.14834,0.23865
1988,46-65 y.,Primary Level,Seldom,0.13390,34,295,0.09497,0.17283
1988,46-65 y.,Lower Secondary Level,At least once per week,0.28148,290,882,0.25178,0.31117
1988,46-65 y.,Lower Secondary Level,At least once per month,0.37983,324,882,0.34778,0.41188
