year,sampreg,sex,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,West,male,At least once per week,0.4501365321551221,2625,10936,0.44993554424485754,0.4503375200653867
1985,West,male,At least once per month,0.30690740527213795,1585,10936,0.3067210808924484,0.3070937296518275
1985,West,male,Seldom,0.20892082374270324,994,10936,0.20875658666383945,0.20908506082156703
1985,West,male,Never,0.03403523883003665,167,10936,0.0339619875169945,0.034108490143078804
1985,West,female,At least once per week,0.446681873580877,2596,10936,0.4464926171764722,0.44687112998528183
1985,West,female,At least once per month,0.3140281808748398,1722,10936,0.31385149516711713,0.31420486658256247
1985,West,female,Seldom,0.191777908041187,1006,10936,0.1916280332404924,0.19192778284188158
1985,West,female,Never,0.04751203750309612,241,10936,0.04743105418874151,0.04759302081745073
1986,West,male,At least once per week,0.4123224443331596,2405,10547,0.41212448423097736,0.4125204044353419
1986,West,male,At least once per month,0.33791618181313043,1670,10547,0.3377259642513607,0.33810639937490017
1986,West,male,Seldom,0.20430268284034386,933,10547,0.2041405389418183,0.20446482673886943
1986,West,male,Never,0.04545869101336603,202,10547,0.04537491967460941,0.045542462352122656
1986,West,female,At least once per week,0.4066365081650341,2329,10547,0.4064495536473963,0.4068234626826719
1986,West,female,At least once per month,0.33822876501873567,1783,10547,0.33804869907464696,0.33840883096282437
1986,West,female,Seldom,0.21284563127669356,1027,10547,0.21268984302811655,0.21300141952527057
1986,West,female,Never,0.042289095539536616,198,10547,0.04221249994632034,0.04236569113275289
1988,West,male,At least once per week,0.43273850703080347,2414,9916,0.43253999301248164,0.4329370210491253
1988,West,male,At least once per month,0.3341962415468859,1513,9916,0.33400724204510973,0.334385241048662
1988,West,male,Seldom,0.1973982133898564,827,9916,0.19723873258186,0.19755769419785277
1988,West,male,Never,0.03566703803245427,148,9916,0.03559273033816443,0.0357413457267441
1988,West,female,At least once per week,0.4286335003263651,2350,9916,0.4284445785942511,0.4288224220584791
1988,West,female,At least once per month,0.3304105540409852,1613,9916,0.33023099274464013,0.33059011533733024
1988,West,female,Seldom,0.19244688871382684,853,9916,0.19229639357526515,0.19259738385238853
