year,pli0094_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1985,At least once per week,0.47741404535479154,14443,0.46926786861836856,0.4855602220912145
1985,At least once per month,0.30239575713240674,14443,0.29490510258059244,0.30988641168422104
1985,Seldom,0.182882223847842,14443,0.17657765426920174,0.18918679342648226
1985,Never,0.03730797366495977,14443,0.03421716668846758,0.040398780641451956
1986,At least once per week,0.4488480136531715,13742,0.4405319761059783,0.45716405120036474
1986,At least once per month,0.3273916753579217,13742,0.31954571635530765,0.3352376343605357
1986,Seldom,0.18583483455010905,13742,0.1793312780079185,0.19233839109229958
1986,Never,0.03792547643879776,13742,0.03473172598568096,0.041119226891914565
1988,At least once per week,0.48043565954013717,12817,0.4717859770724313,0.48908534200784304
1988,At least once per month,0.3152480839048003,12817,0.3072043863047594,0.3232917815048412
1988,Seldom,0.16942315449778136,12817,0.16292875244961247,0.17591755654595026
1988,Never,0.03489310205728116,12817,0.031716078907447647,0.038070125207114676
1990,At least once per month,0.36964448495897906,18165,0.3626247087957334,0.37666426112222473
1990,Seldom,0.30218778486782133,18165,0.2955097896061141,0.30886578012952853
1990,At least once per week,0.28486782133090244,18165,0.27830405325216684,0.29143158940963804
1990,Never,0.043299908842297175,18165,0.040340058388267735,0.046259759296326614
1992,At least once per week,0.40127099409895595,17350,0.39397742058106766,0.40856456761684423
1992,At least once per month,0.35474353154788923,17350,0.3476243550864137,0.36186270800936476
1992,Seldom,0.20994098955969134,17350,0.20388082081812386,0.21600115830125882
1992,Never,0.03404448479346346,17350,0.0313460726777057,0.03674289690922122
1994,At least once per week,0.3842068265250332,16642,0.37681667596982255,0.3915969770802438
1994,At least once per month,0.3524174021713661,16642,0.34515919149103647,0.3596756128516957
1994,Seldom,0.2319768804186519,16642,0.2255638572152862,0.23838990362201756
1994,Never,0.03139889088494884,16642,0.02874927482593877,0.03404850694395892
1996,At least once per week,0.4337228971244041,16862,0.42624254219831553,0.44120325205049266
1996,At least once per month,0.354451791480855,16862,0.34723167079671585,0.3616719121649941
1996,Seldom,0.190911886821467,16862,0.18497968491408856,0.19684408872884546
1996,Never,0.020913424573273873,16862,0.01875356928562979,0.023073279860917957
1997,At least once per week,0.45048574114697587,16487,0.44289096006404616,0.4580805222299056
1997,At least once per month,0.34589470385459103,16487,0.3386339612469332,0.3531554464622489
1997,Seldom,0.1811344406142275,16487,0.17525559476933314,0.18701328645912188
1997,Never,0.022485114384205578,16487,0.020222062594903785,0.02474816617350737
1999,At least once per week,0.4127193948740545,17396,0.40540326106083197,0.42003552868727706
1999,At least once per month,0.3596974370272454,17396,0.3525657436345328,0.36682913041995796
1999,Seldom,0.20635969743702726,17396,0.20034580480707573,0.21237359006697878
1999,Never,0.02122347066167291,17396,0.01908165866002847,0.023365282663317347
2001,At least once per week,0.43839699206749505,27798,0.43256391396470645,0.44423007017028365
2001,At least once per month,0.3502223852537943,27798,0.3446144418810855,0.3558303286265031
2001,Seldom,0.1801549818882113,27798,0.17563706419014108,0.18467289958628152
2001,Never,0.031225640790499335,27798,0.029181003423033043,0.03327027815796563
2005,At least once per week,0.4352889794729946,25520,0.42920598104937285,0.44137197789661636
2005,At least once per month,0.3520163051390304,25520,0.34615655409122625,0.3578760561868346
2005,Seldom,0.18877080603678362,25520,0.18396954921615763,0.1935720628574096
2005,Never,0.023923909351191344,25520,0.02204902861105892,0.025798790091323767
2007,At least once per week,0.42970549321311313,25385,0.42361570015948413,0.43579528626674213
2007,At least once per month,0.36781496545303083,25385,0.36188292245038867,0.373747008455673
2007,Seldom,0.17547900230313127,25385,0.17079970191350255,0.18015830269275998
2007,Never,0.02700053903072475,25385,0.02500660858608651,0.02899446947536299
2009,At least once per week,0.4051219103944652,21983,0.3986322877544193,0.41161153303451115
2009,At least once per month,0.3829158065056073,21983,0.3764898697107145,0.3893417433005001
2009,Seldom,0.19014673882720526,21983,0.18495921386250863,0.19533426379190189
2009,Never,0.0218155442727222,21983,0.019884438792580145,0.02374664975286426
2011,At least once per week,0.43697835620314046,41903,0.43222909537667664,0.4417276170296043
2011,At least once per month,0.3556726552553402,41903,0.3510889990844796,0.3602563114262008
2011,Seldom,0.17742962229452539,41903,0.17377171150307916,0.1810875330859716
2011,Never,0.029919366246993918,41903,0.0282881421617757,0.031550590332212136
2015,At least once per week,0.43604520619714093,38036,0.4310615674188339,0.441028844975448
2015,At least once per month,0.35996557143926355,38036,0.35514175467423037,0.36478938820429674
2015,Seldom,0.1730035177007709,38036,0.16920216689584408,0.17680486850569774
2015,Never,0.030985704662824638,38036,0.029244281035635433,0.03272712829001384
2017,At least once per week,0.44878711283811823,45410,0.4442124384209509,0.4533617872552856
2017,At least once per month,0.35583053533029013,45410,0.3514269948346051,0.36023407582597516
2017,Seldom,0.1705587203380239,45410,0.16709924604581003,0.1740181946302378
2017,Never,0.024823631493567738,45410,0.023392582302862445,0.02625468068427303
