year,pli0094_h,bula_h,sampreg,proportion,n,lower_confidence,upper_confidence
1985,At least once per week,North Rhine-Westphalia,West,0.28335324571883713,14443,0.2760039786329943,0.29070251280467996
1985,At least once per week,Baden-Wuerttemberg,West,0.19553962564715252,14443,0.18907122243953925,0.2020080288547658
1985,At least once per week,Bavaria,West,0.17622461170848266,14443,0.1700107003585126,0.18243852305845273
1985,At least once per week,Hesse,West,0.10533651931501394,14443,0.10032987541985314,0.11034316321017473
1985,At least once per week,Lower Saxony,West,0.08761449621664676,14443,0.08300339624587953,0.09222559618741398
1985,At least once per week,"Rhineland-Palatinate, Saarland",West,0.061927518916766226,14443,0.0579966604775608,0.06585837735597165
1985,At least once per week,Hamburg,West,0.028275587415372363,14443,0.025572222080542592,0.030978952750202134
1985,At least once per week,Berlin,West,0.028275587415372363,14443,0.025572222080542592,0.030978952750202134
1985,At least once per week,Schleswig-Holstein,West,0.025487853444842692,14443,0.02291753090499788,0.028058175984687503
1985,At least once per week,Bremen,West,0.00796495420151334,14443,0.006515239595060233,0.009414668807966448
1985,At least once per month,North Rhine-Westphalia,West,0.28161270616982287,14443,0.2742771540037214,0.28894825833592436
1985,At least once per month,Baden-Wuerttemberg,West,0.1670739156994502,14443,0.1609899756936023,0.17315785570529812
1985,At least once per month,Bavaria,West,0.15455100794135615,14443,0.14865569325923636,0.16044632262347594
1985,At least once per month,Lower Saxony,West,0.11392791692119732,14443,0.10874616077786305,0.11910967306453159
1985,At least once per month,Hesse,West,0.09407452657299939,14443,0.08931340115058069,0.09883565199541809
1985,At least once per month,"Rhineland-Palatinate, Saarland",West,0.07574832009773977,14443,0.07143303997410475,0.08006360022137479
1985,At least once per month,Berlin,West,0.039401343921808184,14443,0.03622846228871452,0.04257422555490185
1985,At least once per month,Schleswig-Holstein,West,0.03726328649969456,14443,0.03417425945642537,0.04035231354296376
1985,At least once per month,Hamburg,West,0.023824068417837508,14443,0.021336933313589376,0.02631120352208564
1985,At least once per month,Bremen,West,0.012522907758094075,14443,0.010709299555622314,0.014336515960565836
1985,Seldom,North Rhine-Westphalia,West,0.2365482233502538,14443,0.2296175087399207,0.2434789379605869
1985,Seldom,Bavaria,West,0.18984771573604062,14443,0.18345164314306017,0.19624378832902106
1985,Seldom,Baden-Wuerttemberg,West,0.1883248730964467,14443,0.18194852047365415,0.19470122571923923
