year,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,At least once per week,0.08263,1098,9396,0.07706,0.08820
1990,At least once per month,0.08056,1052,9396,0.07506,0.08607
1990,Seldom,0.19202,2561,9396,0.18406,0.19999
1990,Never,0.30202,4685,9396,0.29273,0.31130
1995,At least once per week,0.09926,1430,13202,0.09416,0.10436
1995,At least once per month,0.07195,1089,13202,0.06754,0.07636
1995,Seldom,0.23336,3785,13202,0.22614,0.24057
1995,Never,0.41065,6898,13202,0.40226,0.41904
1998,At least once per week,0.09065,1417,14114,0.08592,0.09539
1998,At least once per month,0.06914,1150,14114,0.06495,0.07332
1998,Seldom,0.21836,3772,14114,0.21155,0.22518
1998,Never,0.43820,7775,14114,0.43001,0.44638
2001,At least once per week,0.07007,1871,21677,0.06667,0.07346
2001,At least once per month,0.05064,1290,21677,0.04772,0.05356
2001,Seldom,0.18214,4959,21677,0.17700,0.18728
2001,Never,0.51397,13557,21677,0.50732,0.52062
2003,At least once per week,0.09274,2745,22011,0.08891,0.09657
2003,At least once per month,0.07013,1965,22011,0.06675,0.07350
2003,Seldom,0.20368,5630,22011,0.19836,0.20900
2003,Never,0.45890,11671,22011,0.45232,0.46548
2005,At least once per week,0.07355,1996,20513,0.06998,0.07712
2005,At least once per month,0.05727,1552,20513,0.05409,0.06045
2005,Seldom,0.22720,5800,20513,0.22147,0.23294
2005,Never,0.47334,11165,20513,0.46650,0.48017
2007,At least once per week,0.07859,2147,20317,0.07489,0.08229
2007,At least once per month,0.05845,1612,20317,0.05522,0.06167
2007,Seldom,0.20719,5320,20317,0.20162,0.21277
2007,Never,0.47926,11238,20317,0.47239,0.48613
2008,At least once per week,0.10546,2616,19231,0.10111,0.10980
2008,At least once per month,0.07140,1743,19231,0.06776,0.07504
2008,Seldom,0.20833,4925,19231,0.20259,0.21407
2008,Never,0.44961,9947,19231,0.44258,0.45664
2009,At least once per week,0.08645,1977,17850,0.08233,0.09058
2009,At least once per month,0.06456,1380,17850,0.06096,0.06817
2009,Seldom,0.22502,4936,17850,0.21890,0.23115
2009,Never,0.45638,9557,17850,0.44907,0.46369
2011,At least once per week,0.09602,3433,28227,0.09259,0.09946
2011,At least once per month,0.05873,1977,28227,0.05599,0.06147
2011,Seldom,0.20022,6671,28227,0.19555,0.20489
2011,Never,0.47580,16146,28227,0.46997,0.48162
2013,At least once per week,0.11937,4495,25407,0.11538,0.12335
2013,At least once per month,0.07514,2575,25407,0.07190,0.07838
2013,Seldom,0.20034,6601,25407,0.19542,0.20526
2013,Never,0.36441,11736,25407,0.35849,0.37032
2015,At least once per week,0.10435,3306,26686,0.10068,0.10801
2015,At least once per month,0.06097,1995,26686,0.05810,0.06384
2015,Seldom,0.19510,6209,26686,0.19034,0.19985
2015,Never,0.47887,15176,26686,0.47287,0.48486
2017,At least once per week,0.11155,3994,30417,0.10801,0.11508
2017,At least once per month,0.06812,2366,30417,0.06529,0.07095
2017,Seldom,0.20501,7153,30417,0.20048,0.20955
2017,Never,0.45071,16904,30417,0.44512,0.45630
2018,At least once per week,0.00057,225,3168,-0.00026,0.00141
2018,At least once per month,0.00038,210,3168,-0.00030,0.00107
2018,Seldom,0.00095,557,3168,-0.00012,0.00202
2018,Never,0.00363,2176,3168,0.00154,0.00573
2019,At least once per week,0.14339,4854,28741,0.13934,0.14744
2019,At least once per month,0.07471,2721,28741,0.07167,0.07775
2019,Seldom,0.20095,6541,28741,0.19632,0.20559
2019,Never,0.41630,14625,28741,0.41060,0.42199
2021,At least once per week,0.15480,3585,17185,0.14939,0.16021
2021,At least once per month,0.09522,2171,17185,0.09084,0.09961
2021,Seldom,0.20057,4068,17185,0.19458,0.20655
2021,Never,0.37106,7361,17185,0.36384,0.37828
