year,age_gr,bula_h,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Schleswig-Holstein,Never,0.38830,39,39,0.23334,0.54326
1990,17-29 y.,Lower Saxony,At least once per week,0.20982,52,277,0.16178,0.25786
1990,17-29 y.,Lower Saxony,At least once per month,0.15727,40,277,0.11432,0.20022
1990,17-29 y.,Lower Saxony,Seldom,0.32070,91,277,0.26563,0.37576
1990,17-29 y.,Lower Saxony,Never,0.30296,94,277,0.24874,0.35718
1990,17-29 y.,North Rhine-Westphalia,At least once per week,0.17653,120,734,0.14893,0.20413
1990,17-29 y.,North Rhine-Westphalia,At least once per month,0.12400,75,734,0.10014,0.14786
1990,17-29 y.,North Rhine-Westphalia,Seldom,0.30855,199,734,0.27511,0.34199
1990,17-29 y.,North Rhine-Westphalia,Never,0.38858,340,734,0.35329,0.42387
1990,17-29 y.,Hesse,At least once per week,0.12443,36,267,0.08477,0.16410
1990,17-29 y.,Hesse,At least once per month,0.15945,37,267,0.11545,0.20344
1990,17-29 y.,Hesse,Seldom,0.26579,58,267,0.21270,0.31888
1990,17-29 y.,Hesse,Never,0.44746,136,267,0.38771,0.50722
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.24910,40,136,0.17614,0.32206
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.44395,96,136,0.36014,0.52777
1990,17-29 y.,Baden-Wuerttemberg,At least once per week,0.20085,88,536,0.16690,0.23480
1990,17-29 y.,Baden-Wuerttemberg,At least once per month,0.19586,85,536,0.16223,0.22949
1990,17-29 y.,Baden-Wuerttemberg,Seldom,0.31121,154,536,0.27198,0.35044
1990,17-29 y.,Baden-Wuerttemberg,Never,0.28303,209,536,0.24485,0.32120
1990,17-29 y.,Bavaria,At least once per week,0.18431,90,472,0.14929,0.21933
1990,17-29 y.,Bavaria,At least once per month,0.19641,79,472,0.16053,0.23229
1990,17-29 y.,Bavaria,Seldom,0.28219,134,472,0.24154,0.32283
