year,age_gr,migback,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,At least once per week,0.13746,324,1755,0.12135,0.15358
1990,17-29 y.,No migration background,At least once per month,0.12077,268,1755,0.10552,0.13602
1990,17-29 y.,No migration background,Seldom,0.24442,557,1755,0.22431,0.26453
1990,17-29 y.,No migration background,Never,0.26250,606,1755,0.24190,0.28309
1990,17-29 y.,Direct migration background,At least once per week,0.15759,84,691,0.13040,0.18478
1990,17-29 y.,Direct migration background,At least once per month,0.12573,53,691,0.10099,0.15047
1990,17-29 y.,Direct migration background,Seldom,0.23547,134,691,0.20381,0.26713
1990,17-29 y.,Direct migration background,Never,0.45127,420,691,0.41414,0.48840
1990,17-29 y.,Indirect migration background,At least once per week,0.21676,47,255,0.16608,0.26743
1990,17-29 y.,Indirect migration background,At least once per month,0.12520,39,255,0.08450,0.16590
1990,17-29 y.,Indirect migration background,Seldom,0.21340,52,255,0.16302,0.26379
1990,17-29 y.,Indirect migration background,Never,0.42476,117,255,0.36397,0.48555
1990,30-45 y.,No migration background,At least once per week,0.10500,252,1921,0.09129,0.11871
1990,30-45 y.,No migration background,At least once per month,0.12399,306,1921,0.10925,0.13873
1990,30-45 y.,No migration background,Seldom,0.29863,735,1921,0.27816,0.31910
1990,30-45 y.,No migration background,Never,0.25179,628,1921,0.23237,0.27120
1990,30-45 y.,Direct migration background,At least once per week,0.09666,46,829,0.07653,0.11679
1990,30-45 y.,Direct migration background,At least once per month,0.07343,42,829,0.05566,0.09120
1990,30-45 y.,Direct migration background,Seldom,0.22643,168,829,0.19793,0.25494
1990,30-45 y.,Direct migration background,Never,0.54668,573,829,0.51277,0.58058
1990,46-65 y.,No migration background,At least once per week,0.09136,230,1982,0.07868,0.10405
1990,46-65 y.,No migration background,At least once per month,0.08892,228,1982,0.07639,0.10146
1990,46-65 y.,No migration background,Seldom,0.24539,623,1982,0.22644,0.26434
1990,46-65 y.,No migration background,Never,0.35628,901,1982,0.33519,0.37737
1990,46-65 y.,Direct migration background,At least once per week,0.06052,33,901,0.04495,0.07610
1990,46-65 y.,Direct migration background,At least once per month,0.08227,48,901,0.06432,0.10022
1990,46-65 y.,Direct migration background,Seldom,0.18987,134,901,0.16425,0.21550
1990,46-65 y.,Direct migration background,Never,0.56493,686,901,0.53254,0.59732
1990,66 and older,No migration background,At least once per week,0.06054,70,948,0.04535,0.07573
1990,66 and older,No migration background,At least once per month,0.05020,59,948,0.03629,0.06410
1990,66 and older,No migration background,Seldom,0.11839,135,948,0.09781,0.13896
1990,66 and older,No migration background,Never,0.58690,684,948,0.55554,0.61826
1990,66 and older,Direct migration background,Never,0.59474,57,57,0.46615,0.72333
1995,17-29 y.,No migration background,At least once per week,0.17261,385,2292,0.15713,0.18808
1995,17-29 y.,No migration background,At least once per month,0.10459,240,2292,0.09206,0.11712
1995,17-29 y.,No migration background,Seldom,0.32265,754,2292,0.30351,0.34179
1995,17-29 y.,No migration background,Never,0.39141,913,2292,0.37142,0.41139
1995,17-29 y.,Direct migration background,At least once per week,0.21136,84,601,0.17869,0.24402
1995,17-29 y.,Direct migration background,At least once per month,0.07301,39,601,0.05220,0.09383
1995,17-29 y.,Direct migration background,Seldom,0.18711,129,601,0.15590,0.21832
1995,17-29 y.,Direct migration background,Never,0.52275,349,601,0.48279,0.56272
1995,17-29 y.,Indirect migration background,At least once per week,0.23331,74,441,0.19379,0.27283
1995,17-29 y.,Indirect migration background,At least once per month,0.09667,47,441,0.06906,0.12428
1995,17-29 y.,Indirect migration background,Seldom,0.23665,112,441,0.19693,0.27636
1995,17-29 y.,Indirect migration background,Never,0.43048,208,441,0.38422,0.47675
1995,30-45 y.,No migration background,At least once per week,0.11489,372,3456,0.10426,0.12552
1995,30-45 y.,No migration background,At least once per month,0.11009,337,3456,0.09965,0.12052
1995,30-45 y.,No migration background,Seldom,0.37569,1294,3456,0.35954,0.39184
1995,30-45 y.,No migration background,Never,0.39538,1453,3456,0.37908,0.41168
1995,30-45 y.,Direct migration background,At least once per week,0.11584,67,918,0.09513,0.13655
1995,30-45 y.,Direct migration background,At least once per month,0.10425,65,918,0.08447,0.12403
1995,30-45 y.,Direct migration background,Seldom,0.22114,184,918,0.19427,0.24800
1995,30-45 y.,Direct migration background,Never,0.55300,602,918,0.52082,0.58518
1995,46-65 y.,No migration background,At least once per week,0.10520,269,2897,0.09402,0.11637
1995,46-65 y.,No migration background,At least once per month,0.08446,231,2897,0.07434,0.09459
1995,46-65 y.,No migration background,Seldom,0.30669,909,2897,0.28989,0.32348
1995,46-65 y.,No migration background,Never,0.49726,1488,2897,0.47905,0.51547
1995,46-65 y.,Direct migration background,At least once per week,0.07301,41,1036,0.05716,0.08886
1995,46-65 y.,Direct migration background,At least once per month,0.05616,36,1036,0.04213,0.07018
1995,46-65 y.,Direct migration background,Seldom,0.20180,164,1036,0.17735,0.22625
1995,46-65 y.,Direct migration background,Never,0.66265,795,1036,0.63385,0.69146
1995,66 and older,No migration background,At least once per week,0.10033,114,1291,0.08393,0.11672
1995,66 and older,No migration background,At least once per month,0.05204,74,1291,0.03992,0.06416
1995,66 and older,No migration background,Seldom,0.15138,193,1291,0.13182,0.17094
1995,66 and older,No migration background,Never,0.68202,910,1291,0.65661,0.70743
1995,66 and older,Direct migration background,Never,0.73571,157,157,0.66652,0.80491
1998,17-29 y.,No migration background,At least once per week,0.17623,369,2236,0.16043,0.19203
1998,17-29 y.,No migration background,At least once per month,0.10290,238,2236,0.09031,0.11550
1998,17-29 y.,No migration background,Seldom,0.29525,681,2236,0.27634,0.31417
1998,17-29 y.,No migration background,Never,0.42208,948,2236,0.40161,0.44256
