year,migback,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,At least once per week,0.08390,876,6606,0.07721,0.09058
1990,No migration background,At least once per month,0.08260,861,6606,0.07596,0.08924
1990,No migration background,Seldom,0.19755,2050,6606,0.18795,0.20715
1990,No migration background,Never,0.29019,2819,6606,0.27924,0.30113
1990,Direct migration background,At least once per week,0.08618,170,2502,0.07518,0.09718
1990,Direct migration background,At least once per month,0.08392,149,2502,0.07305,0.09479
1990,Direct migration background,Seldom,0.19371,447,2502,0.17822,0.20920
1990,Direct migration background,Never,0.51603,1736,2502,0.49644,0.53561
1990,Indirect migration background,At least once per week,0.04187,52,288,0.01870,0.06505
1990,Indirect migration background,At least once per month,0.02080,42,288,0.00429,0.03731
1990,Indirect migration background,Seldom,0.04802,64,288,0.02328,0.07276
1990,Indirect migration background,Never,0.07607,130,288,0.04540,0.10674
1995,No migration background,At least once per week,0.09950,1140,9936,0.09362,0.10539
1995,No migration background,At least once per month,0.07446,882,9936,0.06930,0.07962
1995,No migration background,Seldom,0.24934,3150,9936,0.24084,0.25785
1995,No migration background,Never,0.40191,4764,9936,0.39227,0.41155
1995,Direct migration background,At least once per week,0.10777,208,2765,0.09621,0.11933
1995,Direct migration background,At least once per month,0.07041,154,2765,0.06087,0.07995
1995,Direct migration background,Seldom,0.17883,500,2765,0.16455,0.19312
1995,Direct migration background,Never,0.57554,1903,2765,0.55711,0.59396
1995,Indirect migration background,At least once per week,0.07198,82,501,0.04932,0.09463
1995,Indirect migration background,At least once per month,0.03044,53,501,0.01538,0.04550
1995,Indirect migration background,Seldom,0.08949,135,501,0.06447,0.11451
1995,Indirect migration background,Never,0.12566,231,501,0.09660,0.15471
1998,No migration background,At least once per week,0.09497,1223,11144,0.08953,0.10042
1998,No migration background,At least once per month,0.07290,980,11144,0.06807,0.07773
1998,No migration background,Seldom,0.23245,3271,11144,0.22461,0.24029
1998,No migration background,Never,0.42796,5670,11144,0.41878,0.43715
1998,Direct migration background,At least once per week,0.06886,118,2377,0.05868,0.07904
1998,Direct migration background,At least once per month,0.06089,121,2377,0.05128,0.07051
1998,Direct migration background,Seldom,0.17386,354,2377,0.15862,0.18910
1998,Direct migration background,Never,0.63178,1784,2377,0.61239,0.65117
1998,Indirect migration background,At least once per week,0.07243,76,593,0.05155,0.09331
1998,Indirect migration background,At least once per month,0.03061,49,593,0.01674,0.04449
1998,Indirect migration background,Seldom,0.10276,147,593,0.07830,0.12722
1998,Indirect migration background,Never,0.18196,321,593,0.15088,0.21303
2001,No migration background,At least once per week,0.07383,1650,18032,0.07002,0.07765
2001,No migration background,At least once per month,0.05257,1119,18032,0.04932,0.05583
2001,No migration background,Seldom,0.19140,4262,18032,0.18565,0.19714
2001,No migration background,Never,0.51778,11001,18032,0.51048,0.52507
2001,Direct migration background,At least once per week,0.06149,150,2887,0.05273,0.07026
2001,Direct migration background,At least once per month,0.04514,113,2887,0.03756,0.05271
2001,Direct migration background,Seldom,0.16232,503,2887,0.14887,0.17578
2001,Direct migration background,Never,0.65335,2121,2887,0.63599,0.67072
2001,Indirect migration background,At least once per week,0.03473,71,758,0.02168,0.04777
2001,Indirect migration background,At least once per month,0.03451,58,758,0.02150,0.04751
2001,Indirect migration background,Seldom,0.09303,194,758,0.07233,0.11372
2001,Indirect migration background,Never,0.20732,435,758,0.17844,0.23620
2003,No migration background,At least once per week,0.09779,2447,18642,0.09352,0.10205
2003,No migration background,At least once per month,0.07451,1763,18642,0.07074,0.07828
2003,No migration background,Seldom,0.21851,5030,18642,0.21258,0.22445
2003,No migration background,Never,0.45291,9402,18642,0.44576,0.46005
2003,Direct migration background,At least once per week,0.07768,185,2598,0.06739,0.08798
2003,Direct migration background,At least once per month,0.05330,130,2598,0.04466,0.06193
2003,Direct migration background,Seldom,0.16555,433,2598,0.15126,0.17985
2003,Direct migration background,Never,0.64469,1850,2598,0.62629,0.66310
2003,Indirect migration background,At least once per week,0.05479,113,771,0.03872,0.07087
2003,Indirect migration background,At least once per month,0.04371,72,771,0.02927,0.05816
2003,Indirect migration background,Seldom,0.08141,167,771,0.06209,0.10072
2003,Indirect migration background,Never,0.20969,419,771,0.18094,0.23845
2005,No migration background,At least once per week,0.07834,1794,17359,0.07435,0.08234
2005,No migration background,At least once per month,0.06169,1380,17359,0.05811,0.06527
2005,No migration background,Seldom,0.23899,5094,17359,0.23265,0.24534
2005,No migration background,Never,0.46789,9091,17359,0.46047,0.47531
2005,Direct migration background,At least once per week,0.05856,130,2344,0.04905,0.06807
2005,Direct migration background,At least once per month,0.03957,105,2344,0.03168,0.04746
2005,Direct migration background,Seldom,0.19861,466,2344,0.18246,0.21477
2005,Direct migration background,Never,0.65797,1643,2344,0.63876,0.67718
2005,Indirect migration background,At least once per week,0.04197,72,810,0.02815,0.05578
2005,Indirect migration background,At least once per month,0.03455,67,810,0.02197,0.04714
2005,Indirect migration background,Seldom,0.13611,240,810,0.11248,0.15974
2005,Indirect migration background,Never,0.23591,431,810,0.20665,0.26516
2007,No migration background,At least once per week,0.08552,1935,17452,0.08137,0.08966
2007,No migration background,At least once per month,0.06236,1448,17452,0.05877,0.06595
2007,No migration background,Seldom,0.21881,4725,17452,0.21267,0.22494
2007,No migration background,Never,0.47392,9344,17452,0.46652,0.48133
2007,Direct migration background,At least once per week,0.06003,143,2096,0.04986,0.07021
2007,Direct migration background,At least once per month,0.04384,101,2096,0.03507,0.05260
2007,Direct migration background,Seldom,0.17126,386,2096,0.15513,0.18739
2007,Direct migration background,Never,0.67266,1466,2096,0.65257,0.69275
2007,Indirect migration background,At least once per week,0.03221,69,769,0.01973,0.04470
2007,Indirect migration background,At least once per month,0.03823,63,769,0.02467,0.05179
2007,Indirect migration background,Seldom,0.13647,209,769,0.11219,0.16074
2007,Indirect migration background,Never,0.25523,428,769,0.22440,0.28607
2008,No migration background,At least once per week,0.11243,2330,16578,0.10762,0.11724
2008,No migration background,At least once per month,0.07630,1550,16578,0.07226,0.08034
2008,No migration background,Seldom,0.21694,4370,16578,0.21066,0.22321
2008,No migration background,Never,0.44447,8328,16578,0.43691,0.45203
2008,Direct migration background,At least once per week,0.08344,178,1892,0.07098,0.09591
2008,Direct migration background,At least once per month,0.05137,110,1892,0.04142,0.06132
2008,Direct migration background,Seldom,0.19402,360,1892,0.17620,0.21185
2008,Direct migration background,Never,0.64010,1244,1892,0.61847,0.66174
2008,Indirect migration background,At least once per week,0.06437,108,761,0.04692,0.08182
2008,Indirect migration background,At least once per month,0.04887,83,761,0.03354,0.06420
2008,Indirect migration background,Seldom,0.13978,195,761,0.11513,0.16443
2008,Indirect migration background,Never,0.23811,375,761,0.20783,0.26839
2009,No migration background,At least once per week,0.09185,1790,15504,0.08731,0.09640
2009,No migration background,At least once per month,0.06610,1210,15504,0.06219,0.07001
2009,No migration background,Seldom,0.22997,4359,15504,0.22335,0.23659
