year,sex,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,At least once per week,0.08216,533,4633,0.07425,0.09007
1990,male,At least once per month,0.07987,504,4633,0.07206,0.08767
1990,male,Seldom,0.19934,1303,4633,0.18783,0.21084
1990,male,Never,0.28956,2293,4633,0.27650,0.30262
1990,female,At least once per week,0.08311,565,4763,0.07527,0.09095
1990,female,At least once per month,0.08126,548,4763,0.07350,0.08902
1990,female,Seldom,0.18527,1258,4763,0.17423,0.19630
1990,female,Never,0.31388,2392,4763,0.30070,0.32706
1995,male,At least once per week,0.09390,635,6373,0.08674,0.10106
1995,male,At least once per month,0.07038,505,6373,0.06410,0.07666
1995,male,Seldom,0.23498,1818,6373,0.22456,0.24539
1995,male,Never,0.40592,3415,6373,0.39386,0.41798
1995,female,At least once per week,0.10437,795,6829,0.09712,0.11162
1995,female,At least once per month,0.07344,584,6829,0.06726,0.07963
1995,female,Seldom,0.23181,1967,6829,0.22180,0.24182
1995,female,Never,0.41515,3483,6829,0.40346,0.42684
1998,male,At least once per week,0.08529,619,6829,0.07867,0.09192
1998,male,At least once per month,0.06147,485,6829,0.05578,0.06717
1998,male,Seldom,0.21625,1788,6829,0.20648,0.22601
1998,male,Never,0.44537,3937,6829,0.43358,0.45716
1998,female,At least once per week,0.09578,798,7285,0.08902,0.10254
1998,female,At least once per month,0.07647,665,7285,0.07037,0.08257
1998,female,Seldom,0.22038,1984,7285,0.21086,0.22990
1998,female,Never,0.43134,3838,7285,0.41997,0.44272
2001,male,At least once per week,0.06029,751,10417,0.05572,0.06487
2001,male,At least once per month,0.04506,545,10417,0.04108,0.04905
2001,male,Seldom,0.18105,2323,10417,0.17365,0.18844
2001,male,Never,0.52336,6798,10417,0.51377,0.53296
2001,female,At least once per week,0.07944,1120,11260,0.07445,0.08444
2001,female,At least once per month,0.05599,745,11260,0.05174,0.06023
2001,female,Seldom,0.18318,2636,11260,0.17604,0.19033
2001,female,Never,0.50495,6759,11260,0.49572,0.51419
2003,male,At least once per week,0.08591,1166,10601,0.08058,0.09125
2003,male,At least once per month,0.06359,844,10601,0.05894,0.06823
2003,male,Seldom,0.19589,2607,10601,0.18834,0.20345
2003,male,Never,0.47237,5984,10601,0.46287,0.48187
2003,female,At least once per week,0.09931,1579,11410,0.09382,0.10480
2003,female,At least once per month,0.07642,1121,11410,0.07155,0.08130
2003,female,Seldom,0.21117,3023,11410,0.20369,0.21866
2003,female,Never,0.44594,5687,11410,0.43682,0.45506
2005,male,At least once per week,0.06548,831,9823,0.06059,0.07037
2005,male,At least once per month,0.04972,633,9823,0.04542,0.05402
2005,male,Seldom,0.22248,2761,9823,0.21426,0.23071
2005,male,Never,0.48703,5598,9823,0.47714,0.49691
2005,female,At least once per week,0.08132,1165,10690,0.07614,0.08650
2005,female,At least once per month,0.06455,919,10690,0.05989,0.06921
2005,female,Seldom,0.23175,3039,10690,0.22375,0.23975
2005,female,Never,0.46015,5567,10690,0.45071,0.46960
2007,male,At least once per week,0.06668,882,9679,0.06171,0.07165
2007,male,At least once per month,0.05166,670,9679,0.04725,0.05607
2007,male,Seldom,0.20508,2495,9679,0.19703,0.21312
2007,male,Never,0.49222,5632,9679,0.48226,0.50218
2007,female,At least once per week,0.09008,1265,10638,0.08464,0.09552
2007,female,At least once per month,0.06500,942,10638,0.06031,0.06968
2007,female,Seldom,0.20924,2825,10638,0.20151,0.21697
2007,female,Never,0.46675,5606,10638,0.45727,0.47624
2008,male,At least once per week,0.10117,1162,9165,0.09499,0.10734
2008,male,At least once per month,0.06003,673,9165,0.05517,0.06489
2008,male,Seldom,0.19429,2254,9165,0.18619,0.20239
2008,male,Never,0.47152,5076,9165,0.46129,0.48174
2008,female,At least once per week,0.10959,1454,10066,0.10349,0.11570
2008,female,At least once per month,0.08237,1070,10066,0.07700,0.08774
2008,female,Seldom,0.22188,2671,10066,0.21376,0.22999
2008,female,Never,0.42848,4871,10066,0.41881,0.43815
2009,male,At least once per week,0.07958,860,8531,0.07384,0.08532
2009,male,At least once per month,0.05639,574,8531,0.05150,0.06129
2009,male,Seldom,0.22101,2290,8531,0.21220,0.22981
2009,male,Never,0.46906,4807,8531,0.45847,0.47965
2009,female,At least once per week,0.09309,1117,9319,0.08719,0.09899
2009,female,At least once per month,0.07246,806,9319,0.06720,0.07772
2009,female,Seldom,0.22890,2646,9319,0.22037,0.23743
2009,female,Never,0.44413,4750,9319,0.43404,0.45422
2011,male,At least once per week,0.08305,1374,12777,0.07826,0.08783
2011,male,At least once per month,0.05161,755,12777,0.04778,0.05545
2011,male,Seldom,0.19690,2901,12777,0.19001,0.20380
2011,male,Never,0.49078,7747,12777,0.48211,0.49945
2011,female,At least once per week,0.10847,2059,15450,0.10357,0.11337
2011,female,At least once per month,0.06556,1222,15450,0.06165,0.06946
2011,female,Seldom,0.20341,3770,15450,0.19707,0.20976
2011,female,Never,0.46145,8399,15450,0.45359,0.46931
2013,male,At least once per week,0.10525,1788,11498,0.09964,0.11086
2013,male,At least once per month,0.06756,1020,11498,0.06297,0.07214
2013,male,Seldom,0.19756,2908,11498,0.19029,0.20484
2013,male,Never,0.37963,5782,11498,0.37076,0.38850
2013,female,At least once per week,0.13297,2707,13909,0.12733,0.13862
2013,female,At least once per month,0.08245,1555,13909,0.07788,0.08702
2013,female,Seldom,0.20301,3693,13909,0.19633,0.20970
2013,female,Never,0.34974,5954,13909,0.34181,0.35766
2015,male,At least once per week,0.08822,1285,12260,0.08320,0.09324
2015,male,At least once per month,0.05263,777,12260,0.04868,0.05659
2015,male,Seldom,0.19222,2776,12260,0.18525,0.19920
2015,male,Never,0.50113,7422,12260,0.49228,0.50998
2015,female,At least once per week,0.11998,2021,14426,0.11468,0.12528
2015,female,At least once per month,0.06905,1218,14426,0.06491,0.07318
2015,female,Seldom,0.19789,3433,14426,0.19139,0.20439
2015,female,Never,0.45731,7754,14426,0.44918,0.46544
2017,male,At least once per week,0.09662,1594,14478,0.09181,0.10143
2017,male,At least once per month,0.05647,983,14478,0.05271,0.06023
2017,male,Seldom,0.19837,3257,14478,0.19187,0.20486
2017,male,Never,0.47714,8644,14478,0.46901,0.48528
2017,female,At least once per week,0.12622,2400,15939,0.12107,0.13138
2017,female,At least once per month,0.07958,1383,15939,0.07538,0.08378
2017,female,Seldom,0.21156,3896,15939,0.20522,0.21790
2017,female,Never,0.42476,8260,15939,0.41709,0.43243
2018,male,At least once per week,0.00083,133,1880,-0.00047,0.00214
2018,male,At least once per month,0.00054,127,1880,-0.00051,0.00159
2018,male,Seldom,0.00127,353,1880,-0.00034,0.00288
2018,male,Never,0.00473,1267,1880,0.00163,0.00784
2018,female,At least once per week,0.00032,92,1288,-0.00066,0.00129
2018,female,At least once per month,0.00023,83,1288,-0.00060,0.00106
2018,female,Seldom,0.00063,204,1288,-0.00074,0.00201
2018,female,Never,0.00256,909,1288,-0.00020,0.00531
2019,male,At least once per week,0.12196,2004,14074,0.11656,0.12737
2019,male,At least once per month,0.06404,1165,14074,0.06000,0.06809
2019,male,Seldom,0.18986,3048,14074,0.18338,0.19634
2019,male,Never,0.45266,7857,14074,0.44444,0.46089
2019,female,At least once per week,0.16431,2847,14660,0.15832,0.17031
2019,female,At least once per month,0.08516,1554,14660,0.08064,0.08968
2019,female,Seldom,0.21200,3493,14660,0.20538,0.21861
2019,female,Never,0.38095,6766,14660,0.37309,0.38882
2021,male,At least once per week,0.13798,1473,8083,0.13046,0.14550
2021,male,At least once per month,0.08400,873,8083,0.07796,0.09005
2021,male,Seldom,0.19435,1888,8083,0.18572,0.20297
2021,male,Never,0.39641,3849,8083,0.38575,0.40708
2021,female,At least once per week,0.17116,2108,9095,0.16342,0.17890
2021,female,At least once per month,0.10623,1296,9095,0.09990,0.11256
2021,female,Seldom,0.20659,2179,9095,0.19827,0.21491
2021,female,Never,0.34639,3512,9095,0.33661,0.35617
