year,quintil_oecd,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,At least once per week,0.06329,142,1867,0.05225,0.07434
1990,1st Quintile,At least once per month,0.04657,106,1867,0.03701,0.05614
1990,1st Quintile,Seldom,0.17625,381,1867,0.15896,0.19354
1990,1st Quintile,Never,0.48432,1238,1867,0.46165,0.50700
1990,2nd Quintile,At least once per week,0.09940,216,1875,0.08586,0.11295
1990,2nd Quintile,At least once per month,0.07547,176,1875,0.06351,0.08743
1990,2nd Quintile,Seldom,0.21292,499,1875,0.19439,0.23146
1990,2nd Quintile,Never,0.38839,984,1875,0.36632,0.41046
1990,3rd Quintile,At least once per week,0.10507,229,1901,0.09128,0.11886
1990,3rd Quintile,At least once per month,0.10660,215,1901,0.09272,0.12048
1990,3rd Quintile,Seldom,0.23245,499,1901,0.21346,0.25145
1990,3rd Quintile,Never,0.37160,958,1901,0.34988,0.39333
1990,4th Quintile,At least once per week,0.11478,234,1932,0.10056,0.12900
1990,4th Quintile,At least once per month,0.12169,235,1932,0.10711,0.13627
1990,4th Quintile,Seldom,0.28314,594,1932,0.26304,0.30323
1990,4th Quintile,Never,0.36640,869,1932,0.34491,0.38789
1990,5th Quintile,At least once per week,0.13885,277,1818,0.12295,0.15475
1990,5th Quintile,At least once per month,0.15805,320,1818,0.14127,0.17482
1990,5th Quintile,Seldom,0.30691,588,1818,0.28570,0.32811
1990,5th Quintile,Never,0.29393,633,1818,0.27298,0.31488
1995,1st Quintile,At least once per week,0.06988,215,2522,0.05993,0.07983
1995,1st Quintile,At least once per month,0.04778,149,2522,0.03946,0.05611
1995,1st Quintile,Seldom,0.15617,533,2522,0.14200,0.17034
1995,1st Quintile,Never,0.46410,1625,2522,0.44463,0.48357
1995,2nd Quintile,At least once per week,0.08165,255,2850,0.07159,0.09170
1995,2nd Quintile,At least once per month,0.06057,201,2850,0.05181,0.06933
1995,2nd Quintile,Seldom,0.19547,729,2850,0.18091,0.21003
1995,2nd Quintile,Never,0.44423,1665,2850,0.42599,0.46248
1995,3rd Quintile,At least once per week,0.09116,291,2699,0.08030,0.10202
1995,3rd Quintile,At least once per month,0.05961,200,2699,0.05068,0.06855
1995,3rd Quintile,Seldom,0.24285,831,2699,0.22667,0.25903
1995,3rd Quintile,Never,0.41215,1377,2699,0.39357,0.43072
1995,4th Quintile,At least once per week,0.10883,317,2662,0.09700,0.12067
1995,4th Quintile,At least once per month,0.07966,241,2662,0.06937,0.08994
1995,4th Quintile,Seldom,0.27073,843,2662,0.25385,0.28761
1995,4th Quintile,Never,0.39929,1261,2662,0.38068,0.41790
1995,5th Quintile,At least once per week,0.14502,352,2465,0.13112,0.15892
1995,5th Quintile,At least once per month,0.11230,298,2465,0.09984,0.12477
1995,5th Quintile,Seldom,0.30150,848,2465,0.28338,0.31962
1995,5th Quintile,Never,0.33276,967,2465,0.31415,0.35136
1998,1st Quintile,At least once per week,0.06306,178,2318,0.05316,0.07296
1998,1st Quintile,At least once per month,0.04076,125,2318,0.03271,0.04881
1998,1st Quintile,Seldom,0.14266,438,2318,0.12842,0.15690
1998,1st Quintile,Never,0.49994,1577,2318,0.47958,0.52030
1998,2nd Quintile,At least once per week,0.06364,197,2547,0.05416,0.07313
1998,2nd Quintile,At least once per month,0.05211,174,2547,0.04348,0.06074
1998,2nd Quintile,Seldom,0.19816,646,2547,0.18267,0.21364
1998,2nd Quintile,Never,0.45711,1530,2547,0.43776,0.47647
1998,3rd Quintile,At least once per week,0.08527,246,2519,0.07436,0.09618
1998,3rd Quintile,At least once per month,0.06070,192,2519,0.05138,0.07003
1998,3rd Quintile,Seldom,0.22758,717,2519,0.21120,0.24396
1998,3rd Quintile,Never,0.44106,1364,2519,0.42167,0.46045
1998,4th Quintile,At least once per week,0.09082,254,2573,0.07971,0.10192
1998,4th Quintile,At least once per month,0.07048,216,2573,0.06059,0.08038
1998,4th Quintile,Seldom,0.28392,837,2573,0.26650,0.30135
1998,4th Quintile,Never,0.41238,1266,2573,0.39336,0.43141
1998,5th Quintile,At least once per week,0.12632,291,2269,0.11265,0.13999
1998,5th Quintile,At least once per month,0.11581,275,2269,0.10264,0.12898
1998,5th Quintile,Seldom,0.28585,736,2269,0.26726,0.30445
1998,5th Quintile,Never,0.35673,967,2269,0.33701,0.37644
2001,1st Quintile,At least once per week,0.04890,227,3823,0.04207,0.05574
2001,1st Quintile,At least once per month,0.03924,175,3823,0.03308,0.04540
2001,1st Quintile,Seldom,0.11517,612,3823,0.10505,0.12529
2001,1st Quintile,Never,0.55847,2809,3823,0.54273,0.57422
2001,2nd Quintile,At least once per week,0.05253,309,4336,0.04589,0.05917
2001,2nd Quintile,At least once per month,0.04098,203,4336,0.03508,0.04689
2001,2nd Quintile,Seldom,0.14714,845,4336,0.13659,0.15768
2001,2nd Quintile,Never,0.53690,2979,4336,0.52206,0.55174
2001,3rd Quintile,At least once per week,0.06599,371,4497,0.05873,0.07325
2001,3rd Quintile,At least once per month,0.04553,258,4497,0.03944,0.05162
2001,3rd Quintile,Seldom,0.18571,1060,4497,0.17434,0.19708
2001,3rd Quintile,Never,0.51882,2808,4497,0.50422,0.53343
2001,4th Quintile,At least once per week,0.08673,466,4548,0.07855,0.09491
2001,4th Quintile,At least once per month,0.05849,307,4548,0.05167,0.06532
2001,4th Quintile,Seldom,0.21607,1162,4548,0.20411,0.22803
2001,4th Quintile,Never,0.48728,2613,4548,0.47275,0.50181
2001,5th Quintile,At least once per week,0.09627,498,4471,0.08763,0.10492
2001,5th Quintile,At least once per month,0.06901,347,4471,0.06158,0.07645
2001,5th Quintile,Seldom,0.24615,1279,4471,0.23352,0.25877
2001,5th Quintile,Never,0.46853,2347,4471,0.45391,0.48316
2003,1st Quintile,At least once per week,0.06908,288,3367,0.06052,0.07765
2003,1st Quintile,At least once per month,0.04744,204,3367,0.04026,0.05462
2003,1st Quintile,Seldom,0.14736,615,3367,0.13538,0.15933
2003,1st Quintile,Never,0.51582,2260,3367,0.49894,0.53271
2003,2nd Quintile,At least once per week,0.06969,336,3841,0.06164,0.07774
2003,2nd Quintile,At least once per month,0.04870,239,3841,0.04189,0.05550
2003,2nd Quintile,Seldom,0.15379,760,3841,0.14238,0.16520
2003,2nd Quintile,Never,0.51607,2506,3841,0.50026,0.53188
2003,3rd Quintile,At least once per week,0.08874,476,4100,0.08004,0.09745
2003,3rd Quintile,At least once per month,0.06642,346,4100,0.05880,0.07404
2003,3rd Quintile,Seldom,0.19500,1022,4100,0.18287,0.20713
2003,3rd Quintile,Never,0.46437,2256,4100,0.44910,0.47963
2003,4th Quintile,At least once per week,0.10504,596,4396,0.09598,0.11411
2003,4th Quintile,At least once per month,0.08171,410,4396,0.07362,0.08981
2003,4th Quintile,Seldom,0.24397,1286,4396,0.23127,0.25666
2003,4th Quintile,Never,0.42118,2104,4396,0.40658,0.43577
2003,5th Quintile,At least once per week,0.13115,1048,6303,0.12282,0.13948
2003,5th Quintile,At least once per month,0.10650,766,6303,0.09888,0.11411
2003,5th Quintile,Seldom,0.27856,1946,6303,0.26749,0.28962
2003,5th Quintile,Never,0.37651,2543,6303,0.36455,0.38847
2005,1st Quintile,At least once per week,0.05820,223,3123,0.04999,0.06642
2005,1st Quintile,At least once per month,0.04308,181,3123,0.03596,0.05020
2005,1st Quintile,Seldom,0.16166,660,3123,0.14874,0.17457
2005,1st Quintile,Never,0.51871,2059,3123,0.50118,0.53623
2005,2nd Quintile,At least once per week,0.05436,246,3653,0.04700,0.06171
2005,2nd Quintile,At least once per month,0.04261,204,3653,0.03606,0.04916
2005,2nd Quintile,Seldom,0.19204,868,3653,0.17926,0.20481
2005,2nd Quintile,Never,0.52210,2335,3653,0.50590,0.53830
2005,3rd Quintile,At least once per week,0.06422,313,3712,0.05633,0.07211
2005,3rd Quintile,At least once per month,0.05310,244,3712,0.04588,0.06031
2005,3rd Quintile,Seldom,0.23659,1069,3712,0.22292,0.25027
2005,3rd Quintile,Never,0.46677,2086,3712,0.45072,0.48283
2005,4th Quintile,At least once per week,0.08368,444,4169,0.07527,0.09209
2005,4th Quintile,At least once per month,0.06573,333,4169,0.05820,0.07325
2005,4th Quintile,Seldom,0.26156,1305,4169,0.24822,0.27490
2005,4th Quintile,Never,0.44095,2087,4169,0.42588,0.45603
2005,5th Quintile,At least once per week,0.10722,769,5853,0.09930,0.11515
2005,5th Quintile,At least once per month,0.08183,589,5853,0.07480,0.08885
2005,5th Quintile,Seldom,0.28446,1898,5853,0.27290,0.29602
2005,5th Quintile,Never,0.41787,2597,5853,0.40524,0.43051
2007,1st Quintile,At least once per week,0.05421,231,3144,0.04629,0.06212
2007,1st Quintile,At least once per month,0.03877,167,3144,0.03202,0.04552
2007,1st Quintile,Seldom,0.15216,582,3144,0.13960,0.16472
2007,1st Quintile,Never,0.54707,2164,3144,0.52966,0.56447
2007,2nd Quintile,At least once per week,0.05492,274,3520,0.04739,0.06244
