year,regtyp,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,At least once per week,0.09683,888,7436,0.09011,0.10355
1990,Urban regions,At least once per month,0.09258,820,7436,0.08599,0.09917
1990,Urban regions,Seldom,0.21109,1960,7436,0.20181,0.22037
1990,Urban regions,Never,0.34284,3768,7436,0.33206,0.35363
1990,Rural regions,At least once per week,0.05318,210,1960,0.04324,0.06312
1990,Rural regions,At least once per month,0.05578,232,1960,0.04562,0.06595
1990,Rural regions,Seldom,0.15352,601,1960,0.13755,0.16948
1990,Rural regions,Never,0.21819,917,1960,0.19990,0.23648
1995,Urban regions,At least once per week,0.10793,1020,8660,0.10140,0.11447
1995,Urban regions,At least once per month,0.07485,754,8660,0.06930,0.08039
1995,Urban regions,Seldom,0.22568,2313,8660,0.21688,0.23449
1995,Urban regions,Never,0.41138,4573,8660,0.40101,0.42174
1995,Rural regions,At least once per week,0.08087,410,4542,0.07294,0.08880
1995,Rural regions,At least once per month,0.06581,335,4542,0.05860,0.07302
1995,Rural regions,Seldom,0.24964,1472,4542,0.23705,0.26223
1995,Rural regions,Never,0.40911,2325,4542,0.39481,0.42341
1998,Urban regions,At least once per week,0.09679,981,9176,0.09074,0.10284
1998,Urban regions,At least once per month,0.07122,762,9176,0.06596,0.07649
1998,Urban regions,Seldom,0.21561,2326,9176,0.20719,0.22402
1998,Urban regions,Never,0.43685,5107,9176,0.42671,0.44700
1998,Rural regions,At least once per week,0.07746,436,4938,0.07001,0.08492
1998,Rural regions,At least once per month,0.06465,388,4938,0.05779,0.07151
1998,Rural regions,Seldom,0.22429,1446,4938,0.21265,0.23592
1998,Rural regions,Never,0.44109,2668,4938,0.42724,0.45494
2001,Urban regions,At least once per week,0.07494,1316,14139,0.07060,0.07928
2001,Urban regions,At least once per month,0.05285,885,14139,0.04916,0.05654
2001,Urban regions,Seldom,0.18861,3316,14139,0.18216,0.19506
2001,Urban regions,Never,0.49999,8622,14139,0.49175,0.50823
2001,Rural regions,At least once per week,0.05962,555,7538,0.05427,0.06496
2001,Rural regions,At least once per month,0.04591,405,7538,0.04118,0.05063
