year,age_gr,pgisced97,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Pre-primary Level,At least once per week,0.36594,58,146,0.28754,0.44435
1990,17-29 y.,Pre-primary Level,Seldom,0.26868,44,146,0.19653,0.34083
1990,17-29 y.,Pre-primary Level,Never,0.18624,44,146,0.12288,0.24961
1990,17-29 y.,Primary Level,Never,0.58204,73,73,0.46811,0.69596
1990,17-29 y.,Lower Secondary Level,At least once per week,0.13650,116,794,0.11261,0.16040
1990,17-29 y.,Lower Secondary Level,At least once per month,0.13980,106,794,0.11566,0.16394
1990,17-29 y.,Lower Secondary Level,Seldom,0.22417,175,794,0.19515,0.25320
1990,17-29 y.,Lower Secondary Level,Never,0.35986,397,794,0.32646,0.39327
1990,17-29 y.,Upper Secondary Level,At least once per week,0.11813,202,1264,0.10033,0.13593
1990,17-29 y.,Upper Secondary Level,At least once per month,0.11963,179,1264,0.10173,0.13752
1990,17-29 y.,Upper Secondary Level,Seldom,0.24513,383,1264,0.22140,0.26885
1990,17-29 y.,Upper Secondary Level,Never,0.26764,500,1264,0.24323,0.29206
1990,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.24219,36,81,0.14831,0.33607
1990,17-29 y.,Post-secondary Non-tertiary Level,Never,0.28262,45,81,0.18395,0.38129
1990,17-29 y.,First Stage of Tertiary Education,Seldom,0.43137,38,38,0.27179,0.59096
1990,30-45 y.,Primary Level,Never,0.79519,158,158,0.73207,0.85832
1990,30-45 y.,Lower Secondary Level,At least once per month,0.08623,36,458,0.06049,0.11197
1990,30-45 y.,Lower Secondary Level,Seldom,0.28007,116,458,0.23890,0.32124
1990,30-45 y.,Lower Secondary Level,Never,0.51210,306,458,0.46627,0.55793
1990,30-45 y.,Upper Secondary Level,At least once per week,0.08328,138,1417,0.06889,0.09767
1990,30-45 y.,Upper Secondary Level,At least once per month,0.11131,183,1417,0.09492,0.12769
1990,30-45 y.,Upper Secondary Level,Seldom,0.30913,519,1417,0.28506,0.33320
