year,sampreg,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,At least once per week,0.10424,1098,9396,0.09806,0.11042
1990,West,At least once per month,0.10164,1052,9396,0.09552,0.10775
1990,West,Seldom,0.24225,2561,9396,0.23358,0.25091
1990,West,Never,0.38102,4685,9396,0.37120,0.39084
1995,West,At least once per week,0.10843,1142,9535,0.10219,0.11468
1995,West,At least once per month,0.07547,819,9535,0.07016,0.08077
1995,West,Seldom,0.23019,2577,9535,0.22174,0.23864
1995,West,Never,0.40057,4997,9535,0.39073,0.41040
1995,East,At least once per week,0.06092,288,3667,0.05317,0.06866
1995,East,At least once per month,0.05726,270,3667,0.04974,0.06478
1995,East,Seldom,0.24659,1208,3667,0.23264,0.26055
1995,East,Never,0.45281,1901,3667,0.43670,0.46893
1998,West,At least once per week,0.09727,1117,10274,0.09154,0.10300
1998,West,At least once per month,0.07074,851,10274,0.06578,0.07570
1998,West,Seldom,0.21455,2600,10274,0.20661,0.22249
1998,West,Never,0.43047,5706,10274,0.42089,0.44004
1998,East,At least once per week,0.06237,300,3840,0.05472,0.07002
1998,East,At least once per month,0.06229,299,3840,0.05464,0.06993
1998,East,Seldom,0.23465,1172,3840,0.22125,0.24806
1998,East,Never,0.47127,2069,3840,0.45548,0.48706
2001,West,At least once per week,0.07403,1508,16283,0.07001,0.07806
2001,West,At least once per month,0.05223,1016,16283,0.04881,0.05564
2001,West,Seldom,0.18418,3773,16283,0.17822,0.19013
2001,West,Never,0.49890,9986,16283,0.49122,0.50658
2001,East,At least once per week,0.05236,363,5394,0.04641,0.05830
2001,East,At least once per month,0.04356,274,5394,0.03811,0.04901
2001,East,Seldom,0.17304,1186,5394,0.16295,0.18314
2001,East,Never,0.58119,3571,5394,0.56803,0.59436
2003,West,At least once per week,0.09523,2188,16689,0.09078,0.09968
2003,West,At least once per month,0.07023,1530,16689,0.06636,0.07411
2003,West,Seldom,0.19943,4166,16689,0.19337,0.20549
2003,West,Never,0.45213,8805,16689,0.44458,0.45968
2003,East,At least once per week,0.08148,557,5322,0.07413,0.08884
2003,East,At least once per month,0.06965,435,5322,0.06281,0.07649
2003,East,Seldom,0.22292,1464,5322,0.21173,0.23410
2003,East,Never,0.48953,2866,5322,0.47609,0.50296
2005,West,At least once per week,0.07596,1579,15516,0.07179,0.08013
2005,West,At least once per month,0.05754,1223,15516,0.05388,0.06121
2005,West,Seldom,0.22343,4309,15516,0.21688,0.22998
2005,West,Never,0.46703,8405,15516,0.45918,0.47488
2005,East,At least once per week,0.06257,417,4997,0.05586,0.06929
2005,East,At least once per month,0.05604,329,4997,0.04967,0.06242
2005,East,Seldom,0.24439,1491,4997,0.23247,0.25631
2005,East,Never,0.50208,2760,4997,0.48822,0.51595
2007,West,At least once per week,0.07944,1695,15351,0.07516,0.08371
2007,West,At least once per month,0.05746,1239,15351,0.05378,0.06114
2007,West,Seldom,0.20591,3948,15351,0.19951,0.21231
2007,West,Never,0.47161,8469,15351,0.46371,0.47950
2007,East,At least once per week,0.07475,452,4966,0.06743,0.08206
2007,East,At least once per month,0.06292,373,4966,0.05617,0.06968
2007,East,Seldom,0.21301,1372,4966,0.20162,0.22440
2007,East,Never,0.51391,2769,4966,0.50001,0.52781
2008,West,At least once per week,0.10677,2060,14476,0.10174,0.11180
2008,West,At least once per month,0.07017,1304,14476,0.06601,0.07433
2008,West,Seldom,0.20814,3702,14476,0.20153,0.21476
2008,West,Never,0.44142,7410,14476,0.43333,0.44951
2008,East,At least once per week,0.09939,556,4755,0.09089,0.10790
2008,East,At least once per month,0.07704,439,4755,0.06946,0.08462
