year,bula_h,pgisced97,plh0038,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Very concerned,0.49268,39,74,0.37799,0.60737
1984,Schleswig-Holstein,Lower Secondary Level,Somewhat concerned,0.37712,35,74,0.26593,0.48830
1984,Schleswig-Holstein,Upper Secondary Level,Very concerned,0.48307,107,195,0.41275,0.55339
1984,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.39883,88,195,0.32993,0.46774
1984,Hamburg,Lower Secondary Level,Very concerned,0.57309,39,39,0.41582,0.73036
1984,Hamburg,Upper Secondary Level,Very concerned,0.57231,90,139,0.48976,0.65485
1984,Hamburg,Upper Secondary Level,Somewhat concerned,0.30788,49,139,0.23086,0.38490
1984,Lower Saxony,Lower Secondary Level,Very concerned,0.51226,182,362,0.46069,0.56382
1984,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.37983,137,362,0.32976,0.42990
1984,Lower Saxony,Lower Secondary Level,Not concerned at all,0.10792,43,362,0.07591,0.13992
1984,Lower Saxony,Upper Secondary Level,Very concerned,0.50699,289,578,0.46620,0.54778
1984,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.40138,232,578,0.36138,0.44138
1984,Lower Saxony,Upper Secondary Level,Not concerned at all,0.09163,57,578,0.06809,0.11517
1984,Lower Saxony,First Stage of Tertiary Education,Very concerned,0.52261,41,73,0.40724,0.63799
1984,Lower Saxony,First Stage of Tertiary Education,Somewhat concerned,0.41698,32,73,0.30309,0.53087
1984,Lower Saxony,Second Stage of Tertiary Education,Very concerned,0.53435,43,43,0.38349,0.68521
1984,Bremen,Upper Secondary Level,Very concerned,0.77391,56,56,0.66336,0.88446
1984,North Rhine-Westphalia,Pre-primary Level,Very concerned,0.57339,36,36,0.40953,0.73724
1984,North Rhine-Westphalia,Primary Level,Very concerned,0.45755,132,292,0.40031,0.51480
1984,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.37351,104,292,0.31793,0.42908
1984,North Rhine-Westphalia,Primary Level,Not concerned at all,0.16894,56,292,0.12589,0.21199
1984,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.57575,472,856,0.54263,0.60888
1984,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.34675,305,856,0.31485,0.37866
1984,North Rhine-Westphalia,Lower Secondary Level,Not concerned at all,0.07749,79,856,0.05957,0.09541
1984,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.57842,845,1511,0.55351,0.60332
1984,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.33121,520,1511,0.30747,0.35495
1984,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.09037,146,1511,0.07591,0.10483
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very concerned,0.60188,49,81,0.49462,0.70915
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Somewhat concerned,0.32380,32,81,0.22126,0.42634
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Very concerned,0.58463,92,143,0.50358,0.66568
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Somewhat concerned,0.32273,51,143,0.24584,0.39963
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Very concerned,0.57323,129,209,0.50601,0.64045
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Somewhat concerned,0.35866,80,209,0.29348,0.42384
1984,Hesse,Primary Level,Very concerned,0.41226,43,83,0.30571,0.51880
1984,Hesse,Primary Level,Somewhat concerned,0.33738,40,83,0.23504,0.43972
1984,Hesse,Lower Secondary Level,Very concerned,0.51059,180,353,0.45837,0.56281
1984,Hesse,Lower Secondary Level,Somewhat concerned,0.40313,129,353,0.35188,0.45437
1984,Hesse,Lower Secondary Level,Not concerned at all,0.08628,44,353,0.05695,0.11561
1984,Hesse,Upper Secondary Level,Very concerned,0.54218,317,582,0.50167,0.58269
1984,Hesse,Upper Secondary Level,Somewhat concerned,0.36595,215,582,0.32678,0.40512
1984,Hesse,Upper Secondary Level,Not concerned at all,0.09187,50,582,0.06838,0.11535
1984,Hesse,Second Stage of Tertiary Education,Very concerned,0.59341,56,56,0.46359,0.72322
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very concerned,0.52456,161,282,0.46617,0.58295
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Somewhat concerned,0.42337,121,282,0.36559,0.48114
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very concerned,0.48250,186,369,0.43144,0.53355
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Somewhat concerned,0.47107,183,369,0.42006,0.52207
