year,sex,plh0038,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Very concerned,0.49246,2850,5885,0.47969,0.50524
1984,male,Somewhat concerned,0.38678,2233,5885,0.37434,0.39922
1984,male,Not concerned at all,0.12076,802,5885,0.11243,0.12909
1984,female,Very concerned,0.57079,3416,6147,0.55841,0.58316
1984,female,Somewhat concerned,0.35551,2176,6147,0.34354,0.36747
1984,female,Not concerned at all,0.07371,555,6147,0.06718,0.08024
1985,male,Very concerned,0.44651,2415,5367,0.43321,0.45981
1985,male,Somewhat concerned,0.42548,2218,5367,0.41225,0.43871
1985,male,Not concerned at all,0.12801,734,5367,0.11907,0.13695
1985,female,Very concerned,0.52886,2879,5524,0.51570,0.54203
1985,female,Somewhat concerned,0.38533,2100,5524,0.37250,0.39817
1985,female,Not concerned at all,0.08581,545,5524,0.07842,0.09319
1986,male,Very concerned,0.41104,2200,5184,0.39764,0.42443
1986,male,Somewhat concerned,0.44105,2214,5184,0.42754,0.45457
1986,male,Not concerned at all,0.14791,770,5184,0.13824,0.15757
1986,female,Very concerned,0.49186,2575,5302,0.47840,0.50532
1986,female,Somewhat concerned,0.41015,2146,5302,0.39691,0.42339
1986,female,Not concerned at all,0.09799,581,5302,0.08999,0.10600
1987,male,Very concerned,0.40845,2036,5119,0.39499,0.42192
1987,male,Somewhat concerned,0.45300,2326,5119,0.43936,0.46664
1987,male,Not concerned at all,0.13855,757,5119,0.12908,0.14801
1987,female,Very concerned,0.51009,2549,5219,0.49653,0.52365
1987,female,Somewhat concerned,0.40014,2149,5219,0.38685,0.41343
1987,female,Not concerned at all,0.08977,521,5219,0.08201,0.09753
1988,male,Very concerned,0.34554,1728,4892,0.33221,0.35886
1988,male,Somewhat concerned,0.49419,2403,4892,0.48018,0.50820
1988,male,Not concerned at all,0.16028,761,4892,0.14999,0.17056
1988,female,Very concerned,0.46343,2251,4984,0.44959,0.47728
1988,female,Somewhat concerned,0.44088,2225,4984,0.42709,0.45466
1988,female,Not concerned at all,0.09569,508,4984,0.08752,0.10386
1989,male,Very concerned,0.28261,1391,4711,0.26975,0.29547
1989,male,Somewhat concerned,0.48358,2259,4711,0.46930,0.49785
1989,male,Not concerned at all,0.23382,1061,4711,0.22173,0.24590
1989,female,Very concerned,0.39070,1880,4841,0.37695,0.40444
1989,female,Somewhat concerned,0.47135,2267,4841,0.45729,0.48542
1989,female,Not concerned at all,0.13795,694,4841,0.12823,0.14766
1990,male,Very concerned,0.24786,1864,6729,0.23755,0.25818
1990,male,Somewhat concerned,0.45221,3017,6729,0.44032,0.46410
1990,male,Not concerned at all,0.29993,1848,6729,0.28898,0.31088
