"plh0038","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1984","16-34 J.","1642","0.363424107647029","0.349428374235638","0.37741984105842"
"Einige Sorgen","1984","35-65 J.","2321","0.378590739913431","0.366554266531177","0.390627213295685"
"Einige Sorgen","1984","66 und älter","446","0.359104242152143","0.332583576619919","0.385624907684367"
"Große Sorgen","1984","16-34 J.","2391","0.542384002302463","0.527887349541717","0.556880655063209"
"Große Sorgen","1984","35-65 J.","3209","0.531310344286701","0.518926878010936","0.543693810562466"
"Große Sorgen","1984","66 und älter","666","0.525936832729804","0.498333256443407","0.5535404090162"
"Keine Sorgen","1984","16-34 J.","504","0.0941918900505081","0.0856924843563054","0.102691295744711"
"Keine Sorgen","1984","35-65 J.","708","0.0900989157998682","0.0829936180885264","0.09720421351121"
"Keine Sorgen","1984","66 und älter","145","0.114958925118053","0.0973256285096465","0.13259222172646"
"Einige Sorgen","1985","16-34 J.","1617","0.40560016253726","0.390609004417021","0.420591320657498"
"Einige Sorgen","1985","35-65 J.","2291","0.412596475275446","0.399802682029147","0.425390268521744"
"Einige Sorgen","1985","66 und älter","410","0.378258203460842","0.349362473483763","0.407153933437922"
"Große Sorgen","1985","16-34 J.","1998","0.486369021897593","0.471108993522405","0.501629050272781"
"Große Sorgen","1985","35-65 J.","2769","0.491427475130308","0.478435521522986","0.504419428737631"
"Große Sorgen","1985","66 und älter","527","0.492768747538426","0.462979533779409","0.522557961297443"
"Keine Sorgen","1985","16-34 J.","506","0.108030815565148","0.0985532775193519","0.117508353610944"
"Keine Sorgen","1985","35-65 J.","628","0.095976049594246","0.0883211464417201","0.103630952746772"
"Keine Sorgen","1985","66 und älter","145","0.128973049000732","0.109002052268735","0.148944045732729"
"Einige Sorgen","1986","16-34 J.","1658","0.417698791249362","0.402506149601489","0.432891432897235"
"Einige Sorgen","1986","35-65 J.","2281","0.433424781282916","0.420227197732446","0.446622364833386"
"Einige Sorgen","1986","66 und älter","421","0.41389936439982","0.383702898390195","0.444095830409446"
"Große Sorgen","1986","16-34 J.","1873","0.462066711750694","0.446708367772052","0.477425055729335"
"Große Sorgen","1986","35-65 J.","2459","0.454233028562959","0.440972777621014","0.467493279504903"
"Große Sorgen","1986","66 und älter","443","0.436176277509953","0.405772654680948","0.466579900338958"
"Keine Sorgen","1986","16-34 J.","517","0.120234496999944","0.110215463036219","0.130253530963669"
"Keine Sorgen","1986","35-65 J.","676","0.112342190154125","0.103932054603817","0.120752325704434"
"Keine Sorgen","1986","66 und älter","158","0.149924358090227","0.128037293064909","0.171811423115544"
"Einige Sorgen","1987","16-34 J.","1771","0.441297065904354","0.425878484353434","0.456715647455274"
"Einige Sorgen","1987","35-65 J.","2330","0.440959768032932","0.42760293031646","0.454316605749404"
"Einige Sorgen","1987","66 und älter","374","0.352182202530056","0.323235947178959","0.381128457881152"
"Große Sorgen","1987","16-34 J.","1732","0.450521865207013","0.435072111141759","0.465971619272267"
"Große Sorgen","1987","35-65 J.","2344","0.456625826122437","0.443225592628272","0.470026059616602"
"Große Sorgen","1987","66 und älter","509","0.498021918702205","0.467721484325536","0.528322353078873"
"Keine Sorgen","1987","16-34 J.","481","0.108181068888633","0.0985360650728365","0.117826072704429"
"Keine Sorgen","1987","35-65 J.","634","0.102414405844631","0.0942579573952939","0.110570854293968"
"Keine Sorgen","1987","66 und älter","163","0.149795878767739","0.128169003065389","0.17142275447009"
"Einige Sorgen","1988","16-34 J.","1783","0.474169043270652","0.458313713585388","0.490024372955917"
"Einige Sorgen","1988","35-65 J.","2419","0.484312566596823","0.470514060970168","0.498111072223478"
"Einige Sorgen","1988","66 und älter","426","0.403953837939182","0.373943651982559","0.433964023895806"
"Große Sorgen","1988","16-34 J.","1536","0.401183180185072","0.38561979891874","0.416746561451405"
"Große Sorgen","1988","35-65 J.","2018","0.403021154146233","0.38947801613842","0.416564292154046"
"Große Sorgen","1988","66 und älter","425","0.42960310934197","0.39932803962273","0.459878179061209"
"Keine Sorgen","1988","16-34 J.","491","0.124647776544275","0.11415913385505","0.135136419233501"
"Keine Sorgen","1988","35-65 J.","602","0.112666279256944","0.103936236294578","0.12139632221931"
"Keine Sorgen","1988","66 und älter","176","0.166443052718848","0.143662547933004","0.189223557504692"
"Einige Sorgen","1989","16-34 J.","1792","0.490309792145232","0.474264769745184","0.506354814545281"
"Einige Sorgen","1989","35-65 J.","2298","0.482509207565611","0.468415553595749","0.496602861535472"
