syear,age_gr,bula_h,plh0038,proportion,n,lower_confidence,upper_confidence
1984,46-65 J.,Nordrhein-Westfalen,1.0,0.0460438829787234,12164,0.04231938249561879,0.04976838346182801
1984,30-45 J.,Nordrhein-Westfalen,1.0,0.04504654255319149,12164,0.04136067521536289,0.04873240989102009
1984,17-29 J.,Nordrhein-Westfalen,1.0,0.04147273936170213,12164,0.037929492091562024,0.04501598663184223
1984,30-45 J.,Nordrhein-Westfalen,2.0,0.03399268617021277,12164,0.030772352926687105,0.03721301941373843
1984,30-45 J.,Bayern,1.0,0.030169547872340427,12164,0.02712971172619333,0.033209384018487526
1984,17-29 J.,Nordrhein-Westfalen,2.0,0.028341090425531915,12164,0.02539203413610954,0.03129014671495429
1984,30-45 J.,Baden-Wuerttemberg,1.0,0.0277593085106383,12164,0.024839804445568353,0.030678812575708245
1984,17-29 J.,Bayern,1.0,0.025681515957446808,12164,0.022870400620603266,0.02849263129429035
1984,46-65 J.,Baden-Wuerttemberg,1.0,0.02559840425531915,12164,0.022791721634244158,0.02840508687639414
1984,46-65 J.,Bayern,1.0,0.02476728723404255,12164,0.022005366461857218,0.027529208006227886
1984,46-65 J.,Nordrhein-Westfalen,2.0,0.02318816489361702,12164,0.020513579231689637,0.025862750555544406
1984,17-29 J.,Baden-Wuerttemberg,1.0,0.022606382978723406,12164,0.019964776291961816,0.025247989665484995
1984,30-45 J.,Baden-Wuerttemberg,2.0,0.02210771276595745,12164,0.019494737596653544,0.024720687935261353
1984,30-45 J.,Bayern,2.0,0.021027260638297872,12164,0.018477528759737696,0.023576992516858047
1984,17-29 J.,Baden-Wuerttemberg,2.0,0.020944148936170214,12164,0.018399353026826,0.023488944845514427
1984,46-65 J.,Bayern,2.0,0.020445478723404256,12164,0.01793052027400547,0.022960437172803043
1984,46-65 J.,Baden-Wuerttemberg,2.0,0.020029920212765957,12164,0.017540123533647953,0.02251971689188396
1984,17-29 J.,Hessen,1.0,0.018450797872340427,12164,0.01605923678540415,0.020842358959276705
1984,46-65 J.,Hessen,1.0,0.01720412234042553,12164,0.01489330408497775,0.01951494059587331
1984,17-29 J.,Bayern,2.0,0.016456117021276594,12164,0.014195232294730957,0.01871700174782223
1984,17-29 J.,Niedersachsen,1.0,0.015625,12164,0.013421017375449028,0.017828982624550974
1984,30-45 J.,Hessen,1.0,0.015292553191489361,12164,0.01311177509434341,0.017473331288635312
1984,30-45 J.,Niedersachsen,1.0,0.014876994680851064,12164,0.012725596980522873,0.017028392381179255
1984,66 und älter,Nordrhein-Westfalen,1.0,0.014295212765957447,12164,0.012185678372944632,0.01640474715897026
1984,46-65 J.,Niedersachsen,1.0,0.01371343085106383,12164,0.011646659248724957,0.0157802024534027
1984,30-45 J.,Niedersachsen,2.0,0.013048537234042553,12164,0.011031812253835193,0.015065262214249914
