"plh0038","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1985","(Fach-)Abitur","Laendlicher Raum","42","0.407317061507147","0.315498758434685","0.499135364579609"
"Einige Sorgen","1985","(Fach-)Abitur","Staedtischer Raum","226","","",""
"Einige Sorgen","1985","(noch) kein Abschluss","Laendlicher Raum","44","0.321533957992928","0.243607304004505","0.399460611981352"
"Einige Sorgen","1985","(noch) kein Abschluss","Staedtischer Raum","349","0.380192482921888","0.348790510135744","0.411594455708032"
"Einige Sorgen","1985","AkademikerIn","Laendlicher Raum","52","0.43959739352324","0.351523782395434","0.527671004651046"
"Einige Sorgen","1985","AkademikerIn","Staedtischer Raum","238","","",""
"Einige Sorgen","1985","Hauptschule","Laendlicher Raum","694","0.441876618791854","0.417121844801193","0.466631392782515"
"Einige Sorgen","1985","Hauptschule","Staedtischer Raum","1901","","",""
"Einige Sorgen","1985","Realschule","Laendlicher Raum","185","","",""
"Einige Sorgen","1985","Realschule","Staedtischer Raum","531","0.381075620232746","0.355590577575459","0.406560662890033"
"Grosse Sorgen","1985","(Fach-)Abitur","Laendlicher Raum","59","0.496371237164772","0.402936081178864","0.589806393150679"
"Grosse Sorgen","1985","(Fach-)Abitur","Staedtischer Raum","388","0.583165514697649","0.54588849420951","0.620442535185788"
"Grosse Sorgen","1985","(noch) kein Abschluss","Laendlicher Raum","65","0.478937370816583","0.395589813968384","0.562284927664781"
"Grosse Sorgen","1985","(noch) kein Abschluss","Staedtischer Raum","397","0.440441691441608","0.408327748184062","0.472555634699153"
"Grosse Sorgen","1985","AkademikerIn","Laendlicher Raum","62","0.495217716456899","0.406498374021525","0.583937058892274"
"Grosse Sorgen","1985","AkademikerIn","Staedtischer Raum","336","0.515173804234477","0.47602388694173","0.554323721527225"
"Grosse Sorgen","1985","Hauptschule","Laendlicher Raum","692","0.457011703353681","0.432180244129798","0.481843162577565"
"Grosse Sorgen","1985","Hauptschule","Staedtischer Raum","2342","","",""
"Grosse Sorgen","1985","Realschule","Laendlicher Raum","184","","",""
"Grosse Sorgen","1985","Realschule","Staedtischer Raum","711","0.512413381060055","0.48618345250577","0.538643309614339"
"Keine Sorgen","1985","(Fach-)Abitur","Laendlicher Raum","9","0.0963117013280812","0.0411801002248021","0.15144330243136"
"Keine Sorgen","1985","(Fach-)Abitur","Staedtischer Raum","58","0.0718969994825112","0.052366339201277","0.0914276597637454"
"Keine Sorgen","1985","(noch) kein Abschluss","Laendlicher Raum","29","","",""
"Keine Sorgen","1985","(noch) kein Abschluss","Staedtischer Raum","172","","",""
"Keine Sorgen","1985","AkademikerIn","Laendlicher Raum","8","0.0651848900198607","0.0213818244274278","0.108987955612294"
"Keine Sorgen","1985","AkademikerIn","Staedtischer Raum","52","0.0968987439028897","0.0737254259088798","0.1200720618969"
"Keine Sorgen","1985","Hauptschule","Laendlicher Raum","160","","",""
"Keine Sorgen","1985","Hauptschule","Staedtischer Raum","581","0.108570114665088","0.0997911523532271","0.117349076976948"
"Keine Sorgen","1985","Realschule","Laendlicher Raum","34","0.0869172308041375","0.0594127417102254","0.11442171989805"
"Keine Sorgen","1985","Realschule","Staedtischer Raum","153","","",""
"Einige Sorgen","1986","(Fach-)Abitur","Laendlicher Raum","38","0.336169493696266","0.251648377982687","0.420690609409844"
"Einige Sorgen","1986","(Fach-)Abitur","Staedtischer Raum","267","","",""
"Einige Sorgen","1986","(noch) kein Abschluss","Laendlicher Raum","50","0.412671543824043","0.326366561614315","0.498976526033772"
"Einige Sorgen","1986","(noch) kein Abschluss","Staedtischer Raum","357","0.421232062629745","0.388738358368719","0.453725766890772"
"Einige Sorgen","1986","AkademikerIn","Laendlicher Raum","56","0.448359342008461","0.360824995485433","0.535893688531488"
"Einige Sorgen","1986","AkademikerIn","Staedtischer Raum","268","","",""
"Einige Sorgen","1986","Hauptschule","Laendlicher Raum","644","0.442247584708922","0.416771943264108","0.467723226153735"
"Einige Sorgen","1986","Hauptschule","Staedtischer Raum","1898","","",""
"Einige Sorgen","1986","Realschule","Laendlicher Raum","164","","",""
"Einige Sorgen","1986","Realschule","Staedtischer Raum","566","0.421961283908184","0.395828492511371","0.448094075304998"
"Grosse Sorgen","1986","(Fach-)Abitur","Laendlicher Raum","70","0.573025317752212","0.484524876646026","0.661525758858399"
"Grosse Sorgen","1986","(Fach-)Abitur","Staedtischer Raum","357","0.510952210409042","0.473490652751015","0.548413768067069"
"Grosse Sorgen","1986","(noch) kein Abschluss","Laendlicher Raum","49","0.392572797948112","0.306967566746382","0.478178029149841"
"Grosse Sorgen","1986","(noch) kein Abschluss","Staedtischer Raum","364","0.396566464198827","0.364373646158868","0.428759282238785"
"Grosse Sorgen","1986","AkademikerIn","Laendlicher Raum","53","0.419790919518576","0.33292567845874","0.506656160578411"
"Grosse Sorgen","1986","AkademikerIn","Staedtischer Raum","301","0.465591318325165","0.426390774869848","0.504791861780482"
"Grosse Sorgen","1986","Hauptschule","Laendlicher Raum","612","0.426110520728661","0.400744816550387","0.451476224906935"
