"plh0038","year","bula_h","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Einige Sorgen","1984","Hamburg","Westdeutschland","90","0.302561410176404","0.251176138395091","0.353946681957717"
"Einige Sorgen","1984","Hamburg","Ostdeutschland","","","",""
"Einige Sorgen","1984","Niedersachsen","Westdeutschland","471","0.392603134701954","0.365133562106176","0.420072707297731"
"Einige Sorgen","1984","Niedersachsen","Ostdeutschland","","","",""
"Einige Sorgen","1984","Bremen","Westdeutschland","23","","",""
"Einige Sorgen","1984","Bremen","Ostdeutschland","","","",""
"Einige Sorgen","1984","Nordrhein-Westfalen","Westdeutschland","1115","0.336958829511051","0.320610002191592","0.353307656830509"
"Einige Sorgen","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Einige Sorgen","1984","Hessen","Westdeutschland","444","0.364241879607589","0.337490054044981","0.390993705170197"
"Einige Sorgen","1984","Hessen","Ostdeutschland","","","",""
"Einige Sorgen","1984","Rheinland-Pfalz,Saarland","Westdeutschland","352","0.429071172735617","0.395699698618519","0.462442646852715"
"Einige Sorgen","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Einige Sorgen","1984","Baden-Wuerttemberg","Westdeutschland","833","0.394486520442036","0.374210674269867","0.414762366614205"
"Einige Sorgen","1984","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Einige Sorgen","1984","Bayern","Westdeutschland","797","0.391818417604397","0.370738275406087","0.412898559802706"
"Einige Sorgen","1984","Bayern","Ostdeutschland","","","",""
"Einige Sorgen","1984","Saarland","Westdeutschland","","","",""
"Einige Sorgen","1984","Saarland","Ostdeutschland","","","",""
"Einige Sorgen","1984","Berlin","Westdeutschland","131","0.31936332239402","0.273900373582188","0.364826271205853"
"Einige Sorgen","1984","Berlin","Ostdeutschland","","","",""
"Einige Sorgen","1984","Brandenburg","Westdeutschland","","","",""
"Einige Sorgen","1984","Brandenburg","Ostdeutschland","","","",""
"Einige Sorgen","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Einige Sorgen","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Einige Sorgen","1984","Sachsen","Westdeutschland","","","",""
"Einige Sorgen","1984","Sachsen","Ostdeutschland","","","",""
"Einige Sorgen","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"Einige Sorgen","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"Einige Sorgen","1984","Thueringen","Westdeutschland","","","",""
"Einige Sorgen","1984","Thueringen","Ostdeutschland","","","",""
"Keine Sorgen","1984","Schleswig-Holstein","Westdeutschland","47","0.124206067833634","0.0912181540178392","0.157193981649429"
"Keine Sorgen","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"Keine Sorgen","1984","Hamburg","Westdeutschland","38","0.113416117851624","0.0779448911502194","0.148887344553029"
"Keine Sorgen","1984","Hamburg","Ostdeutschland","","","",""
"Keine Sorgen","1984","Niedersachsen","Westdeutschland","132","0.0981505505002998","0.0814145322875969","0.114886568713003"
"Keine Sorgen","1984","Niedersachsen","Ostdeutschland","","","",""
"Keine Sorgen","1984","Bremen","Westdeutschland","16","","",""
"Keine Sorgen","1984","Bremen","Ostdeutschland","","","",""
"Keine Sorgen","1984","Nordrhein-Westfalen","Westdeutschland","329","0.0889637699065792","0.0791168058763038","0.0988107339368545"
"Keine Sorgen","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Keine Sorgen","1984","Hessen","Westdeutschland","136","0.098457950157035","0.0818952585476146","0.115020641766455"
"Keine Sorgen","1984","Hessen","Ostdeutschland","","","",""
"Keine Sorgen","1984","Rheinland-Pfalz,Saarland","Westdeutschland","51","0.0529712631489336","0.037869714713152","0.0680728115847153"
