year,age_gr,migback,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,No migration background,Very often,0.01816,56,3120,0.01347,0.02284
2003,17-29 y.,No migration background,Often,0.09003,291,3120,0.07998,0.10007
2003,17-29 y.,No migration background,Sometimes,0.26691,852,3120,0.25138,0.28243
2003,17-29 y.,No migration background,Seldom,0.35819,1152,3120,0.34136,0.37502
2003,17-29 y.,No migration background,Never,0.26497,769,3120,0.24948,0.28046
2003,17-29 y.,Direct migration background,Sometimes,0.29188,101,340,0.24349,0.34028
2003,17-29 y.,Direct migration background,Seldom,0.29732,116,340,0.24867,0.34598
2003,17-29 y.,Direct migration background,Never,0.30786,123,340,0.25872,0.35700
2003,17-29 y.,Indirect migration background,Often,0.13194,59,490,0.10195,0.16194
2003,17-29 y.,Indirect migration background,Sometimes,0.28111,146,490,0.24127,0.32096
2003,17-29 y.,Indirect migration background,Seldom,0.32024,164,490,0.27888,0.36159
2003,17-29 y.,Indirect migration background,Never,0.23385,121,490,0.19634,0.27137
2003,30-45 y.,No migration background,Often,0.01685,95,5785,0.01353,0.02017
2003,30-45 y.,No migration background,Sometimes,0.14687,771,5785,0.13774,0.15599
2003,30-45 y.,No migration background,Seldom,0.40185,2275,5785,0.38922,0.41449
2003,30-45 y.,No migration background,Never,0.42709,2644,5785,0.41434,0.43984
2003,30-45 y.,Direct migration background,Often,0.04819,42,873,0.03398,0.06241
2003,30-45 y.,Direct migration background,Sometimes,0.21441,189,873,0.18717,0.24165
2003,30-45 y.,Direct migration background,Seldom,0.29684,259,873,0.26652,0.32716
2003,30-45 y.,Direct migration background,Never,0.41458,383,873,0.38188,0.44728
2003,30-45 y.,Indirect migration background,Sometimes,0.19903,39,198,0.14328,0.25479
2003,30-45 y.,Indirect migration background,Seldom,0.39940,87,198,0.33101,0.46780
2003,30-45 y.,Indirect migration background,Never,0.33249,72,198,0.26671,0.39828
2003,46-65 y.,No migration background,Often,0.01313,67,6482,0.01036,0.01591
2003,46-65 y.,No migration background,Sometimes,0.08672,548,6482,0.07987,0.09357
2003,46-65 y.,No migration background,Seldom,0.29466,2018,6482,0.28356,0.30575
2003,46-65 y.,No migration background,Never,0.59554,3849,6482,0.58360,0.60749
2003,46-65 y.,Direct migration background,Sometimes,0.16048,143,942,0.13703,0.18393
2003,46-65 y.,Direct migration background,Seldom,0.24787,262,942,0.22028,0.27546
2003,46-65 y.,Direct migration background,Never,0.53441,537,942,0.50254,0.56628
2003,66 and older,No migration background,Sometimes,0.03769,133,3207,0.03110,0.04429
2003,66 and older,No migration background,Seldom,0.18656,621,3207,0.17307,0.20004
2003,66 and older,No migration background,Never,0.75512,2453,3207,0.74023,0.77000
2003,66 and older,Direct migration background,Sometimes,0.08021,31,341,0.05134,0.10908
2003,66 and older,Direct migration background,Seldom,0.17803,63,341,0.13736,0.21869
2003,66 and older,Direct migration background,Never,0.69696,247,341,0.64811,0.74581
2008,17-29 y.,No migration background,Very often,0.01956,46,2494,0.01412,0.02500
2008,17-29 y.,No migration background,Often,0.08104,216,2494,0.07033,0.09175
2008,17-29 y.,No migration background,Sometimes,0.23060,615,2494,0.21407,0.24714
2008,17-29 y.,No migration background,Seldom,0.35229,947,2494,0.33354,0.37104
2008,17-29 y.,No migration background,Never,0.24369,670,2494,0.22684,0.26054
2008,17-29 y.,Direct migration background,Sometimes,0.30410,67,211,0.24188,0.36632
2008,17-29 y.,Direct migration background,Seldom,0.31185,78,211,0.24920,0.37451
2008,17-29 y.,Direct migration background,Never,0.29587,66,211,0.23413,0.35760
2008,17-29 y.,Indirect migration background,Often,0.07132,35,426,0.04685,0.09579
2008,17-29 y.,Indirect migration background,Sometimes,0.24194,118,426,0.20122,0.28266
2008,17-29 y.,Indirect migration background,Seldom,0.28978,141,426,0.24665,0.33291
2008,17-29 y.,Indirect migration background,Never,0.27056,132,426,0.22833,0.31280
2008,30-45 y.,No migration background,Often,0.01668,55,4265,0.01283,0.02052
2008,30-45 y.,No migration background,Sometimes,0.13694,519,4265,0.12662,0.14726
2008,30-45 y.,No migration background,Seldom,0.39511,1659,4265,0.38044,0.40979
2008,30-45 y.,No migration background,Never,0.44370,2032,4265,0.42878,0.45861
2008,30-45 y.,Direct migration background,Sometimes,0.16308,110,574,0.13283,0.19333
2008,30-45 y.,Direct migration background,Seldom,0.34931,204,574,0.31027,0.38835
2008,30-45 y.,Direct migration background,Never,0.43485,260,574,0.39425,0.47544
2008,30-45 y.,Indirect migration background,Sometimes,0.11962,46,248,0.07915,0.16009
2008,30-45 y.,Indirect migration background,Seldom,0.37374,111,248,0.31340,0.43407
2008,30-45 y.,Indirect migration background,Never,0.38551,91,248,0.32481,0.44621
2008,46-65 y.,No migration background,Often,0.01165,52,5883,0.00890,0.01439
2008,46-65 y.,No migration background,Sometimes,0.08271,489,5883,0.07567,0.08975
2008,46-65 y.,No migration background,Seldom,0.29657,1815,5883,0.28489,0.30824
2008,46-65 y.,No migration background,Never,0.59831,3527,5883,0.58578,0.61084
2008,46-65 y.,Direct migration background,Sometimes,0.13678,100,680,0.11093,0.16262
2008,46-65 y.,Direct migration background,Seldom,0.28440,200,680,0.25047,0.31834
2008,46-65 y.,Direct migration background,Never,0.53464,380,680,0.49712,0.57216
2008,66 and older,No migration background,Sometimes,0.04522,180,3837,0.03864,0.05179
2008,66 and older,No migration background,Seldom,0.19745,795,3837,0.18486,0.21005
2008,66 and older,No migration background,Never,0.73476,2862,3837,0.72079,0.74873
2008,66 and older,Direct migration background,Sometimes,0.09391,33,359,0.06369,0.12412
2008,66 and older,Direct migration background,Seldom,0.21008,74,359,0.16788,0.25228
2008,66 and older,Direct migration background,Never,0.67541,252,359,0.62691,0.72391
2013,17-29 y.,No migration background,Often,0.07525,253,2775,0.06544,0.08507
2013,17-29 y.,No migration background,Sometimes,0.24609,783,2775,0.23006,0.26212
2013,17-29 y.,No migration background,Seldom,0.32968,1010,2775,0.31219,0.34718
2013,17-29 y.,No migration background,Never,0.23294,729,2775,0.21721,0.24867
2013,17-29 y.,Direct migration background,Sometimes,0.11666,70,267,0.07808,0.15524
2013,17-29 y.,Direct migration background,Seldom,0.12052,91,267,0.08139,0.15965
2013,17-29 y.,Direct migration background,Never,0.09292,106,267,0.05803,0.12781
2013,17-29 y.,Indirect migration background,Often,0.04288,58,464,0.02443,0.06133
2013,17-29 y.,Indirect migration background,Sometimes,0.09664,128,464,0.06973,0.12355
2013,17-29 y.,Indirect migration background,Seldom,0.18054,162,464,0.14550,0.21557
2013,17-29 y.,Indirect migration background,Never,0.11044,116,464,0.08189,0.13899
2013,30-45 y.,No migration background,Often,0.01952,123,6229,0.01608,0.02296
2013,30-45 y.,No migration background,Sometimes,0.13448,728,6229,0.12600,0.14295
2013,30-45 y.,No migration background,Seldom,0.38232,2289,6229,0.37025,0.39439
2013,30-45 y.,No migration background,Never,0.43617,3089,6229,0.42386,0.44849
2013,30-45 y.,Direct migration background,Often,0.02366,53,1206,0.01508,0.03224
2013,30-45 y.,Direct migration background,Sometimes,0.08304,241,1206,0.06746,0.09863
2013,30-45 y.,Direct migration background,Seldom,0.14242,367,1206,0.12269,0.16215
2013,30-45 y.,Direct migration background,Never,0.16493,545,1206,0.14397,0.18588
2013,30-45 y.,Indirect migration background,Sometimes,0.12984,91,478,0.09968,0.16001
2013,30-45 y.,Indirect migration background,Seldom,0.22138,181,478,0.18412,0.25864
2013,30-45 y.,Indirect migration background,Never,0.23995,206,478,0.20162,0.27827
2013,46-65 y.,No migration background,Often,0.01594,112,7926,0.01318,0.01869
2013,46-65 y.,No migration background,Sometimes,0.08866,754,7926,0.08240,0.09492
2013,46-65 y.,No migration background,Seldom,0.32525,2503,7926,0.31494,0.33556
2013,46-65 y.,No migration background,Never,0.55491,4557,7926,0.54397,0.56585
2013,46-65 y.,Direct migration background,Often,0.02654,41,864,0.01582,0.03726
2013,46-65 y.,Direct migration background,Sometimes,0.10779,135,864,0.08710,0.12848
2013,46-65 y.,Direct migration background,Seldom,0.19170,253,864,0.16544,0.21796
2013,46-65 y.,Direct migration background,Never,0.33341,435,864,0.30195,0.36486
2013,46-65 y.,Indirect migration background,Seldom,0.32109,48,121,0.23755,0.40463
2013,46-65 y.,Indirect migration background,Never,0.45252,73,121,0.36346,0.54158
2013,66 and older,No migration background,Often,0.00913,31,4517,0.00636,0.01190
2013,66 and older,No migration background,Sometimes,0.05504,234,4517,0.04839,0.06169
2013,66 and older,No migration background,Seldom,0.20009,934,4517,0.18842,0.21176
2013,66 and older,No migration background,Never,0.72116,3318,4517,0.70808,0.73424
2013,66 and older,Direct migration background,Seldom,0.18749,73,338,0.14581,0.22916
2013,66 and older,Direct migration background,Never,0.65361,265,338,0.60280,0.70441
2018,17-29 y.,No migration background,Very often,0.01677,65,2904,0.01210,0.02145
2018,17-29 y.,No migration background,Often,0.11910,341,2904,0.10732,0.13089
2018,17-29 y.,No migration background,Sometimes,0.29077,932,2904,0.27425,0.30729
2018,17-29 y.,No migration background,Seldom,0.30911,980,2904,0.29230,0.32592
2018,17-29 y.,No migration background,Never,0.19677,586,2904,0.18231,0.21123
2018,17-29 y.,Direct migration background,Often,0.12505,65,541,0.09715,0.15294
2018,17-29 y.,Direct migration background,Sometimes,0.16418,144,541,0.13293,0.19542
2018,17-29 y.,Direct migration background,Seldom,0.19920,157,541,0.16551,0.23289
2018,17-29 y.,Direct migration background,Never,0.26776,175,541,0.23041,0.30511
2018,17-29 y.,Indirect migration background,Often,0.13127,111,793,0.10775,0.15478
2018,17-29 y.,Indirect migration background,Sometimes,0.32353,292,793,0.29095,0.35611
2018,17-29 y.,Indirect migration background,Seldom,0.23610,219,793,0.20652,0.26568
2018,17-29 y.,Indirect migration background,Never,0.22105,171,793,0.19215,0.24995
2018,30-45 y.,No migration background,Often,0.03260,129,4194,0.02723,0.03798
2018,30-45 y.,No migration background,Sometimes,0.21831,786,4194,0.20580,0.23081
2018,30-45 y.,No migration background,Seldom,0.41647,1696,4194,0.40155,0.43139
2018,30-45 y.,No migration background,Never,0.32842,1583,4194,0.31421,0.34264
2018,30-45 y.,Direct migration background,Often,0.05698,110,1928,0.04663,0.06733
2018,30-45 y.,Direct migration background,Sometimes,0.21595,408,1928,0.19758,0.23433
2018,30-45 y.,Direct migration background,Seldom,0.30876,619,1928,0.28814,0.32939
2018,30-45 y.,Direct migration background,Never,0.35491,791,1928,0.33354,0.37627
2018,30-45 y.,Indirect migration background,Often,0.09596,36,549,0.07130,0.12062
2018,30-45 y.,Indirect migration background,Sometimes,0.27039,119,549,0.23321,0.30758
2018,30-45 y.,Indirect migration background,Seldom,0.31264,201,549,0.27383,0.35145
2018,30-45 y.,Indirect migration background,Never,0.30027,193,549,0.26189,0.33865
2018,46-65 y.,No migration background,Often,0.01672,125,7757,0.01387,0.01957
2018,46-65 y.,No migration background,Sometimes,0.12623,974,7757,0.11884,0.13362
2018,46-65 y.,No migration background,Seldom,0.36798,2789,7757,0.35724,0.37871
2018,46-65 y.,No migration background,Never,0.48307,3869,7757,0.47195,0.49419
2018,46-65 y.,Direct migration background,Often,0.05631,85,1547,0.04482,0.06780
2018,46-65 y.,Direct migration background,Sometimes,0.20291,278,1547,0.18286,0.22295
2018,46-65 y.,Direct migration background,Seldom,0.25303,422,1547,0.23136,0.27471
2018,46-65 y.,Direct migration background,Never,0.45449,762,1547,0.42967,0.47931
