year,age_gr,bula_h,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Schleswig-Holstein,Seldom,0.51451,47,47,0.37007,0.65894
2003,17-29 y.,Lower Saxony,Often,0.11693,34,322,0.08178,0.15209
2003,17-29 y.,Lower Saxony,Sometimes,0.30125,105,322,0.25106,0.35144
2003,17-29 y.,Lower Saxony,Seldom,0.32289,114,322,0.27174,0.37405
2003,17-29 y.,Lower Saxony,Never,0.22520,69,322,0.17951,0.27090
2003,17-29 y.,North Rhine-Westphalia,Often,0.10034,92,755,0.07889,0.12179
2003,17-29 y.,North Rhine-Westphalia,Sometimes,0.30300,226,755,0.27019,0.33580
2003,17-29 y.,North Rhine-Westphalia,Seldom,0.32540,255,755,0.29195,0.35884
2003,17-29 y.,North Rhine-Westphalia,Never,0.23210,182,755,0.20197,0.26224
2003,17-29 y.,Hesse,Sometimes,0.35199,78,216,0.28815,0.41583
2003,17-29 y.,Hesse,Seldom,0.26682,80,216,0.20770,0.32594
2003,17-29 y.,Hesse,Never,0.23299,58,216,0.17648,0.28950
2003,17-29 y.,"Rhineland-Palatinate, Saarland",Sometimes,0.24819,65,206,0.18906,0.30732
2003,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.35849,77,206,0.29284,0.42414
2003,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.31636,64,206,0.25270,0.38003
2003,17-29 y.,Baden-Wuerttemberg,Often,0.09018,51,506,0.06520,0.11516
2003,17-29 y.,Baden-Wuerttemberg,Sometimes,0.24858,135,506,0.21089,0.28628
2003,17-29 y.,Baden-Wuerttemberg,Seldom,0.34307,176,506,0.30167,0.38448
2003,17-29 y.,Baden-Wuerttemberg,Never,0.29910,144,506,0.25917,0.33903
2003,17-29 y.,Bavaria,Often,0.10698,63,549,0.08110,0.13286
2003,17-29 y.,Bavaria,Sometimes,0.25722,153,549,0.22062,0.29382
2003,17-29 y.,Bavaria,Seldom,0.36234,202,549,0.32209,0.40259
2003,17-29 y.,Bavaria,Never,0.24765,131,549,0.21151,0.28379
2003,17-29 y.,Berlin,Sometimes,0.34278,68,126,0.25957,0.42599
2003,17-29 y.,Berlin,Seldom,0.32905,58,126,0.24668,0.41143
2003,17-29 y.,Brandenburg,Sometimes,0.27192,40,176,0.20600,0.33784
2003,17-29 y.,Brandenburg,Seldom,0.37600,82,176,0.30423,0.44776
2003,17-29 y.,Brandenburg,Never,0.31169,54,176,0.24306,0.38031
2003,17-29 y.,Mecklenburg-Western Pomerania,Seldom,0.35957,39,39,0.20699,0.51215
