year,migback,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,Very often,0.00352,83,18634,0.00267,0.00437
2003,No migration background,Often,0.02000,466,18634,0.01799,0.02201
2003,No migration background,Sometimes,0.10212,2304,18634,0.09777,0.10647
2003,No migration background,Seldom,0.26460,6066,18634,0.25827,0.27094
2003,No migration background,Never,0.45429,9715,18634,0.44714,0.46144
2003,Direct migration background,Often,0.03906,98,2552,0.03154,0.04657
2003,Direct migration background,Sometimes,0.17807,464,2552,0.16322,0.19291
2003,Direct migration background,Seldom,0.24785,700,2552,0.23110,0.26461
2003,Direct migration background,Never,0.45805,1290,2552,0.43871,0.47738
2003,Indirect migration background,Often,0.03762,70,756,0.02405,0.05120
2003,Indirect migration background,Sometimes,0.09758,194,756,0.07642,0.11875
2003,Indirect migration background,Seldom,0.13000,264,756,0.10601,0.15399
2003,Indirect migration background,Never,0.11512,228,756,0.09235,0.13789
2008,No migration background,Very often,0.00430,76,16532,0.00330,0.00529
2008,No migration background,Often,0.01974,346,16532,0.01762,0.02186
2008,No migration background,Sometimes,0.09632,1803,16532,0.09182,0.10082
2008,No migration background,Seldom,0.26525,5216,16532,0.25852,0.27198
2008,No migration background,Never,0.46284,9091,16532,0.45524,0.47045
2008,Direct migration background,Often,0.03160,53,1877,0.02368,0.03952
2008,Direct migration background,Sometimes,0.15716,310,1877,0.14069,0.17363
2008,Direct migration background,Seldom,0.28813,556,1877,0.26764,0.30863
2008,Direct migration background,Never,0.48617,958,1877,0.46355,0.50878
2008,Indirect migration background,Often,0.03988,53,751,0.02587,0.05388
2008,Indirect migration background,Sometimes,0.10344,173,751,0.08165,0.12524
2008,Indirect migration background,Seldom,0.16277,265,751,0.13635,0.18918
2008,Indirect migration background,Never,0.17866,260,751,0.15125,0.20608
2013,No migration background,Very often,0.00206,69,21516,0.00145,0.00267
2013,No migration background,Often,0.02064,519,21516,0.01874,0.02254
2013,No migration background,Sometimes,0.09825,2499,21516,0.09427,0.10222
2013,No migration background,Seldom,0.26474,6736,21516,0.25885,0.27064
2013,No migration background,Never,0.45725,11693,21516,0.45059,0.46391
2013,Direct migration background,Often,0.01986,114,2725,0.01462,0.02510
2013,Direct migration background,Sometimes,0.09226,476,2725,0.08139,0.10313
2013,Direct migration background,Seldom,0.15721,784,2725,0.14354,0.17088
2013,Direct migration background,Never,0.27438,1351,2725,0.25763,0.29114
2013,Indirect migration background,Often,0.01791,87,1113,0.01012,0.02571
2013,Indirect migration background,Sometimes,0.05541,236,1113,0.04197,0.06886
2013,Indirect migration background,Seldom,0.10457,392,1113,0.08658,0.12256
2013,Indirect migration background,Never,0.09500,398,1113,0.07776,0.11223
2018,No migration background,Very often,0.00395,119,19387,0.00306,0.00483
2018,No migration background,Often,0.02874,641,19387,0.02638,0.03109
2018,No migration background,Sometimes,0.13445,2997,19387,0.12964,0.13925
2018,No migration background,Seldom,0.28778,6551,19387,0.28141,0.29416
2018,No migration background,Never,0.40463,9079,19387,0.39772,0.41154
2018,Direct migration background,Very often,0.01016,60,4523,0.00723,0.01308
2018,Direct migration background,Often,0.05727,269,4523,0.05050,0.06404
2018,Direct migration background,Sometimes,0.17855,882,4523,0.16739,0.18971
2018,Direct migration background,Seldom,0.25382,1300,4523,0.24114,0.26651
2018,Direct migration background,Never,0.39664,2012,4523,0.38238,0.41090
2018,Indirect migration background,Very often,0.00713,32,1628,0.00304,0.01122
2018,Indirect migration background,Often,0.06013,156,1628,0.04858,0.07169
2018,Indirect migration background,Sometimes,0.15410,457,1628,0.13656,0.17164
2018,Indirect migration background,Seldom,0.14734,500,1628,0.13011,0.16456
2018,Indirect migration background,Never,0.14549,483,1628,0.12836,0.16262
