year,quintil_oecd,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,Often,0.02208,93,3334,0.01709,0.02707
2003,1st Quintile,Sometimes,0.11494,479,3334,0.10412,0.12577
2003,1st Quintile,Seldom,0.19012,859,3334,0.17680,0.20344
2003,1st Quintile,Never,0.44665,1903,3334,0.42977,0.46352
2003,2nd Quintile,Often,0.02374,108,3811,0.01891,0.02857
2003,2nd Quintile,Sometimes,0.10134,499,3811,0.09175,0.11092
2003,2nd Quintile,Seldom,0.21634,1059,3811,0.20327,0.22942
2003,2nd Quintile,Never,0.44192,2145,3811,0.42615,0.45769
2003,3rd Quintile,Often,0.01658,98,4076,0.01266,0.02050
2003,3rd Quintile,Sometimes,0.09542,490,4076,0.08640,0.10444
2003,3rd Quintile,Seldom,0.24423,1292,4076,0.23104,0.25742
2003,3rd Quintile,Never,0.45456,2196,4076,0.43927,0.46985
2003,4th Quintile,Often,0.02677,136,4381,0.02199,0.03155
2003,4th Quintile,Sometimes,0.11192,603,4381,0.10258,0.12126
2003,4th Quintile,Seldom,0.30840,1563,4381,0.29473,0.32208
2003,4th Quintile,Never,0.40361,2079,4381,0.38908,0.41814
2003,5th Quintile,Very often,0.00386,41,6294,0.00233,0.00540
2003,5th Quintile,Often,0.02655,197,6294,0.02258,0.03053
2003,5th Quintile,Sometimes,0.12861,891,6294,0.12034,0.13689
2003,5th Quintile,Seldom,0.31129,2256,6294,0.29985,0.32273
2003,5th Quintile,Never,0.41756,2909,6294,0.40537,0.42974
2008,1st Quintile,Often,0.02838,88,2965,0.02241,0.03436
2008,1st Quintile,Sometimes,0.10498,387,2965,0.09395,0.11602
2008,1st Quintile,Seldom,0.20537,757,2965,0.19082,0.21991
2008,1st Quintile,Never,0.44761,1733,2965,0.42971,0.46551
2008,2nd Quintile,Often,0.01550,64,3313,0.01130,0.01971
2008,2nd Quintile,Sometimes,0.09423,339,3313,0.08428,0.10418
2008,2nd Quintile,Seldom,0.22806,960,3313,0.21377,0.24235
2008,2nd Quintile,Never,0.46255,1950,3313,0.44557,0.47953
2008,3rd Quintile,Often,0.02421,80,3730,0.01928,0.02915
2008,3rd Quintile,Sometimes,0.09614,422,3730,0.08668,0.10560
2008,3rd Quintile,Seldom,0.26142,1171,3730,0.24732,0.27553
2008,3rd Quintile,Never,0.44092,2057,3730,0.42498,0.45685
2008,4th Quintile,Often,0.02403,96,3893,0.01922,0.02884
2008,4th Quintile,Sometimes,0.09680,445,3893,0.08751,0.10609
2008,4th Quintile,Seldom,0.29290,1317,3893,0.27860,0.30720
2008,4th Quintile,Never,0.43407,2035,3893,0.41850,0.44964
2008,5th Quintile,Often,0.02101,124,5182,0.01710,0.02492
2008,5th Quintile,Sometimes,0.12574,693,5182,0.11672,0.13477
2008,5th Quintile,Seldom,0.31085,1832,5182,0.29824,0.32345
2008,5th Quintile,Never,0.42919,2533,5182,0.41571,0.44267
2013,1st Quintile,Often,0.02362,214,5070,0.01944,0.02780
2013,1st Quintile,Sometimes,0.10516,746,5070,0.09671,0.11360
2013,1st Quintile,Seldom,0.20367,1325,5070,0.19258,0.21476
2013,1st Quintile,Never,0.46505,2785,5070,0.45132,0.47878
2013,2nd Quintile,Often,0.01728,141,5108,0.01371,0.02086
2013,2nd Quintile,Sometimes,0.09176,588,5108,0.08384,0.09968
2013,2nd Quintile,Seldom,0.22858,1480,5108,0.21707,0.24010
2013,2nd Quintile,Never,0.48017,2899,5108,0.46646,0.49387
2013,3rd Quintile,Often,0.02323,124,4855,0.01899,0.02746
2013,3rd Quintile,Sometimes,0.09092,558,4855,0.08284,0.09901
2013,3rd Quintile,Seldom,0.24405,1510,4855,0.23196,0.25613
2013,3rd Quintile,Never,0.46997,2663,4855,0.45593,0.48402
2013,4th Quintile,Often,0.02598,128,4840,0.02150,0.03047
2013,4th Quintile,Sometimes,0.11135,591,4840,0.10249,0.12022
2013,4th Quintile,Seldom,0.30292,1685,4840,0.28997,0.31587
2013,4th Quintile,Never,0.41574,2436,4840,0.40185,0.42963
2013,5th Quintile,Often,0.02208,113,5408,0.01817,0.02600
2013,5th Quintile,Sometimes,0.11925,727,5408,0.11061,0.12788
2013,5th Quintile,Seldom,0.32854,1911,5408,0.31602,0.34106
2013,5th Quintile,Never,0.41646,2657,5408,0.40332,0.42960
2018,1st Quintile,Very often,0.00793,67,4647,0.00538,0.01048
2018,1st Quintile,Often,0.04163,240,4647,0.03589,0.04737
2018,1st Quintile,Sometimes,0.13321,869,4647,0.12344,0.14298
2018,1st Quintile,Seldom,0.20284,1257,4647,0.19128,0.21440
2018,1st Quintile,Never,0.37435,2214,4647,0.36043,0.38826
2018,2nd Quintile,Very often,0.00397,39,5234,0.00227,0.00568
2018,2nd Quintile,Often,0.02697,204,5234,0.02258,0.03136
2018,2nd Quintile,Sometimes,0.14124,880,5234,0.13181,0.15068
2018,2nd Quintile,Seldom,0.23355,1582,5234,0.22208,0.24501
2018,2nd Quintile,Never,0.41039,2529,5234,0.39706,0.42372
2018,3rd Quintile,Often,0.03127,163,4711,0.02630,0.03624
2018,3rd Quintile,Sometimes,0.12769,744,4711,0.11815,0.13722
2018,3rd Quintile,Seldom,0.27346,1587,4711,0.26073,0.28619
2018,3rd Quintile,Never,0.40155,2217,4711,0.38755,0.41555
2018,4th Quintile,Often,0.03846,180,4574,0.03289,0.04404
2018,4th Quintile,Sometimes,0.14390,732,4574,0.13373,0.15407
2018,4th Quintile,Seldom,0.31753,1702,4574,0.30403,0.33102
2018,4th Quintile,Never,0.36091,1960,4574,0.34699,0.37483
2018,5th Quintile,Often,0.03362,176,5047,0.02864,0.03859
2018,5th Quintile,Sometimes,0.16420,868,5047,0.15398,0.17442
2018,5th Quintile,Seldom,0.33257,1941,5047,0.31957,0.34557
2018,5th Quintile,Never,0.35749,2062,5047,0.34427,0.37071
