year,sampreg,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,West,Very often,0.00532,116,16672,0.00422,0.00643
2003,West,Often,0.02488,529,16672,0.02252,0.02724
2003,West,Sometimes,0.11530,2402,16672,0.11045,0.12014
2003,West,Seldom,0.25555,5408,16672,0.24893,0.26217
2003,West,Never,0.41599,8217,16672,0.40850,0.42347
2003,East,Often,0.01611,105,5303,0.01273,0.01950
2003,East,Sometimes,0.08835,560,5303,0.08071,0.09598
2003,East,Seldom,0.24714,1622,5303,0.23552,0.25875
2003,East,Never,0.50903,3016,5303,0.49557,0.52248
2008,West,Very often,0.00458,77,14440,0.00348,0.00568
2008,West,Often,0.02403,384,14440,0.02153,0.02653
2008,West,Sometimes,0.10745,1838,14440,0.10240,0.11250
2008,West,Seldom,0.25680,4586,14440,0.24967,0.26393
2008,West,Never,0.43263,7555,14440,0.42455,0.44072
2008,East,Often,0.01618,68,4721,0.01258,0.01978
2008,East,Sometimes,0.08564,448,4721,0.07765,0.09362
2008,East,Seldom,0.27281,1451,4721,0.26010,0.28552
2008,East,Never,0.49040,2754,4721,0.47614,0.50466
2013,West,Very often,0.00217,80,19687,0.00152,0.00282
2013,West,Often,0.02233,624,19687,0.02027,0.02439
2013,West,Sometimes,0.09755,2683,19687,0.09340,0.10169
2013,West,Seldom,0.23720,6277,19687,0.23126,0.24314
2013,West,Never,0.38472,10023,19687,0.37792,0.39152
2013,East,Often,0.01085,96,5678,0.00815,0.01354
2013,East,Sometimes,0.07748,528,5678,0.07052,0.08443
2013,East,Seldom,0.24452,1635,5678,0.23334,0.25570
2013,East,Never,0.50236,3419,5678,0.48936,0.51537
2018,West,Very often,0.00562,184,20064,0.00458,0.00665
2018,West,Often,0.03884,935,20064,0.03617,0.04152
2018,West,Sometimes,0.15049,3664,20064,0.14554,0.15544
2018,West,Seldom,0.27285,6745,20064,0.26668,0.27901
2018,West,Never,0.36422,8536,20064,0.35756,0.37088
2018,East,Often,0.02062,131,5447,0.01685,0.02440
2018,East,Sometimes,0.10417,672,5447,0.09606,0.11229
2018,East,Seldom,0.25535,1606,5447,0.24377,0.26694
2018,East,Never,0.45180,3038,5447,0.43858,0.46502
