year,sampreg,plb0417_v2,proportion,n,lower_confidence,upper_confidence
1994,Westdeutschland,Nein ganz sicher nicht,0.44835164835164837,16642,0.44079561510221205,0.4559076816010847
1994,Ostdeutschland,Nein ganz sicher nicht,0.16583416583416583,16642,0.16018328021413553,0.17148505145419612
1994,Westdeutschland,Ganz sicher,0.15184815184815184,16642,0.14639566189347789,0.1573006418028258
1994,Ostdeutschland,Ganz sicher,0.09210789210789211,16642,0.08771430890963507,0.09650147530614915
1994,Westdeutschland,Wahrscheinlich,0.07032967032967033,16642,0.06644470552509803,0.07421463513424263
1994,Westdeutschland,Eher unwahrscheinlich,0.03696303696303696,16642,0.03409649295206266,0.039829580974011264
1994,Ostdeutschland,Wahrscheinlich,0.02257742257742258,16642,0.020320421966521757,0.0248344231883234
1994,Ostdeutschland,Eher unwahrscheinlich,0.011988011988011988,16642,0.010334497502553061,0.013641526473470915
1995,Westdeutschland,Nein ganz sicher nicht,0.4457288401253918,17246,0.438310471859138,0.45314720839164563
1995,Westdeutschland,Ganz sicher,0.164576802507837,17246,0.15904267124577376,0.17011093376990022
1995,Ostdeutschland,Nein ganz sicher nicht,0.16046238244514108,17246,0.15498442595099565,0.1659403389392865
1995,Westdeutschland,Wahrscheinlich,0.07915360501567398,17246,0.0751242008945072,0.08318300913684075
1995,Ostdeutschland,Ganz sicher,0.07621473354231975,17246,0.07225453587192554,0.08017493121271396
1995,Westdeutschland,Eher unwahrscheinlich,0.0384012539184953,17246,0.03553323819826425,0.04126926963872635
1995,Ostdeutschland,Wahrscheinlich,0.019592476489028215,17246,0.017523955817759222,0.021660997160297207
1995,Ostdeutschland,Eher unwahrscheinlich,0.015869905956112852,17246,0.014004706357684745,0.01773510555454096
1996,Westdeutschland,Nein ganz sicher nicht,0.44488034523342485,16862,0.43737939229603523,0.45238129817081446
1996,Ostdeutschland,Nein ganz sicher nicht,0.16398587681443702,16862,0.15839716701219966,0.16957458661667438
1996,Westdeutschland,Ganz sicher,0.1618281679089839,16862,0.15626918782092372,0.1673871479970441
1996,Ostdeutschland,Ganz sicher,0.08140447234209494,16862,0.07727696528017511,0.08553197940401477
1996,Westdeutschland,Wahrscheinlich,0.0745390349156532,16862,0.07057468058590925,0.07850338924539714
1996,Westdeutschland,Eher unwahrscheinlich,0.036092585327579446,16862,0.03327726260648827,0.03890790804867062
1996,Ostdeutschland,Wahrscheinlich,0.023538642604943115,16862,0.02125030674219877,0.02582697846768746
1996,Ostdeutschland,Eher unwahrscheinlich,0.013730874852883483,16862,0.011974374051562387,0.015487375654204579
1997,Westdeutschland,Nein ganz sicher nicht,0.44453233142179155,16487,0.43694714390217515,0.45211751894140795
1997,Ostdeutschland,Nein ganz sicher nicht,0.1661063871860787,16487,0.1604252700705966,0.1717875043015608
1997,Westdeutschland,Ganz sicher,0.15483488234130907,16487,0.14931295816728568,0.16035680651533246
1997,Ostdeutschland,Ganz sicher,0.08087799090369785,16487,0.07671613525941594,0.08503984654797976
1997,Westdeutschland,Wahrscheinlich,0.0759343484279217,16487,0.07189086375294233,0.07997783310290106
1997,Westdeutschland,Eher unwahrscheinlich,0.04132885109748863,16487,0.0382904385043729,0.044367263690604355
1997,Ostdeutschland,Wahrscheinlich,0.022938501087601346,16487,0.02065327738316307,0.025223724792039624
1997,Ostdeutschland,Eher unwahrscheinlich,0.013446707534111133,16487,0.011688567322535835,0.01520484774568643
1998,Westdeutschland,Nein ganz sicher nicht,0.4729682595047088,18147,0.46570405544125504,0.4802324635681625
1998,Ostdeutschland,Nein ganz sicher nicht,0.1606208580397628,18147,0.1552784911627234,0.1659632249168022
1998,Westdeutschland,Ganz sicher,0.15050575514475062,18147,0.14530327506741014,0.1557082352220911
1998,Ostdeutschland,Ganz sicher,0.08650156958493198,18147,0.08241160499094628,0.09059153417891767
1998,Westdeutschland,Wahrscheinlich,0.058597837460760374,18147,0.05518054583801339,0.062015129083507356
1998,Westdeutschland,Eher unwahrscheinlich,0.04150680153470527,18147,0.0386047320695166,0.04440887099989394
1998,Ostdeutschland,Wahrscheinlich,0.017439832577607256,18147,0.015535229926729552,0.01934443522848496
1998,Ostdeutschland,Eher unwahrscheinlich,0.011859086152772933,18147,0.01028405660880425,0.013434115696741616
1999,Westdeutschland,Nein ganz sicher nicht,0.4834772812617349,17396,0.47605112434685365,0.49090343817661614
1999,Ostdeutschland,Nein ganz sicher nicht,0.17780698460383026,17396,0.1721250965633913,0.18348887264426922
1999,Westdeutschland,Ganz sicher,0.14119414194517463,17396,0.13601941771819892,0.14636886617215034
1999,Ostdeutschland,Ganz sicher,0.08111152835148329,17396,0.07705453715154906,0.08516851955141752
1999,Westdeutschland,Wahrscheinlich,0.056515208411565904,17396,0.05308372826457716,0.059946688558554645
1999,Westdeutschland,Eher unwahrscheinlich,0.031543372136687946,17396,0.028946051778970795,0.034140692494405094
1999,Ostdeutschland,Wahrscheinlich,0.017273751408186256,17396,0.015337592571829914,0.019209910244542598
1999,Ostdeutschland,Eher unwahrscheinlich,0.011077731881336839,17396,0.00952234699445097,0.012633116768222707
2000,Westdeutschland,Nein ganz sicher nicht,0.5171603677221654,30607,0.5115620213799094,0.5227587140644215
2000,Ostdeutschland,Nein ganz sicher nicht,0.16210418794688458,30607,0.15797525512481295,0.16623312076895622
2000,Westdeutschland,Ganz sicher,0.13268641470888662,30607,0.12888585995455032,0.13648696946322292
2000,Ostdeutschland,Ganz sicher,0.06884576098059245,30607,0.06600918053750357,0.07168234142368132
2000,Westdeutschland,Wahrscheinlich,0.06281920326864147,30607,0.06010086441794171,0.06553754211934124
2000,Westdeutschland,Eher unwahrscheinlich,0.033094994892747705,30607,0.031090897823386286,0.03509909196210913
2000,Ostdeutschland,Wahrscheinlich,0.012972420837589376,30607,0.011704708117434168,0.014240133557744585
2000,Ostdeutschland,Eher unwahrscheinlich,0.01031664964249234,30607,0.009184606019400708,0.01144869326558397
2001,Westdeutschland,Nein ganz sicher nicht,0.5158213644524237,27798,0.509946446981689,0.5216962819231583
2001,Ostdeutschland,Nein ganz sicher nicht,0.16775134649910234,27798,0.1633588759927226,0.17214381700548206
2001,Westdeutschland,Ganz sicher,0.13700628366247755,27798,0.13296403192964046,0.14104853539531464
2001,Ostdeutschland,Ganz sicher,0.0697935368043088,27798,0.06679819370260978,0.07278887990600783
2001,Westdeutschland,Wahrscheinlich,0.05262567324955117,27798,0.05000079639000798,0.05525055010909436
2001,Westdeutschland,Eher unwahrscheinlich,0.03209156193895871,27798,0.03001969499365365,0.03416342888426377
2001,Ostdeutschland,Wahrscheinlich,0.01627019748653501,27798,0.014782948702132578,0.017757446270937442
2001,Ostdeutschland,Eher unwahrscheinlich,0.008640035906642729,27798,0.007552051282579692,0.009728020530705766
2002,Westdeutschland,Nein ganz sicher nicht,0.5094277208071453,28961,0.503670112937299,0.5151853286769915
2002,Ostdeutschland,Nein ganz sicher nicht,0.1618701069577682,28961,0.1576279348251163,0.16611227909042012
2002,Westdeutschland,Ganz sicher,0.14974087550997905,28961,0.14563131736835658,0.15385043365160153
2002,Ostdeutschland,Ganz sicher,0.07420884331238284,28961,0.0711900481892626,0.07722763843550308
2002,Westdeutschland,Wahrscheinlich,0.052596758187231224,28961,0.050025792879642775,0.05516772349481967
2002,Westdeutschland,Eher unwahrscheinlich,0.030212812879038483,28961,0.028241375003817418,0.03218425075425955
2002,Ostdeutschland,Wahrscheinlich,0.013562686073436983,28961,0.012230524521083337,0.014894847625790629
2002,Ostdeutschland,Eher unwahrscheinlich,0.008380196273017974,28961,0.007330293735203406,0.009430098810832543
2003,Westdeutschland,Nein ganz sicher nicht,0.5049538392253997,27727,0.4990687463937447,0.5108389320570548
2003,Ostdeutschland,Nein ganz sicher nicht,0.16505291600990768,27727,0.16068327552038278,0.16942255649943258
2003,Westdeutschland,Ganz sicher,0.1495158748029723,27727,0.14531846483956226,0.15371328476638232
