year,hhtyp,hlf0151,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2004,Single-person household,Relatively Certain,0.713983797111659,11543,0.7057398305803947,0.7222277636429234
2004,Single-person household,Certain,0.16484677703416695,11543,0.15807784685327206,0.17161570721506184
2004,Single-person household,Relatively Uncertain,0.10637548432546672,11543,0.1007508403747811,0.11200012827615233
2004,Single-person household,Very Uncertain,0.014793941528707291,11543,0.01259151104542913,0.01699637201198545
2004,Couple without children,Relatively Certain,0.7503288608260984,11543,0.7424328684428232,0.7582248532093736
2004,Couple without children,Certain,0.15101289134438306,11543,0.14448076941363175,0.15754501327513437
2004,Couple without children,Relatively Uncertain,0.09076558800315707,11543,0.08552481597600974,0.0960063600303044
2004,Couple without children,Very Uncertain,0.007892659826361484,11543,0.006278346813910105,0.009506972838812864
2004,Single parent,Relatively Certain,0.7290132547864506,11543,0.7209047932630571,0.7371217163098441
2004,Single parent,Certain,0.12960235640648013,11543,0.12347515684036359,0.13572955597259667
2004,Single parent,Relatively Uncertain,0.12812960235640647,11543,0.12203216385231208,0.13422704086050086
2004,Single parent,Very Uncertain,0.013254786450662739,11543,0.01116844394903307,0.015341128952292409
2004,Couple with children,Relatively Certain,0.7394062420705405,11543,0.7313983117754644,0.7474141723656166
2004,Couple with children,Certain,0.17838112154275565,11543,0.17139708708564752,0.18536515599986378
2004,Couple with children,Relatively Uncertain,0.07409286982999239,11543,0.0693146222769723,0.07887111738301247
2004,Couple with children,Very Uncertain,0.008119766556711495,11543,0.006482580214369572,0.009756952899053418
2004,Multi-generational household,Relatively Certain,0.7168141592920354,11543,0.7085948413809302,0.7250334772031406
2004,Multi-generational household,Certain,0.1592920353982301,11543,0.15261603528705112,0.16596803550940906
2004,Multi-generational household,Relatively Uncertain,0.11504424778761062,11543,0.10922335022967335,0.12086514534554789
2004,Multi-generational household,Very Uncertain,0.008849557522123894,11543,0.007141009101216655,0.010558105943031132
2004,Other Combinations,Relatively Certain,0.6944444444444444,11543,0.6860409373765954,0.7028479515122934
2004,Other Combinations,Certain,0.19444444444444445,11543,0.1872243605867104,0.2016645283021785
2004,Other Combinations,Relatively Uncertain,0.09259259259259259,11543,0.08730465883719676,0.09788052634798841
2004,Other Combinations,Very Uncertain,0.018518518518518517,11543,0.01605905209199999,0.020977984945037043
2009,Single-person household,Relatively Certain,0.7051146384479717,10177,0.696255272184275,0.7139740047116685
2009,Single-person household,Certain,0.19964726631393298,10177,0.19188088724118324,0.20741364538668272
2009,Single-person household,Relatively Uncertain,0.08606701940035273,10177,0.08061795751138481,0.09151608128932065
2009,Single-person household,Very Uncertain,0.009171075837742505,10177,0.007319013226480159,0.01102313844900485
2009,Couple without children,Relatively Certain,0.7246826516220028,10177,0.7160043067336597,0.733360996510346
