year,bula_h,pgisced97,plh0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Upper Secondary Level,Very seldom,0.3256127433918192,112,17237,0.3247993046395428,0.32642618214409563
2007,Schleswig-Holstein,Upper Secondary Level,Seldom,0.3599977205900722,105,17237,0.35916449975727904,0.3608309414228653
2007,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.3143895360181085,91,17237,0.31358361544167496,0.315195456594542
2007,Schleswig-Holstein,Second Stage of Tertiary Education,Very seldom,0.3643840772540473,34,17237,0.3623878392738901,0.3663803152342045
2007,Schleswig-Holstein,Second Stage of Tertiary Education,Seldom,0.6356159227459527,39,17237,0.6336196847657956,0.6376121607261098
2007,Hamburg,Upper Secondary Level,Very seldom,0.24947357103398063,31,17237,0.24825940741673044,0.2506877346512308
2007,Hamburg,Upper Secondary Level,Seldom,0.4168329543159551,48,17237,0.41544951708720324,0.4182163915447069
2007,Hamburg,Upper Secondary Level,Sometimes,0.3336934746500642,31,17237,0.3323703741352873,0.3350165751648411
2007,Lower Saxony,Lower Secondary Level,Very seldom,0.1592969663417103,33,17237,0.15851744248526378,0.16007649019815684
2007,Lower Saxony,Lower Secondary Level,Seldom,0.306137591267447,71,17237,0.30515584476876695,0.30711933776612704
2007,Lower Saxony,Lower Secondary Level,Sometimes,0.38641860923063903,75,17237,0.38538139263425947,0.3874558258270186
2007,Lower Saxony,Lower Secondary Level,Often,0.14814683316020377,32,17237,0.14739011717510014,0.1489035491453074
2007,Lower Saxony,Upper Secondary Level,Very seldom,0.20496002937778884,219,17237,0.2045398085579082,0.20538025019766948
2007,Lower Saxony,Upper Secondary Level,Seldom,0.31808264060239816,322,17237,0.31759781633044926,0.31856746487434706
2007,Lower Saxony,Upper Secondary Level,Sometimes,0.3303387983117927,288,17237,0.32984918202267416,0.3308284146009112
2007,Lower Saxony,Upper Secondary Level,Often,0.10383577831831509,99,17237,0.10351822561906815,0.10415333101756202
2007,Lower Saxony,Upper Secondary Level,Very often,0.04278275338970527,36,17237,0.0425720904599202,0.04299341631949034
2007,Lower Saxony,Post-secondary Non-tertiary Level,Seldom,0.5199738350889158,41,17237,0.5179683648651106,0.5219793053127211
2007,Lower Saxony,Post-secondary Non-tertiary Level,Sometimes,0.4800261649110842,34,17237,0.47802069468727887,0.4820316351348895
2007,Lower Saxony,First Stage of Tertiary Education,Seldom,0.4096990158832644,38,17237,0.407926457261,0.4114715745055288
2007,Lower Saxony,First Stage of Tertiary Education,Sometimes,0.5903009841167356,41,17237,0.5885284254944713,0.5920735427389999
2007,Lower Saxony,Second Stage of Tertiary Education,Very seldom,0.33032314961744,87,17237,0.3293234936276612,0.33132280560721883
2007,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.3123247601361276,100,17237,0.31133974404464987,0.3133097762276053
2007,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.35735209024643233,101,17237,0.3563335384080371,0.35837064208482755
2007,Bremen,Upper Secondary Level,Seldom,1.0,31,17237,1.0,1.0
2007,North Rhine-Westphalia,Lower Secondary Level,Very seldom,0.26468519233474486,132,17237,0.2640583778015367,0.26531200686795303
2007,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.22111023477186267,129,17237,0.22052060419069716,0.22169986535302819
2007,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.3594735732218752,162,17237,0.35879180054962734,0.360155345894123
2007,North Rhine-Westphalia,Lower Secondary Level,Often,0.1547309996715173,67,17237,0.15421716463335602,0.15524483470967856
2007,North Rhine-Westphalia,Upper Secondary Level,Very seldom,0.24655751191123873,510,17237,0.24624184718411377,0.2468731766383637
2007,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.311626759821436,642,17237,0.31128754779256734,0.31196597185030467
2007,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.29759605271339895,582,17237,0.2972612037662,0.2979309016605979
2007,North Rhine-Westphalia,Upper Secondary Level,Often,0.11898366021356017,217,17237,0.1187465351137281,0.11922078531339225
2007,North Rhine-Westphalia,Upper Secondary Level,Very often,0.02523601534036618,58,17237,0.02512114655958422,0.02535088412114814
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very seldom,0.19811712827071526,64,17237,0.1973763087496973,0.19885794779173321
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.2987866241890442,101,17237,0.2979358748727607,0.29963737350532776
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.3712482857175847,111,17237,0.37035030345846853,0.3721462679767009
2007,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Often,0.1318479618226559,41,17237,0.13121913574751848,0.13247678789779332
2007,North Rhine-Westphalia,First Stage of Tertiary Education,Very seldom,0.3053815267993164,79,17237,0.30440939165419334,0.30635366194443947
2007,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.33878982153890813,90,17237,0.3377908179673512,0.33978882511046504
2007,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.3558286516617754,93,17237,0.35481811224470816,0.35683919107884265
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Very seldom,0.27341852676528355,247,17237,0.27285529803761616,0.27398175549295095
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.328191999490825,286,17237,0.3275986436123478,0.3287853553693022
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.2953307357381401,237,17237,0.2947542671374809,0.29590720433879936
2007,North Rhine-Westphalia,Second Stage of Tertiary Education,Often,0.1030587380057514,62,17237,0.10267454179218367,0.10344293421931912
2007,Hesse,Lower Secondary Level,Seldom,0.36221848714680943,39,17237,0.3607920628976025,0.36364491139601635
2007,Hesse,Lower Secondary Level,Sometimes,0.6377815128531904,51,17237,0.6363550886039835,0.6392079371023973
2007,Hesse,Upper Secondary Level,Very seldom,0.1987798986326438,136,17237,0.1982762438048136,0.19928355346047402
2007,Hesse,Upper Secondary Level,Seldom,0.2906005409563084,193,17237,0.29002752794134934,0.29117355397126743
2007,Hesse,Upper Secondary Level,Sometimes,0.3891052606971331,235,17237,0.38848995973458333,0.38972056165968283
2007,Hesse,Upper Secondary Level,Often,0.12151429971391463,69,17237,0.12110196310674266,0.12192663632108659
2007,Hesse,Post-secondary Non-tertiary Level,Seldom,0.5866228023924211,41,17237,0.5847327601555603,0.588512844629282
