,Unnamed: 0,year,bula_h,sex,plh0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,Schleswig-Holstein,male,Very seldom,0.39604,119,19749,0.349,0.44982
1,1,2007,Schleswig-Holstein,male,Seldom,0.36936,91,19749,0.31625,0.43803
2,2,2007,Schleswig-Holstein,male,Sometimes,0.2346,59,19749,0.19074,0.28087
3,3,2007,Schleswig-Holstein,female,Very seldom,0.22973,82,19749,0.19953,0.26459
4,4,2007,Schleswig-Holstein,female,Seldom,0.28418,88,19749,0.23999,0.32438
5,5,2007,Schleswig-Holstein,female,Sometimes,0.37952,107,19749,0.33792,0.43175
6,6,2007,Schleswig-Holstein,female,Often,0.10657,33,19749,0.07537,0.13259
7,7,2007,Hamburg,male,Very seldom,0.41798,43,19749,0.32186,0.54466
8,8,2007,Hamburg,male,Seldom,0.58202,53,19749,0.45118,0.72273
9,9,2007,Hamburg,female,Seldom,0.58929,64,19749,0.49846,0.69755
10,10,2007,Hamburg,female,Sometimes,0.41071,43,19749,0.33331,0.48455
11,11,2007,Lower Saxony,male,Very seldom,0.27794,253,19749,0.25187,0.30184
12,12,2007,Lower Saxony,male,Seldom,0.34656,320,19749,0.31662,0.37659
13,13,2007,Lower Saxony,male,Sometimes,0.29531,227,19749,0.26991,0.32846
14,14,2007,Lower Saxony,male,Often,0.08019,58,19749,0.06356,0.09793
15,15,2007,Lower Saxony,female,Very seldom,0.14814,153,19749,0.13186,0.16743
16,16,2007,Lower Saxony,female,Seldom,0.27855,282,19749,0.25485,0.30381
17,17,2007,Lower Saxony,female,Sometimes,0.37712,338,19749,0.34517,0.41166
18,18,2007,Lower Saxony,female,Often,0.13328,125,19749,0.11334,0.15175
19,19,2007,Lower Saxony,female,Very often,0.06292,47,19749,0.05044,0.07455
20,20,2007,North Rhine-Westphalia,male,Very seldom,0.2848,620,19749,0.26758,0.30692
21,21,2007,North Rhine-Westphalia,male,Seldom,0.32657,681,19749,0.30616,0.34709
22,22,2007,North Rhine-Westphalia,male,Sometimes,0.27147,506,19749,0.25052,0.2903
23,23,2007,North Rhine-Westphalia,male,Often,0.09565,147,19749,0.08539,0.10829
24,24,2007,North Rhine-Westphalia,male,Very often,0.02151,38,19749,0.01615,0.02628
25,25,2007,North Rhine-Westphalia,female,Very seldom,0.21185,460,19749,0.19846,0.22701
26,26,2007,North Rhine-Westphalia,female,Seldom,0.26154,620,19749,0.2455,0.27998
27,27,2007,North Rhine-Westphalia,female,Sometimes,0.34797,747,19749,0.32628,0.37176
28,28,2007,North Rhine-Westphalia,female,Often,0.1426,296,19749,0.12766,0.1563
29,29,2007,North Rhine-Westphalia,female,Very often,0.03603,77,19749,0.03091,0.04315
30,30,2007,Hesse,male,Very seldom,0.21653,171,19749,0.18602,0.24342
31,31,2007,Hesse,male,Seldom,0.32978,235,19749,0.29176,0.36607
32,32,2007,Hesse,male,Sometimes,0.33989,196,19749,0.30426,0.37167
33,33,2007,Hesse,male,Often,0.1138,56,19749,0.09154,0.13805
34,34,2007,Hesse,female,Very seldom,0.15935,115,19749,0.1363,0.18382
35,35,2007,Hesse,female,Seldom,0.28125,198,19749,0.24806,0.31136
36,36,2007,Hesse,female,Sometimes,0.40256,279,19749,0.36438,0.43754
37,37,2007,Hesse,female,Often,0.15684,101,19749,0.1348,0.18211
38,38,2007,"Rhineland-Palatinate, Saarland",male,Very seldom,0.29303,158,19749,0.26176,0.3287
39,39,2007,"Rhineland-Palatinate, Saarland",male,Seldom,0.33233,182,19749,0.29584,0.3639
40,40,2007,"Rhineland-Palatinate, Saarland",male,Sometimes,0.27196,140,19749,0.22338,0.31493
41,41,2007,"Rhineland-Palatinate, Saarland",male,Often,0.10268,41,19749,0.08078,0.12553
42,42,2007,"Rhineland-Palatinate, Saarland",female,Very seldom,0.18569,122,19749,0.16119,0.20786
43,43,2007,"Rhineland-Palatinate, Saarland",female,Seldom,0.23232,174,19749,0.20783,0.26239
44,44,2007,"Rhineland-Palatinate, Saarland",female,Sometimes,0.36,198,19749,0.31934,0.39631
45,45,2007,"Rhineland-Palatinate, Saarland",female,Often,0.14698,90,19749,0.12249,0.17827
46,46,2007,"Rhineland-Palatinate, Saarland",female,Very often,0.075,46,19749,0.05728,0.09695
47,47,2007,Baden-Wuerttemberg,male,Very seldom,0.2976,348,19749,0.27278,0.31991
48,48,2007,Baden-Wuerttemberg,male,Seldom,0.35903,436,19749,0.32874,0.39798
49,49,2007,Baden-Wuerttemberg,male,Sometimes,0.27857,304,19749,0.24856,0.3014
50,50,2007,Baden-Wuerttemberg,male,Often,0.0648,69,19749,0.05408,0.07865
51,51,2007,Baden-Wuerttemberg,female,Very seldom,0.14572,211,19749,0.12925,0.16188
52,52,2007,Baden-Wuerttemberg,female,Seldom,0.28421,392,19749,0.25891,0.30911
53,53,2007,Baden-Wuerttemberg,female,Sometimes,0.37734,442,19749,0.34731,0.40672
54,54,2007,Baden-Wuerttemberg,female,Often,0.12732,172,19749,0.11375,0.14093
55,55,2007,Baden-Wuerttemberg,female,Very often,0.06541,76,19749,0.05118,0.07904
56,56,2007,Bavaria,male,Very seldom,0.23665,353,19749,0.2135,0.26094
57,57,2007,Bavaria,male,Seldom,0.4136,552,19749,0.38773,0.44082
58,58,2007,Bavaria,male,Sometimes,0.25754,352,19749,0.23545,0.28095
59,59,2007,Bavaria,male,Often,0.09222,107,19749,0.07777,0.10558
