"plh0187","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Manchmal","2007","(Fach-)Abitur","männlich","275","0.274067197922298","0.247010513145841","0.301123882698755"
"Manchmal","2007","(Fach-)Abitur","weiblich","441","0.341865016062717","0.316149507595958","0.367580524529475"
"Manchmal","2007","(noch) kein Abschluss","männlich","64","0.26882866733949","0.213085412752768","0.324571921926212"
"Manchmal","2007","(noch) kein Abschluss","weiblich","117","0.346995918720227","0.294006717200482","0.399985120239973"
"Manchmal","2007","AkademikerIn","männlich","599","0.257750840420362","0.240266237990914","0.27523544284981"
"Manchmal","2007","AkademikerIn","weiblich","686","0.35495754006924","0.333854409037513","0.376060671100968"
"Manchmal","2007","Hauptschule","männlich","949","0.2803640072714","0.265590271665483","0.295137742877317"
"Manchmal","2007","Hauptschule","weiblich","1324","0.374422231771782","0.358965082529296","0.389879381014269"
"Manchmal","2007","Realschule","männlich","617","0.288634917901542","0.269978045355173","0.307291790447912"
"Manchmal","2007","Realschule","weiblich","1127","0.374506998174634","0.357524092781213","0.391489903568055"
"Oft","2007","(Fach-)Abitur","männlich","71","0.0763662610030579","0.0602561512269135","0.0924763707792023"
"Oft","2007","(Fach-)Abitur","weiblich","197","0.142923641526901","0.123949065023662","0.161898218030139"
"Oft","2007","(noch) kein Abschluss","männlich","15","","",""
"Oft","2007","(noch) kein Abschluss","weiblich","50","0.167819325935202","0.126218970314455","0.209419681555948"
"Oft","2007","AkademikerIn","männlich","145","0.0873681080829667","0.076080416212853","0.0986557999530803"
"Oft","2007","AkademikerIn","weiblich","204","0.114424189736804","0.100385184484752","0.128463194988855"
"Oft","2007","Hauptschule","männlich","288","0.0896329545733199","0.080237563212908","0.0990283459337317"
"Oft","2007","Hauptschule","weiblich","537","0.147253838403487","0.135936322019495","0.158571354787479"
"Oft","2007","Realschule","männlich","147","0.0766038916073215","0.0656533001986857","0.0875544830159574"
"Oft","2007","Realschule","weiblich","380","0.129760601368911","0.117969304071908","0.141551898665914"
"Sehr oft","2007","(Fach-)Abitur","männlich","20","","",""
