year,pgisced97,quintil_oecd,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,No answer / don't know,1st Quintile,Seldom,0.27918,33,66,0.17012,0.38824
2007,No answer / don't know,1st Quintile,Sometimes,0.33903,33,66,0.22395,0.45411
2007,Pre-primary Level,5th Quintile,Sometimes,0.32204,34,34,0.16261,0.48146
2007,Primary Level,1st Quintile,Sometimes,0.37203,46,46,0.23081,0.51325
2007,Lower Secondary Level,1st Quintile,Very seldom,0.17493,121,675,0.14624,0.20361
2007,Lower Secondary Level,1st Quintile,Seldom,0.23666,173,675,0.20457,0.26875
2007,Lower Secondary Level,1st Quintile,Sometimes,0.38374,238,675,0.34703,0.42045
2007,Lower Secondary Level,1st Quintile,Often,0.16172,111,675,0.13392,0.18952
2007,Lower Secondary Level,1st Quintile,Very often,0.04296,32,675,0.02765,0.05827
2007,Lower Secondary Level,2nd Quintile,Very seldom,0.16141,95,529,0.13003,0.19279
2007,Lower Secondary Level,2nd Quintile,Seldom,0.27853,173,529,0.24030,0.31677
2007,Lower Secondary Level,2nd Quintile,Sometimes,0.34690,178,529,0.30630,0.38750
2007,Lower Secondary Level,2nd Quintile,Often,0.16075,83,529,0.12942,0.19208
2007,Lower Secondary Level,3rd Quintile,Very seldom,0.21324,88,419,0.17397,0.25250
2007,Lower Secondary Level,3rd Quintile,Seldom,0.23331,118,419,0.19276,0.27385
2007,Lower Secondary Level,3rd Quintile,Sometimes,0.37573,157,419,0.32930,0.42216
2007,Lower Secondary Level,3rd Quintile,Often,0.13196,56,419,0.09951,0.16440
2007,Lower Secondary Level,4th Quintile,Very seldom,0.21199,69,327,0.16763,0.25636
2007,Lower Secondary Level,4th Quintile,Seldom,0.28711,112,327,0.23800,0.33622
2007,Lower Secondary Level,4th Quintile,Sometimes,0.30617,96,327,0.25614,0.35620
2007,Lower Secondary Level,4th Quintile,Often,0.14637,50,327,0.10800,0.18474
2007,Lower Secondary Level,5th Quintile,Very seldom,0.18676,43,158,0.12580,0.24772
2007,Lower Secondary Level,5th Quintile,Seldom,0.26595,50,158,0.19684,0.33507
2007,Lower Secondary Level,5th Quintile,Sometimes,0.37378,65,158,0.29810,0.44946
2007,Upper Secondary Level,1st Quintile,Very seldom,0.17625,323,1743,0.15835,0.19414
2007,Upper Secondary Level,1st Quintile,Seldom,0.28553,511,1743,0.26432,0.30674
2007,Upper Secondary Level,1st Quintile,Sometimes,0.33456,574,1743,0.31240,0.35671
2007,Upper Secondary Level,1st Quintile,Often,0.14298,234,1743,0.12654,0.15942
2007,Upper Secondary Level,1st Quintile,Very often,0.06069,101,1743,0.04948,0.07190
2007,Upper Secondary Level,2nd Quintile,Very seldom,0.20609,440,2025,0.18847,0.22371
2007,Upper Secondary Level,2nd Quintile,Seldom,0.30628,651,2025,0.28620,0.32636
