"plh0187","year","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Manchmal","2007","6337","0.32285451526021","0.316445073547298","0.329263956973122"
"Oft","2007","2093","0.112322177936424","0.107993689921023","0.116650665951826"
"Sehr oft","2007","679","0.0371618249923572","0.0345688343821479","0.0397548156025666"
"Sehr selten","2007","4528","0.21051287937277","0.20492447740102","0.216101281344521"
"Selten","2007","6806","0.317148602438238","0.310769342792349","0.323527862084128"
"Manchmal","2008","5838","0.310656834126235","0.304120326074218","0.317193342178251"
"Oft","2008","1950","0.113900805493501","0.109413432438378","0.118388178548623"
"Sehr oft","2008","585","0.0337078601026865","0.0311586394862016","0.0362570807191714"
"Sehr selten","2008","4213","0.210397019046296","0.204639812797881","0.21615422529471"
"Selten","2008","6668","0.331337481231283","0.324688939784322","0.337986022678243"
"Manchmal","2009","5499","0.315881064764421","0.309074833673545","0.322687295855297"
"Oft","2009","1793","0.108322469475117","0.103772145948509","0.112872793001724"
"Sehr oft","2009","563","0.0364492370506","0.0337053855124662","0.0391930885887338"
"Sehr selten","2009","3802","0.202604070475947","0.196719155687833","0.208488985264061"
"Selten","2009","6263","0.336743158233915","0.32982374372278","0.343662572745051"
"Manchmal","2010","5049","0.311878186212365","0.304827545098993","0.318928827325736"
"Oft","2010","1708","0.112717419497893","0.107904263441438","0.117530575554348"
"Sehr oft","2010","466","0.0327608757440566","0.0300516317122639","0.0354701197758493"
"Sehr selten","2010","3551","0.203259308846858","0.197134575750869","0.209384041942846"
"Selten","2010","5810","0.339384209698828","0.332177720538571","0.346590698859086"
"Manchmal","2011","6657","0.327377225702538","0.320975873824296","0.33377857758078"
"Oft","2011","2134","0.111710743382528","0.107413535532166","0.116007951232889"
"Sehr oft","2011","589","0.0301999976905487","0.0278654312941938","0.0325345640869036"
"Sehr selten","2011","4317","0.203405194887102","0.197914068498874","0.208896321275329"
"Selten","2011","6946","0.327306838337284","0.320905839760141","0.333707836914427"
"Manchmal","2012","6045","0.30078165605686","0.294493325559822","0.307069986553899"
"Oft","2012","1895","0.100806678542356","0.0966783479468876","0.104935009137825"
"Sehr oft","2012","505","0.0262270947167215","0.0240357675915909","0.0284184218418522"
"Sehr selten","2012","4675","0.223061878831333","0.217353547507174","0.228770210155493"
"Selten","2012","7311","0.349122691852728","0.342586242758445","0.355659140947012"
"Manchmal","2013","7521","0.302872049022313","0.297244482093944","0.308499615950682"
"Oft","2013","2451","0.100447111271077","0.096765678279479","0.104128544262674"
"Sehr oft","2013","700","0.0273535061847096","0.025355858773081","0.0293511535963382"
"Sehr selten","2013","5622","0.220566211691598","0.215488197278479","0.225644226104718"
"Selten","2013","9317","0.348761121830302","0.342924399734956","0.354597843925649"
"Manchmal","2014","7841","0.293814967176881","0.288381984818393","0.299247949535368"
"Oft","2014","2554","0.0976031157270958","0.094063364693921","0.101142866760271"
"Sehr oft","2014","797","0.028584331045594","0.0265968241162864","0.0305718379749015"
"Sehr selten","2014","6235","0.231114497417419","0.226086598783528","0.23614239605131"
"Selten","2014","9576","0.348883088633011","0.343198336546827","0.354567840719194"
"Manchmal","2015","7242","0.29770266402267","0.292031031500195","0.303374296545145"
"Oft","2015","2311","0.0967233156586473","0.0930569801826828","0.100389651134612"
"Sehr oft","2015","691","0.0287668377097839","0.0266935287418594","0.0308401466777084"
"Sehr selten","2015","5694","0.221613375250886","0.216461659652692","0.226765090849079"
"Selten","2015","9030","0.355193807358013","0.349257675957729","0.361129938758297"
"Manchmal","2016","7072","0.295081620963091","0.289323628966994","0.300839612959188"
"Oft","2016","2128","0.0962055419892664","0.092482778534407","0.0999283054441258"
"Sehr oft","2016","653","0.0280152434682407","0.0259319162531289","0.0300985706833525"
"Sehr selten","2016","5601","0.229697459059456","0.224386911282389","0.235008006836524"
"Selten","2016","8647","0.351000134519945","0.344974448412097","0.357025820627793"
"Manchmal","2017","7516","0.284098490982209","0.278656015343677","0.28954096662074"
"Oft","2017","2324","0.0962227145528109","0.0926639037130281","0.0997815253925937"
"Sehr oft","2017","693","0.0265074311328756","0.024568843077142","0.0284460191886092"
"Sehr selten","2017","6151","0.223876094570958","0.218845668363206","0.22890652077871"
"Selten","2017","9693","0.369295268761147","0.363471081801288","0.375119455721006"
"Manchmal","2018","7106","0.285173809179175","0.279635927014565","0.290711691343786"
"Oft","2018","2273","0.0918972291385757","0.0883539336372704","0.095440524639881"
"Sehr oft","2018","660","0.0282599932262065","0.0262274034711423","0.0302925829812707"
"Sehr selten","2018","6118","0.228709338194429","0.223557767674801","0.233860908714057"
"Selten","2018","9377","0.365959630261614","0.36005131433905","0.371867946184178"
"Manchmal","2019","7221","0.288381728062742","0.282852834170272","0.293910621955212"
"Oft","2019","2225","0.0940315415062182","0.0904692934614959","0.0975937895509405"
"Sehr oft","2019","585","0.0250846445578951","0.023176029828316","0.0269932592874742"
"Sehr selten","2019","6391","0.233407307357912","0.228244684478367","0.238569930237457"
"Selten","2019","9367","0.359094778515233","0.353239705841308","0.364949851189158"
"Manchmal","2020","7322","0.288829898071862","0.28329136056867","0.294368435575053"
"Oft","2020","2471","0.101934428540167","0.0982369832879614","0.105631873792372"
"Sehr oft","2020","648","0.0285021257762037","0.0264686133266106","0.0305356382257967"
"Sehr selten","2020","5936","0.21627357668107","0.21124238043063","0.22130477293151"
"Selten","2020","9346","0.364459970930698","0.358578531145786","0.37034141071561"
