year,bula_h,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Very seldom,0.24148,201,594,0.20703,0.27592
2007,Schleswig-Holstein,Seldom,0.25461,179,594,0.21955,0.28967
2007,Schleswig-Holstein,Sometimes,0.24506,166,594,0.21044,0.27968
2007,Schleswig-Holstein,Often,0.06568,48,594,0.04574,0.08562
2007,Hamburg,Very seldom,0.19054,70,260,0.14271,0.23837
2007,Hamburg,Seldom,0.34323,117,260,0.28541,0.40106
2007,Hamburg,Sometimes,0.22703,73,260,0.17601,0.27805
2007,Lower Saxony,Very seldom,0.17196,406,1819,0.15461,0.18931
2007,Lower Saxony,Seldom,0.25375,602,1819,0.23374,0.27375
2007,Lower Saxony,Sometimes,0.27480,565,1819,0.25428,0.29532
2007,Lower Saxony,Often,0.08752,183,1819,0.07453,0.10051
2007,Lower Saxony,Very often,0.03379,63,1819,0.02549,0.04210
2007,Bremen,Seldom,0.38638,57,99,0.28998,0.48279
2007,Bremen,Sometimes,0.28116,42,99,0.19215,0.37016
2007,North Rhine-Westphalia,Very seldom,0.20351,1080,4192,0.19132,0.21569
2007,North Rhine-Westphalia,Seldom,0.24113,1301,4192,0.22817,0.25408
2007,North Rhine-Westphalia,Sometimes,0.25508,1253,4192,0.24189,0.26828
2007,North Rhine-Westphalia,Often,0.09825,443,4192,0.08924,0.10726
2007,North Rhine-Westphalia,Very often,0.02375,115,4192,0.01914,0.02836
2007,Hesse,Very seldom,0.14863,286,1390,0.12992,0.16733
2007,Hesse,Seldom,0.24096,433,1390,0.21847,0.26345
2007,Hesse,Sometimes,0.29043,475,1390,0.26656,0.31430
2007,Hesse,Often,0.10555,157,1390,0.08939,0.12171
2007,Hesse,Very often,0.02894,39,1390,0.02012,0.03775
2007,"Rhineland-Palatinate, Saarland",Very seldom,0.18637,280,1169,0.16404,0.20871
2007,"Rhineland-Palatinate, Saarland",Seldom,0.22111,356,1169,0.19731,0.24491
2007,"Rhineland-Palatinate, Saarland",Sometimes,0.25631,338,1169,0.23128,0.28135
2007,"Rhineland-Palatinate, Saarland",Often,0.10170,131,1169,0.08437,0.11904
2007,"Rhineland-Palatinate, Saarland",Very often,0.04650,64,1169,0.03442,0.05857
2007,Baden-Wuerttemberg,Very seldom,0.17438,559,2477,0.15943,0.18933
2007,Baden-Wuerttemberg,Seldom,0.25649,828,2477,0.23929,0.27369
2007,Baden-Wuerttemberg,Sometimes,0.26584,746,2477,0.24844,0.28325
2007,Baden-Wuerttemberg,Often,0.07874,241,2477,0.06813,0.08935
2007,Baden-Wuerttemberg,Very often,0.03763,103,2477,0.03013,0.04513
2007,Bavaria,Very seldom,0.15127,587,2944,0.13833,0.16422
2007,Bavaria,Seldom,0.28494,1037,2944,0.26863,0.30124
2007,Bavaria,Sometimes,0.26152,924,2944,0.24564,0.27740
2007,Bavaria,Often,0.09862,304,2944,0.08785,0.10939
2007,Bavaria,Very often,0.02921,92,2944,0.02313,0.03530
2007,Berlin,Very seldom,0.14063,138,750,0.11573,0.16553
2007,Berlin,Seldom,0.31806,271,750,0.28471,0.35141
2007,Berlin,Sometimes,0.27766,234,750,0.24559,0.30974
2007,Berlin,Often,0.08602,75,750,0.06594,0.10610
2007,Berlin,Very often,0.03948,32,750,0.02553,0.05342
2007,Brandenburg,Very seldom,0.18102,181,829,0.15480,0.20725
2007,Brandenburg,Seldom,0.24796,267,829,0.21855,0.27738
2007,Brandenburg,Sometimes,0.28708,290,829,0.25627,0.31790
2007,Brandenburg,Often,0.10805,91,829,0.08690,0.12919
2007,Mecklenburg-Western Pomerania,Very seldom,0.16575,107,491,0.13282,0.19867
2007,Mecklenburg-Western Pomerania,Seldom,0.30354,176,491,0.26283,0.34425
2007,Mecklenburg-Western Pomerania,Sometimes,0.29037,166,491,0.25017,0.33056
2007,Mecklenburg-Western Pomerania,Often,0.08683,42,491,0.06189,0.11176
2007,Saxony,Very seldom,0.14048,252,1509,0.12294,0.15802
2007,Saxony,Seldom,0.29297,571,1509,0.27000,0.31594
