year,sampreg,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,West,Very seldom,0.21576,3576,15449,0.20928,0.22225
2007,West,Seldom,0.31345,5055,15449,0.30614,0.32077
2007,West,Sometimes,0.32130,4716,15449,0.31393,0.32866
2007,West,Often,0.11235,1584,15449,0.10737,0.11733
2007,West,Very often,0.03714,518,15449,0.03416,0.04012
2007,East,Very seldom,0.18720,952,4994,0.17638,0.19802
2007,East,Seldom,0.33245,1751,4994,0.31939,0.34552
2007,East,Sometimes,0.32880,1621,4994,0.31577,0.34183
2007,East,Often,0.11372,509,4994,0.10491,0.12252
2007,East,Very often,0.03783,161,4994,0.03254,0.04312
2008,West,Very seldom,0.21532,3309,14495,0.20863,0.22201
2008,West,Seldom,0.32693,4930,14495,0.31929,0.33457
2008,West,Sometimes,0.30885,4310,14495,0.30133,0.31637
2008,West,Often,0.11446,1503,14495,0.10927,0.11964
2008,West,Very often,0.03444,443,14495,0.03147,0.03741
2008,East,Very seldom,0.18858,904,4759,0.17747,0.19970
2008,East,Seldom,0.34995,1738,4759,0.33640,0.36351
2008,East,Sometimes,0.31866,1528,4759,0.30542,0.33190
2008,East,Often,0.11176,447,4759,0.10281,0.12071
2008,East,Very often,0.03105,142,4759,0.02612,0.03597
2009,West,Very seldom,0.20444,2905,13401,0.19762,0.21127
2009,West,Seldom,0.33464,4621,13401,0.32665,0.34263
2009,West,Sometimes,0.31529,4076,13401,0.30743,0.32316
2009,West,Often,0.10863,1372,13401,0.10336,0.11390
2009,West,Very often,0.03700,427,13401,0.03380,0.04019
2009,East,Very seldom,0.19431,897,4519,0.18277,0.20585
2009,East,Seldom,0.34563,1642,4519,0.33176,0.35950
2009,East,Sometimes,0.31911,1423,4519,0.30552,0.33271
2009,East,Often,0.10690,421,4519,0.09789,0.11591
2009,East,Very often,0.03405,136,4519,0.02876,0.03933
2010,West,Very seldom,0.20867,2768,12477,0.20154,0.21580
2010,West,Seldom,0.33558,4316,12477,0.32729,0.34386
2010,West,Sometimes,0.31117,3749,12477,0.30304,0.31929
2010,West,Often,0.11093,1288,12477,0.10542,0.11644
2010,West,Very often,0.03365,356,12477,0.03049,0.03682
2010,East,Very seldom,0.18037,783,4107,0.16861,0.19213
2010,East,Seldom,0.35425,1494,4107,0.33962,0.36888
2010,East,Sometimes,0.31449,1300,4107,0.30029,0.32869
2010,East,Often,0.12097,420,4107,0.11099,0.13094
