year,regtyp,sampreg,plh0187,proportion,n,lower_confidence,upper_confidence
2007,Staedtischer Raum,Westdeutschland,Selten,0.18382820525363205,25385,0.17906318937461435,0.18859322113264976
2007,Staedtischer Raum,Westdeutschland,Manchmal,0.17301765885633225,25385,0.16836436133663676,0.17767095637602773
2007,Staedtischer Raum,Westdeutschland,Sehr selten,0.1384826101844152,25385,0.1342335084247034,0.142731711944127
2007,Laendlicher Raum,Westdeutschland,Selten,0.06344469989727534,25385,0.06044600780651182,0.06644339198803888
2007,Staedtischer Raum,Westdeutschland,Oft,0.059433546935381304,25385,0.056524986752151174,0.062342107118611434
2007,Laendlicher Raum,Westdeutschland,Manchmal,0.057672552952110746,25385,0.05480472564199884,0.06054038026222265
2007,Laendlicher Raum,Ostdeutschland,Selten,0.055520226972557846,25385,0.052703210187687956,0.058337243757427736
2007,Laendlicher Raum,Ostdeutschland,Manchmal,0.05322115149439906,25385,0.0504597224121125,0.05598258057668561
2007,Laendlicher Raum,Westdeutschland,Sehr selten,0.03644279215379347,25385,0.034137573836778914,0.03874801047080803
2007,Laendlicher Raum,Ostdeutschland,Sehr selten,0.032382722692364134,25385,0.030205133386509077,0.03456031199821919
2007,Staedtischer Raum,Ostdeutschland,Selten,0.030132563713740644,25385,0.028029551871579107,0.03223557555590218
2007,Staedtischer Raum,Ostdeutschland,Manchmal,0.026072494252311305,25385,0.02411219626787777,0.02803279223674484
2007,Staedtischer Raum,Westdeutschland,Sehr oft,0.01927310081690554,25385,0.017581813750752327,0.020964387883058756
2007,Laendlicher Raum,Westdeutschland,Oft,0.01805018832852321,25385,0.01641241798831804,0.01968795866872838
2007,Laendlicher Raum,Ostdeutschland,Oft,0.016435943843858533,25385,0.014871838007728863,0.018000049679988205
2007,Staedtischer Raum,Ostdeutschland,Sehr selten,0.014185784865235043,25385,0.012731023662572151,0.015640546067897936
2007,Staedtischer Raum,Ostdeutschland,Oft,0.008462554419605733,25385,0.007335687098167489,0.009589421741043977
2007,Laendlicher Raum,Westdeutschland,Sehr oft,0.006065645942376363,25385,0.005110466720580978,0.007020825164171749
2007,Laendlicher Raum,Ostdeutschland,Sehr oft,0.005087315951670499,25385,0.0042121219617124485,0.005962509941628549
2007,Staedtischer Raum,Ostdeutschland,Sehr oft,0.0027882404735117155,25385,0.0021395667638211967,0.0034369141832022343
2008,Staedtischer Raum,Westdeutschland,Selten,0.19092136698867768,23673,0.18591466137949586,0.1959280725978595
2008,Staedtischer Raum,Westdeutschland,Manchmal,0.167965098161421,23673,0.16320287526790364,0.17272732105493835
2008,Staedtischer Raum,Westdeutschland,Sehr selten,0.13493300093487068,23673,0.13058075544128359,0.13928524642845777
2008,Laendlicher Raum,Westdeutschland,Selten,0.06512932377687754,23673,0.06198596845789254,0.06827267909586253
2008,Staedtischer Raum,Westdeutschland,Oft,0.06050690765555209,23673,0.05746967055050344,0.06354414476060075
2008,Laendlicher Raum,Ostdeutschland,Selten,0.059623974239119144,23673,0.05660756225975483,0.06264038621848346
2008,Laendlicher Raum,Westdeutschland,Manchmal,0.05588449153422666,23673,0.05295840180298087,0.05881058126547244
2008,Laendlicher Raum,Ostdeutschland,Manchmal,0.05282019320660642,23673,0.04997084431377354,0.0556695420994393
2008,Laendlicher Raum,Westdeutschland,Sehr selten,0.036927391710813336,23673,0.03452505844935014,0.039329724972276534
2008,Laendlicher Raum,Ostdeutschland,Sehr selten,0.030902669575153214,23673,0.0286981644134258,0.03310717473688063
2008,Staedtischer Raum,Ostdeutschland,Selten,0.030642983276202348,23673,0.028447466178519343,0.03283850037388535
2008,Staedtischer Raum,Ostdeutschland,Manchmal,0.026539939752778643,23673,0.024492371168921494,0.028587508336635793
2008,Staedtischer Raum,Westdeutschland,Sehr oft,0.017762542848239325,23673,0.01607990661172599,0.01944517908475266
2008,Laendlicher Raum,Westdeutschland,Oft,0.017554793809078633,23673,0.01588184960117458,0.019227738016982687
2008,Staedtischer Raum,Ostdeutschland,Sehr selten,0.016048613275163603,23673,0.0144478209282821,0.017649405622045106
2008,Laendlicher Raum,Ostdeutschland,Oft,0.014854056299989612,23673,0.013313057708098295,0.01639505489188093
2008,Staedtischer Raum,Ostdeutschland,Oft,0.008361898826217929,23673,0.007201897517710778,0.009521900134725078
2008,Laendlicher Raum,Westdeutschland,Sehr oft,0.005245663238807521,23673,0.004325451972615106,0.006165874504999936
2008,Laendlicher Raum,Ostdeutschland,Sehr oft,0.005141788719227174,23673,0.004230686445857574,0.006052890992596774
2008,Staedtischer Raum,Ostdeutschland,Sehr oft,0.002233302170977459,23673,0.0016319655282085893,0.002834638813746329
2009,Staedtischer Raum,Westdeutschland,Selten,0.18917410714285715,21983,0.1839967605152347,0.1943514537704796
2009,Staedtischer Raum,Westdeutschland,Manchmal,0.17198660714285716,21983,0.16699800824257494,0.17697520604313938
2009,Staedtischer Raum,Westdeutschland,Sehr selten,0.12511160714285716,21983,0.12073802064367016,0.12948519364204417
2009,Laendlicher Raum,Westdeutschland,Selten,0.06869419642857143,21983,0.06535056214266435,0.0720378307144785
2009,Laendlicher Raum,Ostdeutschland,Selten,0.06015625,21983,0.05701298643824929,0.0632995135617507
2009,Staedtischer Raum,Westdeutschland,Oft,0.058370535714285715,21983,0.05527133680359169,0.06146973462497974
2009,Laendlicher Raum,Westdeutschland,Manchmal,0.05546875,21983,0.05244291705905473,0.05849458294094526
2009,Laendlicher Raum,Ostdeutschland,Manchmal,0.052008928571428574,21983,0.04907362063769031,0.05494423650516684
2009,Laendlicher Raum,Westdeutschland,Sehr selten,0.03699776785714286,21983,0.03450251822731879,0.03949301748696692
2009,Laendlicher Raum,Ostdeutschland,Sehr selten,0.03325892857142857,21983,0.03088852767082266,0.03562932947203448
2009,Staedtischer Raum,Ostdeutschland,Selten,0.031473214285714285,21983,0.02916519752246966,0.03378123104895891
2009,Staedtischer Raum,Ostdeutschland,Manchmal,0.02739955357142857,21983,0.025241552941642632,0.02955755420121451
2009,Staedtischer Raum,Westdeutschland,Sehr oft,0.01875,21983,0.01695690597943575,0.02054309402056425
2009,Laendlicher Raum,Westdeutschland,Oft,0.018191964285714287,21983,0.016425252606960546,0.01995867596446803
2009,Staedtischer Raum,Ostdeutschland,Sehr selten,0.016796875,21983,0.015098050711185192,0.018495699288814806
2009,Laendlicher Raum,Ostdeutschland,Oft,0.016238839285714287,21983,0.014567999071407914,0.017909679500020658
2009,Staedtischer Raum,Ostdeutschland,Oft,0.007254464285714286,21983,0.0061326157219622045,0.008376312849466367
2009,Laendlicher Raum,Ostdeutschland,Sehr oft,0.005412946428571428,21983,0.00444299305751965,0.006382899799623207
2009,Laendlicher Raum,Westdeutschland,Sehr oft,0.005078125,21983,0.004138490888152956,0.006017759111847045
2009,Staedtischer Raum,Ostdeutschland,Sehr oft,0.002176339285714286,21983,0.001560307968207179,0.0027923706032213927
2010,Staedtischer Raum,Westdeutschland,Selten,0.19591172214182345,35837,0.1918023797852565,0.2000210644983904
2010,Staedtischer Raum,Westdeutschland,Manchmal,0.1699831162566329,35837,0.1660941282418644,0.1738721042714014
2010,Staedtischer Raum,Westdeutschland,Sehr selten,0.1299445248432224,35837,0.1264632147207536,0.1334258349656912
2010,Laendlicher Raum,Westdeutschland,Selten,0.06433912204534491,35837,0.06179881010998342,0.0668794339807064
2010,Laendlicher Raum,Ostdeutschland,Selten,0.05981669078630005,35837,0.0573613730102134,0.0622720085623867
2010,Staedtischer Raum,Westdeutschland,Oft,0.05800771828268211,35837,0.05558748732563092,0.06042794923973329
2010,Laendlicher Raum,Westdeutschland,Manchmal,0.05607814761215629,35837,0.05369607443999952,0.058460220784313066
2010,Laendlicher Raum,Ostdeutschland,Manchmal,0.05221900627110468,35837,0.04991566363256772,0.05452234890964164
2010,Laendlicher Raum,Westdeutschland,Sehr selten,0.03696333815726001,35837,0.035009910865610366,0.03891676544890965
2010,Laendlicher Raum,Ostdeutschland,Sehr selten,0.03087313072841293,35837,0.029082232522945027,0.03266402893388083
2010,Staedtischer Raum,Ostdeutschland,Selten,0.030270139893873612,35837,0.028496265574647368,0.03204401421309986
2010,Staedtischer Raum,Ostdeutschland,Manchmal,0.02616980221900627,35837,0.02451695737630232,0.02782264706171022
2010,Laendlicher Raum,Westdeutschland,Oft,0.01965750120598167,35837,0.018220214798094988,0.021094787613868352
2010,Staedtischer Raum,Westdeutschland,Sehr oft,0.016582247949831163,35837,0.015260097210463685,0.01790439868919864
2010,Staedtischer Raum,Ostdeutschland,Sehr selten,0.016341051616015435,35837,0.015028390796801051,0.01765371243522982
2010,Laendlicher Raum,Ostdeutschland,Oft,0.016160154365653642,35837,0.014854659391411736,0.01746564933989555
2010,Staedtischer Raum,Ostdeutschland,Oft,0.009165460684997588,35837,0.008178799676024879,0.010152121693970298
2010,Laendlicher Raum,Westdeutschland,Sehr oft,0.004884225759768451,35837,0.004162412396328846,0.005606039123208056
2010,Laendlicher Raum,Ostdeutschland,Sehr oft,0.004401833092136999,35837,0.00371642523649875,0.005087240947775249
2010,Staedtischer Raum,Ostdeutschland,Sehr oft,0.0022310660877954656,35837,0.001742569590053294,0.0027195625855376375
2011,Staedtischer Raum,Westdeutschland,Selten,0.18850830870597354,41903,0.1847634037485841,0.19225321366336298
2011,Staedtischer Raum,Westdeutschland,Manchmal,0.18095053534227992,41903,0.1772644234473544,0.18463664723720544
2011,Staedtischer Raum,Westdeutschland,Sehr selten,0.11903493047817451,41903,0.11593429959334495,0.12213556136300407
2011,Laendlicher Raum,Westdeutschland,Selten,0.0685044329247614,41903,0.06608572600591303,0.07092313984360976
2011,Laendlicher Raum,Westdeutschland,Manchmal,0.06365970640957318,41903,0.061322039200281626,0.06599737361886474
2011,Staedtischer Raum,Westdeutschland,Oft,0.05828205997771426,41903,0.05603889414328563,0.06052522581214289
2011,Laendlicher Raum,Ostdeutschland,Selten,0.053728017053437334,41903,0.05156907040657474,0.05588696370029993
2011,Laendlicher Raum,Ostdeutschland,Manchmal,0.050191366697349936,41903,0.04810079012103173,0.05228194327366814
2011,Laendlicher Raum,Westdeutschland,Sehr selten,0.0410348335836442,41903,0.039135456179300816,0.04293421098798759
