year,regtyp,sex,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,male,Very seldom,0.26969,1869,6368,0.25879,0.28059
2007,Urban regions,male,Seldom,0.34895,2268,6368,0.33724,0.36066
2007,Urban regions,male,Sometimes,0.27110,1645,6368,0.26018,0.28202
2007,Urban regions,male,Often,0.08708,448,6368,0.08015,0.09400
2007,Urban regions,male,Very often,0.02318,138,6368,0.01949,0.02688
2007,Urban regions,female,Very seldom,0.17026,1273,7082,0.16150,0.17901
2007,Urban regions,female,Seldom,0.27605,2115,7082,0.26564,0.28646
2007,Urban regions,female,Sometimes,0.36318,2438,7082,0.35198,0.37438
2007,Urban regions,female,Often,0.14107,943,7082,0.13296,0.14918
2007,Urban regions,female,Very often,0.04944,313,7082,0.04439,0.05449
2007,Rural regions,male,Very seldom,0.24093,840,3371,0.22649,0.25537
2007,Rural regions,male,Seldom,0.36145,1303,3371,0.34523,0.37767
2007,Rural regions,male,Sometimes,0.28702,917,3371,0.27175,0.30229
2007,Rural regions,male,Often,0.08394,243,3371,0.07458,0.09330
2007,Rural regions,male,Very often,0.02666,68,3371,0.02122,0.03210
2007,Rural regions,female,Very seldom,0.14765,546,3622,0.13610,0.15920
2007,Rural regions,female,Seldom,0.29822,1120,3622,0.28332,0.31312
2007,Rural regions,female,Sometimes,0.37402,1337,3622,0.35826,0.38978
2007,Rural regions,female,Often,0.13043,459,3622,0.11946,0.14140
2007,Rural regions,female,Very often,0.04969,160,3622,0.04261,0.05677
2008,Urban regions,male,Very seldom,0.27240,1755,5999,0.26113,0.28367
2008,Urban regions,male,Seldom,0.35779,2198,5999,0.34566,0.36993
2008,Urban regions,male,Sometimes,0.25844,1482,5999,0.24736,0.26952
2008,Urban regions,male,Often,0.09039,464,5999,0.08314,0.09765
2008,Urban regions,male,Very often,0.02097,100,5999,0.01734,0.02460
2008,Urban regions,female,Very seldom,0.16076,1159,6668,0.15194,0.16958
2008,Urban regions,female,Seldom,0.29467,2081,6668,0.28373,0.30561
