"plh0187","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Manchmal","2007","(Fach-)Abitur","Laendlicher Raum","186","","",""
"Manchmal","2007","(Fach-)Abitur","Staedtischer Raum","530","0.310624737596027","0.289054604353244","0.332194870838809"
"Manchmal","2007","(noch) kein Abschluss","Laendlicher Raum","58","0.286977955226638","0.218778565918059","0.355177344535217"
"Manchmal","2007","(noch) kein Abschluss","Staedtischer Raum","123","","",""
"Manchmal","2007","AkademikerIn","Laendlicher Raum","395","0.310246383994975","0.284953585483458","0.335539182506493"
"Manchmal","2007","AkademikerIn","Staedtischer Raum","890","0.296751141825944","0.280654374980634","0.312847908671254"
"Manchmal","2007","Hauptschule","Laendlicher Raum","837","0.339665153280181","0.32163021264576","0.357700093914602"
"Manchmal","2007","Hauptschule","Staedtischer Raum","1436","","",""
"Manchmal","2007","Realschule","Laendlicher Raum","754","0.342045015831797","0.322403867000283","0.36168616466331"
"Manchmal","2007","Realschule","Staedtischer Raum","990","0.332971896688091","0.316501137327971","0.349442656048211"
"Oft","2007","(Fach-)Abitur","Laendlicher Raum","52","0.0875845726773853","0.0646376775273685","0.110531467827402"
"Oft","2007","(Fach-)Abitur","Staedtischer Raum","216","","",""
"Oft","2007","(noch) kein Abschluss","Laendlicher Raum","14","","",""
"Oft","2007","(noch) kein Abschluss","Staedtischer Raum","51","0.148885695681085","0.113281358036791","0.184490033325379"
"Oft","2007","AkademikerIn","Laendlicher Raum","110","","",""
"Oft","2007","AkademikerIn","Staedtischer Raum","239","","",""
"Oft","2007","Hauptschule","Laendlicher Raum","294","","",""
"Oft","2007","Hauptschule","Staedtischer Raum","531","0.124558745064585","0.115085837844527","0.134031652284642"
"Oft","2007","Realschule","Laendlicher Raum","218","","",""
"Oft","2007","Realschule","Staedtischer Raum","309","0.105901146871995","0.0951468785826408","0.11665541516135"
"Sehr oft","2007","(Fach-)Abitur","Laendlicher Raum","16","","",""
"Sehr oft","2007","(Fach-)Abitur","Staedtischer Raum","56","0.037564749218579","0.0287017039337743","0.0464277945033836"
"Sehr oft","2007","(noch) kein Abschluss","Laendlicher Raum","12","","",""
"Sehr oft","2007","(noch) kein Abschluss","Staedtischer Raum","17","","",""
"Sehr oft","2007","AkademikerIn","Laendlicher Raum","33","0.0357669908050007","0.0256131879684141","0.0459207936415873"
"Sehr oft","2007","AkademikerIn","Staedtischer Raum","53","0.0148010663578529","0.0105460973049006","0.0190560354108052"
"Sehr oft","2007","Hauptschule","Laendlicher Raum","91","0.0335476263415915","0.0266907196607939","0.0404045330223891"
"Sehr oft","2007","Hauptschule","Staedtischer Raum","194","","",""
"Sehr oft","2007","Realschule","Laendlicher Raum","70","0.0418584893846747","0.0335669767597417","0.0501500020096077"
"Sehr oft","2007","Realschule","Staedtischer Raum","108","","",""
"Sehr selten","2007","(Fach-)Abitur","Laendlicher Raum","123","","",""
"Sehr selten","2007","(Fach-)Abitur","Staedtischer Raum","393","0.20705481092554","0.188167453115954","0.225942168735127"
