year,sampreg,sex,plh0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,West,male,Very seldom,0.26502,2118,20443,0.26485,0.26519
2007,West,male,Seldom,0.35222,2655,20443,0.35204,0.35240
2007,West,male,Sometimes,0.27333,1885,20443,0.27317,0.27350
2007,West,male,Often,0.08630,519,20443,0.08620,0.08641
2007,West,male,Very often,0.02312,154,20443,0.02306,0.02318
2007,West,female,Very seldom,0.16963,1458,20443,0.16949,0.16976
2007,West,female,Seldom,0.27713,2400,20443,0.27697,0.27730
2007,West,female,Sometimes,0.36627,2831,20443,0.36609,0.36645
2007,West,female,Often,0.13671,1065,20443,0.13659,0.13684
2007,West,female,Very often,0.05026,364,20443,0.05018,0.05034
2007,East,male,Very seldom,0.24113,591,20443,0.24080,0.24146
2007,East,male,Seldom,0.35620,916,20443,0.35583,0.35657
2007,East,male,Sometimes,0.28830,677,20443,0.28795,0.28865
2007,East,male,Often,0.08511,172,20443,0.08489,0.08532
2007,East,male,Very often,0.02926,52,20443,0.02913,0.02939
2007,East,female,Very seldom,0.13438,361,20443,0.13412,0.13464
2007,East,female,Seldom,0.30918,835,20443,0.30882,0.30953
2007,East,female,Sometimes,0.36849,944,20443,0.36811,0.36886
2007,East,female,Often,0.14173,337,20443,0.14146,0.14200
2007,East,female,Very often,0.04622,109,20443,0.04606,0.04639
2008,West,male,Very seldom,0.26913,1976,19225,0.26896,0.26930
2008,West,male,Seldom,0.36338,2551,19225,0.36320,0.36356
2008,West,male,Sometimes,0.25847,1707,19225,0.25830,0.25863
2008,West,male,Often,0.08736,518,19225,0.08725,0.08747
2008,West,male,Very often,0.02166,121,19225,0.02161,0.02172
2008,West,female,Very seldom,0.16517,1333,19225,0.16504,0.16531
2008,West,female,Seldom,0.29286,2379,19225,0.29269,0.29302
2008,West,female,Sometimes,0.35587,2603,19225,0.35569,0.35605
2008,West,female,Often,0.13975,985,19225,0.13962,0.13988
2008,West,female,Very often,0.04635,322,19225,0.04627,0.04643
2008,East,male,Very seldom,0.23370,533,19225,0.23337,0.23403
2008,East,male,Seldom,0.38622,927,19225,0.38584,0.38661
2008,East,male,Sometimes,0.28667,641,19225,0.28631,0.28702
2008,East,male,Often,0.09341,169,19225,0.09318,0.09364
