year,quintil_oecd,sex,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,male,Very seldom,0.21247,315,1333,0.19051,0.23444
2007,1st Quintile,male,Seldom,0.31142,416,1333,0.28655,0.33629
2007,1st Quintile,male,Sometimes,0.30418,397,1333,0.27947,0.32889
2007,1st Quintile,male,Often,0.13465,156,1333,0.11632,0.15298
2007,1st Quintile,male,Very often,0.03728,49,1333,0.02711,0.04746
2007,1st Quintile,female,Very seldom,0.14707,269,1852,0.13094,0.16321
2007,1st Quintile,female,Seldom,0.22943,470,1852,0.21027,0.24858
2007,1st Quintile,female,Sometimes,0.38034,669,1852,0.35822,0.40245
2007,1st Quintile,female,Often,0.16926,314,1852,0.15218,0.18634
2007,1st Quintile,female,Very often,0.07390,130,1852,0.06199,0.08582
2007,2nd Quintile,male,Very seldom,0.24701,424,1600,0.22587,0.26814
2007,2nd Quintile,male,Seldom,0.33522,562,1600,0.31209,0.35836
2007,2nd Quintile,male,Sometimes,0.29491,447,1600,0.27255,0.31726
2007,2nd Quintile,male,Often,0.09680,126,1600,0.08230,0.11129
2007,2nd Quintile,male,Very often,0.02607,41,1600,0.01826,0.03388
2007,2nd Quintile,female,Very seldom,0.15540,306,1902,0.13911,0.17168
2007,2nd Quintile,female,Seldom,0.27947,569,1902,0.25930,0.29964
2007,2nd Quintile,female,Sometimes,0.36883,667,1902,0.34714,0.39052
2007,2nd Quintile,female,Often,0.14416,269,1902,0.12837,0.15994
2007,2nd Quintile,female,Very often,0.05215,91,1902,0.04216,0.06215
2007,3rd Quintile,male,Very seldom,0.25455,498,1839,0.23464,0.27447
2007,3rd Quintile,male,Seldom,0.36036,670,1839,0.33841,0.38231
2007,3rd Quintile,male,Sometimes,0.27610,501,1839,0.25566,0.29654
2007,3rd Quintile,male,Often,0.08290,129,1839,0.07030,0.09551
2007,3rd Quintile,male,Very often,0.02608,41,1839,0.01880,0.03337
2007,3rd Quintile,female,Very seldom,0.16121,341,2022,0.14518,0.17725
2007,3rd Quintile,female,Seldom,0.28884,587,2022,0.26908,0.30860
2007,3rd Quintile,female,Sometimes,0.36220,724,2022,0.34124,0.38315
2007,3rd Quintile,female,Often,0.13549,273,2022,0.12057,0.15041
2007,3rd Quintile,female,Very often,0.05225,97,2022,0.04255,0.06196
2007,4th Quintile,male,Very seldom,0.27185,601,2148,0.25303,0.29067
2007,4th Quintile,male,Seldom,0.36091,827,2148,0.34059,0.38122
2007,4th Quintile,male,Sometimes,0.27304,541,2148,0.25420,0.29189
2007,4th Quintile,male,Often,0.06735,131,2148,0.05675,0.07795
2007,4th Quintile,male,Very often,0.02685,48,2148,0.02001,0.03368
2007,4th Quintile,female,Very seldom,0.16158,348,2161,0.14606,0.17710
2007,4th Quintile,female,Seldom,0.30192,676,2161,0.28256,0.32128
2007,4th Quintile,female,Sometimes,0.35825,769,2161,0.33802,0.37847
2007,4th Quintile,female,Often,0.13971,284,2161,0.12509,0.15433
2007,4th Quintile,female,Very often,0.03855,84,2161,0.03043,0.04666
2007,5th Quintile,male,Very seldom,0.29981,871,2790,0.28280,0.31681
2007,5th Quintile,male,Seldom,0.38268,1095,2790,0.36464,0.40072
2007,5th Quintile,male,Sometimes,0.24536,676,2790,0.22939,0.26133
2007,5th Quintile,male,Often,0.06240,148,2790,0.05342,0.07138
2007,5th Quintile,female,Very seldom,0.19167,555,2766,0.17699,0.20634
2007,5th Quintile,female,Seldom,0.32101,933,2766,0.30361,0.33841
2007,5th Quintile,female,Sometimes,0.36222,945,2766,0.34430,0.38013
2007,5th Quintile,female,Often,0.09683,262,2766,0.08581,0.10786
2007,5th Quintile,female,Very often,0.02827,71,2766,0.02210,0.03445
2008,1st Quintile,male,Very seldom,0.21982,293,1230,0.19667,0.24297
2008,1st Quintile,male,Seldom,0.31095,417,1230,0.28507,0.33683
2008,1st Quintile,male,Sometimes,0.30973,349,1230,0.28388,0.33558
2008,1st Quintile,male,Often,0.12519,131,1230,0.10669,0.14369
2008,1st Quintile,male,Very often,0.03432,40,1230,0.02414,0.04449
2008,1st Quintile,female,Very seldom,0.13494,243,1725,0.11882,0.15107
2008,1st Quintile,female,Seldom,0.24806,473,1725,0.22767,0.26844
2008,1st Quintile,female,Sometimes,0.35114,590,1725,0.32861,0.37367
2008,1st Quintile,female,Often,0.18430,290,1725,0.16600,0.20261
2008,1st Quintile,female,Very often,0.08156,129,1725,0.06864,0.09448
2008,2nd Quintile,male,Very seldom,0.27246,418,1506,0.24997,0.29495
2008,2nd Quintile,male,Seldom,0.37534,588,1506,0.35087,0.39980
2008,2nd Quintile,male,Sometimes,0.25149,380,1506,0.22957,0.27341
2008,2nd Quintile,male,Often,0.08152,120,1506,0.06770,0.09535
2008,2nd Quintile,female,Very seldom,0.15711,294,1840,0.14048,0.17374
2008,2nd Quintile,female,Seldom,0.30032,565,1840,0.27937,0.32127
2008,2nd Quintile,female,Sometimes,0.35558,641,1840,0.33370,0.37746
2008,2nd Quintile,female,Often,0.13575,240,1840,0.12009,0.15140
2008,2nd Quintile,female,Very often,0.05125,100,1840,0.04117,0.06132
2008,3rd Quintile,male,Very seldom,0.25776,487,1809,0.23760,0.27793
2008,3rd Quintile,male,Seldom,0.36965,680,1809,0.34740,0.39190
2008,3rd Quintile,male,Sometimes,0.25758,488,1809,0.23743,0.27774
2008,3rd Quintile,male,Often,0.09581,154,1809,0.08225,0.10938
2008,3rd Quintile,female,Very seldom,0.16509,323,1969,0.14868,0.18149
2008,3rd Quintile,female,Seldom,0.29014,603,1969,0.27009,0.31019
2008,3rd Quintile,female,Sometimes,0.36500,701,1969,0.34373,0.38627
2008,3rd Quintile,female,Often,0.14044,265,1969,0.12509,0.15579
