year,regtyp,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Very seldom,0.21845,3142,13450,0.21146,0.22543
2007,Urban regions,Seldom,0.31138,4383,13450,0.30355,0.31920
2007,Urban regions,Sometimes,0.31856,4083,13450,0.31068,0.32643
2007,Urban regions,Often,0.11491,1391,13450,0.10952,0.12030
2007,Urban regions,Very often,0.03672,451,13450,0.03354,0.03989
2007,Rural regions,Very seldom,0.19319,1386,6993,0.18394,0.20244
2007,Rural regions,Seldom,0.32909,2423,6993,0.31807,0.34010
2007,Rural regions,Sometimes,0.33155,2254,6993,0.32051,0.34258
2007,Rural regions,Often,0.10773,702,6993,0.10046,0.11500
2007,Rural regions,Very often,0.03845,228,6993,0.03394,0.04295
2008,Urban regions,Very seldom,0.21509,2914,12667,0.20794,0.22225
2008,Urban regions,Seldom,0.32539,4279,12667,0.31723,0.33355
2008,Urban regions,Sometimes,0.30731,3759,12667,0.29927,0.31535
2008,Urban regions,Often,0.11677,1329,12667,0.11118,0.12236
2008,Urban regions,Very often,0.03544,386,12667,0.03222,0.03866
2008,Rural regions,Very seldom,0.20014,1299,6587,0.19047,0.20980
2008,Rural regions,Seldom,0.34372,2389,6587,0.33225,0.35519
2008,Rural regions,Sometimes,0.31790,2079,6587,0.30665,0.32915
2008,Rural regions,Often,0.10793,621,6587,0.10043,0.11542
2008,Rural regions,Very often,0.03032,199,6587,0.02618,0.03446
2009,Urban regions,Very seldom,0.20703,2546,11658,0.19967,0.21438
2009,Urban regions,Seldom,0.32699,3968,11658,0.31848,0.33551
2009,Urban regions,Sometimes,0.31910,3588,11658,0.31063,0.32756
2009,Urban regions,Often,0.10930,1179,11658,0.10364,0.11496
2009,Urban regions,Very often,0.03758,377,11658,0.03413,0.04104
2009,Rural regions,Very seldom,0.19311,1256,6262,0.18333,0.20288
2009,Rural regions,Seldom,0.35711,2295,6262,0.34524,0.36898
2009,Rural regions,Sometimes,0.30953,1911,6262,0.29808,0.32098
2009,Rural regions,Often,0.10622,614,6262,0.09858,0.11385
2009,Rural regions,Very often,0.03404,186,6262,0.02955,0.03853
2010,Urban regions,Very seldom,0.21000,2431,10885,0.20235,0.21766
2010,Urban regions,Seldom,0.33496,3759,10885,0.32609,0.34382
2010,Urban regions,Sometimes,0.30865,3265,10885,0.29997,0.31733
2010,Urban regions,Often,0.11166,1118,10885,0.10575,0.11758
2010,Urban regions,Very often,0.03473,312,10885,0.03129,0.03817
2010,Rural regions,Very seldom,0.18926,1120,5699,0.17909,0.19943
2010,Rural regions,Seldom,0.34784,2051,5699,0.33547,0.36020
2010,Rural regions,Sometimes,0.31851,1784,5699,0.30641,0.33061
2010,Rural regions,Often,0.11524,590,5699,0.10694,0.12353
2010,Rural regions,Very often,0.02916,154,5699,0.02479,0.03353
2011,Urban regions,Very seldom,0.20610,2791,13322,0.19923,0.21297
2011,Urban regions,Seldom,0.32299,4435,13322,0.31505,0.33093
2011,Urban regions,Sometimes,0.32671,4319,13322,0.31875,0.33468
