year,age_gr,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,No migration background,,,,,,,,,,,,
1984,0-16 y.,Direct migration background,,,,,,,,,,,,
1984,0-16 y.,Indirect migration background,,,,,,,,,,,,
1984,17-29 y.,No migration background,1457,645.79534,627.55439,664.03630,327.00000,665.00000,869.00000,0.00000,1682.00000,665.00000,659.67500,690.00000
1984,17-29 y.,Direct migration background,582,678.44252,651.91229,704.97276,455.00000,690.00000,869.00000,0.00000,1490.00000,690.00000,614.00000,716.62500
1984,17-29 y.,Indirect migration background,48,542.27238,480.53563,604.00914,315.87110,614.00000,718.33590,80.00000,920.00000,614.00000,409.00000,716.00000
1984,30-45 y.,No migration background,1854,1055.56385,1025.40761,1085.72009,710.50853,1023.00000,1329.00000,0.00000,2256.73720,1023.00000,971.00000,1023.00000
1984,30-45 y.,Direct migration background,1021,934.13273,903.40323,964.86223,665.00000,920.00000,1120.43071,0.00000,1803.57677,920.00000,869.00000,920.00000
1984,30-45 y.,Indirect migration background,,,,,,,,,,,,
1984,46-65 y.,No migration background,1443,1041.65505,1009.97732,1073.33278,665.00000,969.34115,1278.00000,0.00000,2197.50000,969.00000,920.00000,971.02500
1984,46-65 y.,Direct migration background,642,915.83612,868.21707,963.45518,614.00000,869.00000,1032.53684,0.00000,1660.34210,869.00000,845.95000,920.00000
1984,46-65 y.,Indirect migration background,,,,,,,,,,,,
1984,66 and older,No migration background,48,549.99578,370.29953,729.69203,153.00000,304.78754,718.99111,31.00000,1567.97778,307.00000,204.00000,552.00000
1984,66 and older,Direct migration background,,,,,,,,,,,,
1984,66 and older,Indirect migration background,,,,,,,,,,,,
1985,0-16 y.,No migration background,,,,,,,,,,,,
1985,0-16 y.,Direct migration background,,,,,,,,,,,,
1985,0-16 y.,Indirect migration background,,,,,,,,,,,,
1985,17-29 y.,No migration background,1373,637.45719,617.65396,657.26042,303.17367,665.00000,869.00000,0.00000,1717.73950,665.00000,630.95000,684.00000
1985,17-29 y.,Direct migration background,495,648.52219,620.74455,676.29984,457.47366,658.65151,869.00000,0.00000,1486.28951,665.00000,588.00000,716.00000
