year,migback,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,No migration background,Urban regions,3414,944.30975,924.70331,963.91619,562.00000,890.00000,1182.08468,0.00000,2112.21171,890.00000,869.00000,920.00000
1985,No migration background,Rural regions,1083,865.61533,817.82806,913.40260,433.95702,794.99400,1074.00000,0.00000,2034.06447,794.00000,767.00000,843.02500
1985,Direct migration background,Urban regions,1689,869.92446,847.96323,891.88568,597.72334,869.00000,1048.00000,0.00000,1723.41499,869.00000,818.00000,869.00000
1985,Direct migration background,Rural regions,236,822.54936,769.65450,875.44423,544.75830,801.38131,1023.00000,102.00000,1740.36255,797.00000,736.00000,869.00000
1985,Indirect migration background,Urban regions,56,641.89988,526.22629,757.57347,255.00000,612.47299,914.27125,38.00000,1568.00000,614.00000,356.07500,719.00000
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,3279,998.46615,974.75900,1022.17330,604.53046,920.00000,1245.17510,0.00000,2206.14206,920.00000,920.00000,941.00000
1986,No migration background,Rural regions,1048,865.27136,832.89746,897.64525,470.00000,822.42696,1143.54008,0.00000,2153.85020,822.00000,778.70000,869.00000
1986,Direct migration background,Urban regions,1616,903.78271,880.27065,927.29476,614.00000,890.15183,1074.00000,0.00000,1764.00000,892.00000,869.00000,920.00000
1986,Direct migration background,Rural regions,240,813.12036,763.18048,863.06024,513.86072,818.00000,1070.43097,0.00000,1841.00000,818.00000,757.00000,920.87500
1986,Indirect migration background,Urban regions,74,677.72374,581.15392,774.29357,282.56110,656.36114,925.60748,49.00000,1890.17704,621.00000,551.62500,869.00000
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,3257,1010.77432,988.72855,1032.82010,614.00000,930.26680,1278.00000,0.00000,2274.00000,930.00000,920.00000,971.00000
1987,No migration background,Rural regions,1069,883.51918,850.20119,916.83717,452.21268,818.00000,1176.00000,0.00000,2261.68098,818.00000,787.80000,869.00000
1987,Direct migration background,Urban regions,1598,917.87133,895.46160,940.28105,614.00000,920.00000,1125.00000,31.00000,1891.50000,920.00000,869.00000,920.00000
1987,Direct migration background,Rural regions,250,851.44867,789.94276,912.95459,452.28813,818.00000,1125.00000,55.00000,2134.06780,818.00000,716.00000,920.00000
1987,Indirect migration background,Urban regions,75,677.40055,588.62568,766.17541,347.73664,716.00000,923.26207,118.00000,1786.55022,716.00000,611.42500,818.00000
1987,Indirect migration background,Rural regions,,,,,,,,,,,,
