"hlf0632","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"2","2020","Westdeutschland","689","0.123371715425897","0.114716583346786","0.132026847505009"
"2","2020","Ostdeutschland","168","0.129439773092321","0.111486511164452","0.14739303502019"
"3","2020","Westdeutschland","560","0.0955911294193006","0.087852761728655","0.103329497109946"
"3","2020","Ostdeutschland","160","0.121584501629351","0.104106201643899","0.139062801614803"
"4","2020","Westdeutschland","386","0.068048605101617","0.0614208812745134","0.0746763289287207"
"4","2020","Ostdeutschland","115","0.0873552532870696","0.0722542612874617","0.102456245286678"
"5","2020","Westdeutschland","765","0.142794647165906","0.133586832709057","0.152002461622754"
"5","2020","Ostdeutschland","206","0.166791858094491","0.146854194650145","0.186729521538836"
"6","2020","Westdeutschland","308","0.066902985829957","0.06032725074633","0.073478720913584"
"6","2020","Ostdeutschland","92","0.0740887700419959","0.0600809371235968","0.0880966029603949"
"7","2020","Westdeutschland","284","0.0501567346312104","0.0444122805836163","0.0559011886788045"
"7","2020","Ostdeutschland","95","0.0742007871645808","0.0601832168086737","0.0882183575204879"
"8","2020","Westdeutschland","176","0.0325311450736481","0.0278621186679786","0.0372001714793176"
"8","2020","Ostdeutschland","53","0.0424064907452031","0.0316290200917894","0.0531839613986167"
"9","2020","Westdeutschland","52","0.00913767582029085","0.00663339694923307","0.0116419546913486"
"9","2020","Ostdeutschland","15","","",""
"10","2020","Westdeutschland","40","0.00977016642518765","0.00718149373242448","0.0123588391179508"
"10","2020","Ostdeutschland","15","","",""
