"hlf0632","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","2017","Städtischer Raum","Westdeutschland","1319","0.36200530685254","0.346943738926506","0.377066874778573"
"0","2017","Städtischer Raum","Ostdeutschland","77","0.278288701310778","0.226709022752253","0.329868379869303"
"0","2017","Ländlicher Raum","Westdeutschland","562","0.325341733627494","0.303619842829974","0.347063624425013"
"0","2017","Ländlicher Raum","Ostdeutschland","161","0.166664817503688","0.14372653284664","0.189603102160735"
"1","2017","Städtischer Raum","Westdeutschland","300","0.0839523050187301","0.0752611091288724","0.0926435009085878"
"1","2017","Städtischer Raum","Ostdeutschland","18","","",""
"1","2017","Ländlicher Raum","Westdeutschland","160","0.0844556655938876","0.071563083692965","0.0973482474948102"
"1","2017","Ländlicher Raum","Ostdeutschland","65","0.0683388628440674","0.0528081289884106","0.0838695966997242"
"2","2017","Städtischer Raum","Westdeutschland","484","0.121885353682905","0.111632245152617","0.132138462213194"
"2","2017","Städtischer Raum","Ostdeutschland","27","","",""
"2","2017","Ländlicher Raum","Westdeutschland","198","0.0983668829352105","0.0845590603862029","0.112174705484218"
"2","2017","Ländlicher Raum","Ostdeutschland","114","0.121675750478986","0.101554333228437","0.141797167729535"
"3","2017","Städtischer Raum","Westdeutschland","361","0.0782364235025377","0.0698201769615282","0.0866526700435471"
"3","2017","Städtischer Raum","Ostdeutschland","29","","",""
"3","2017","Ländlicher Raum","Westdeutschland","195","0.104750387995631","0.0905521090051723","0.118948666986089"
"3","2017","Ländlicher Raum","Ostdeutschland","125","0.123771762223981","0.103502006117752","0.14404151833021"
"4","2017","Städtischer Raum","Westdeutschland","257","0.0639103687933636","0.0562447262778558","0.0715760113088715"
"4","2017","Städtischer Raum","Ostdeutschland","11","","",""
"4","2017","Ländlicher Raum","Westdeutschland","114","0.0707144141286785","0.0588289980746578","0.0825998301826992"
"4","2017","Ländlicher Raum","Ostdeutschland","75","0.0718013257042748","0.0559116213451896","0.0876910300633601"
"5","2017","Städtischer Raum","Westdeutschland","542","0.139791170615628","0.128923261401199","0.150659079830057"
"5","2017","Städtischer Raum","Ostdeutschland","55","0.140963096425518","0.10091261709502","0.181013575756016"
"5","2017","Ländlicher Raum","Westdeutschland","255","0.148364985786365","0.131884186177258","0.164845785395472"
"5","2017","Ländlicher Raum","Ostdeutschland","213","0.206477826433316","0.181563717624085","0.231391935242548"
"6","2017","Städtischer Raum","Westdeutschland","224","0.0490035354523732","0.0422379195042433","0.0557691514005031"
"6","2017","Städtischer Raum","Ostdeutschland","27","","",""
"6","2017","Ländlicher Raum","Westdeutschland","98","0.0535248197662602","0.0430892050521768","0.0639604344803437"
"6","2017","Ländlicher Raum","Ostdeutschland","80","0.0649062267425625","0.04974271201703","0.0800697414680951"
"7","2017","Städtischer Raum","Westdeutschland","203","0.0475707382433616","0.0408997451102942","0.054241731376429"
"7","2017","Städtischer Raum","Ostdeutschland","21","","",""
"7","2017","Ländlicher Raum","Westdeutschland","94","0.0564722579849795","0.0457698690839787","0.0671746468859803"
"7","2017","Ländlicher Raum","Ostdeutschland","84","0.0879473953560616","0.0705152616444794","0.105379529067644"
"8","2017","Städtischer Raum","Westdeutschland","141","0.0341042052792009","0.0284160258483793","0.0397923847100225"
"8","2017","Städtischer Raum","Ostdeutschland","15","","",""
"8","2017","Ländlicher Raum","Westdeutschland","69","0.0343314730878507","0.0258894590003854","0.042773487175316"
"8","2017","Ländlicher Raum","Ostdeutschland","67","0.0663051628400164","0.0509905766913633","0.0816197489886696"
"9","2017","Städtischer Raum","Westdeutschland","44","0.010342546596578","0.00717180846106516","0.0135132847320908"
"9","2017","Städtischer Raum","Ostdeutschland","6","","",""
"9","2017","Ländlicher Raum","Westdeutschland","23","","",""
"9","2017","Ländlicher Raum","Ostdeutschland","9","","",""
"10","2017","Städtischer Raum","Westdeutschland","36","0.00919804596278194","0.00620615750749136","0.0121899344180725"
"10","2017","Städtischer Raum","Ostdeutschland","4","","",""
"10","2017","Ländlicher Raum","Westdeutschland","19","","",""
"10","2017","Ländlicher Raum","Ostdeutschland","21","","",""
"0","2018","Städtischer Raum","Westdeutschland","1235","0.345844024984814","0.330667040744114","0.361021009225514"
"0","2018","Städtischer Raum","Ostdeutschland","71","0.287713090557579","0.234013118464079","0.341413062651079"
"0","2018","Ländlicher Raum","Westdeutschland","554","0.34431799143524","0.321777788482717","0.366858194387763"
"0","2018","Ländlicher Raum","Ostdeutschland","178","0.189558814528874","0.164956354960829","0.214161274096919"
"1","2018","Städtischer Raum","Westdeutschland","346","0.0907573701919452","0.0815912502739186","0.0999234901099718"
"1","2018","Städtischer Raum","Ostdeutschland","19","","",""
"1","2018","Ländlicher Raum","Westdeutschland","125","0.0673728065871276","0.0554815517243692","0.079264061449886"
"1","2018","Ländlicher Raum","Ostdeutschland","66","0.0626740359820201","0.0474603328311441","0.0778877391328961"
"2","2018","Städtischer Raum","Westdeutschland","433","0.114612473119711","0.104447942462287","0.124777003777135"
"2","2018","Städtischer Raum","Ostdeutschland","34","0.097051981269805","0.0619363609175817","0.132167601622028"
